fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado,monto_hojas_miles_soles,total_exterior_miles_soles,total_fondo_miles_soles,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,peso_dentro_hojas,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,usar_modelo_principal,usar_analisis_ampliado,ranking_afp
2026-01-30,CA-0001-en2026.XLS,10,145,Habitat,3,302810.6071,miles_soles,0.0607293208655483,75,BlackRock Fund Advisors,US4642875235,USD,,isin,,isin,,2710476.010140649,11.17186080847426,6.072932086554837,2026-01,US4642875235,isin,302810.6071,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.11365760163615168,304748.28133401525,0.11365760163615168,0.0611179256156073,11.365760163615167,6.11179256156073,True,True,1
2026-01-30,CA-0001-en2026.XLS,10,189,Habitat,3,252748.06893328,miles_soles,0.0506891707770592,85,VAN ECK ASSOCIATES CORPORATION,US92189F6768,USD,,isin,,isin,,2710476.010140649,9.324859101784288,5.068917077705927,2026-01,US92189F6768,isin,252748.068933,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.09486701806201472,254365.39477783797,0.09486701806201471,0.0510135289661476,9.486701806201472,5.1013528966147605,True,True,2
2026-01-30,CA-0001-en2026.XLS,10,188,Habitat,3,220009.0993824,miles_soles,0.0441232997671107,85,VAN ECK ASSOCIATES CORPORATION,US92189F1066,USD,,isin,,isin,,2710476.010140649,8.116991205946276,4.412329976711073,2026-01,US92189F1066,isin,220009.099382,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.0825787009689375,221416.92973287837,0.08257870096893749,0.044405643182669985,8.257870096893749,4.440564318266999,True,True,3
2026-01-30,CA-0001-en2026.XLS,10,314,Habitat,3,188616.3233384,miles_soles,0.0378274107707031,125,"Krane Funds Advisors, LLC",US5007673065,USD,,isin,,isin,,2710476.010140649,6.958789623399491,3.782741077070319,2026-01,US5007673065,isin,188616.323338,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.07079566711806723,189823.27243885474,0.07079566711806723,0.03806946701797245,7.079566711806723,3.806946701797245,True,True,4
2026-01-30,CA-0001-en2026.XLS,10,371,Habitat,3,99744.621732,miles_soles,0.0200039991854544,147,Global X Management Company LLC,US37954Y8488,USD,,isin,,isin,,2710476.010140649,3.679966963692999,2.0003999185454475,2026-01,US37954Y8488,isin,99744.621732,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.03743836647842543,100382.8839955404,0.037438366478425425,0.020132004060082552,3.7438366478425427,2.0132004060082553,True,True,5
2026-01-30,CA-0001-en2026.XLS,10,163,Habitat,3,80742.30025428919,miles_soles,0.0161930425969057,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0102000758,JPY,,isin,,isin,,2710476.010140649,2.978897431750351,1.61930425969057,2026-01,LU0102000758,isin,80742.300254,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.030305993192827455,81258.96734298926,0.030305993192827455,0.016296661296759034,3.0305993192827456,1.6296661296759034,True,True,6
2026-01-30,CA-0001-en2026.XLS,10,254,Habitat,3,78475.62023886161,miles_soles,0.0157384550272207,103,First Trust Advisors L.P.,US33741X1028,USD,,isin,,isin,,2710476.010140649,2.895270791745153,1.57384550272207,2026-01,US33741X1028,isin,78475.620239,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.0294552125127933,78977.78292329158,0.0294552125127933,0.015839164837490233,2.94552125127933,1.5839164837490234,True,True,7
2026-01-30,CA-0001-en2026.XLS,10,370,Habitat,3,77748.3733752,miles_soles,0.0155926040989631,147,Global X Management Company LLC,US37954Y8306,USD,,isin,,isin,,2710476.010140649,2.868439826964768,1.5592604098963143,2026-01,US37954Y8306,isin,77748.373375,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.029182246069798468,78245.88243298531,0.029182246069798464,0.015692380614364336,2.9182246069798463,1.5692380614364336,True,True,8
2026-01-30,CA-0001-en2026.XLS,10,191,Habitat,3,60382.0071792,miles_soles,0.0121097418733436,85,VAN ECK ASSOCIATES CORPORATION,US92189H6071,USD,,isin,,isin,,2710476.010140649,2.227727046957583,1.210974187334365,2026-01,US92189H6071,isin,60382.007179,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.022663915850538133,60768.38948142437,0.02266391585053813,0.012187231678052439,2.266391585053813,1.218723167805244,True,True,9
2026-01-30,CA-0001-en2026.XLS,10,571,Habitat,3,60123.3382703284,miles_soles,0.0120578652653369,297,Antin Infrastructure Partners IV Luxembourg G,PRIVFAEAIP4B,EUR,,isin,,isin,,2710476.010140649,2.218183745046632,1.2057865265336924,2026-01,PRIVFAEAIP4B,isin,60123.33827,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.02256682649134512,60508.065359465414,0.022566826491345116,0.012135023113488306,2.2566826491345116,1.2135023113488306,True,True,10
