fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial
2015-02-27,2015,2,Integra,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,25,3,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Integra,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,31,3,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Integra,3,386885.7465104869,4.478682385258674,FP-1356-fe2015.XLS,Fondo3xIntru,35,3,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Integra,3,3300.1874533781,0.0382037631233735,FP-1356-fe2015.XLS,Fondo3xIntru,37,3,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Integra,3,5034701.46608794,58.282914205506586,FP-1356-fe2015.XLS,Fondo3xIntru,54,3,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Integra,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,55,3,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,22,3,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,25,3,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,31,3,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,348266.5720768603,4.22564381380629,FP-1356-fe2015.XLS,Fondo3xIntru,35,3,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,85552.37898900699,1.038037842321326,FP-1356-fe2015.XLS,Fondo3xIntru,37,3,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,4670098.064276606,56.66398264265213,FP-1356-fe2015.XLS,Fondo3xIntru,54,3,Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Prima,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,55,3,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Profuturo,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,22,3,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Profuturo,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,25,3,Pagarés LP,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Pagarés LP,I. INVERSIONES LOCALES,3. Empresas no Financieras,Pagarés LP,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
2015-02-27,2015,2,Profuturo,3,0.0,0.0,FP-1356-fe2015.XLS,Fondo3xIntru,31,3,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,instrumento_o_detalle,True,otros_no_mapeados,sin_proxy,no_disponible
