afp,baseline,segmento,n,mae,rmse,r2,sesgo,correlacion,direccion_diaria_pct,cobertura_direccional_pct,mae_retorno_cero,mejora_mae_vs_cero_pct,ranking_mae
Habitat,RETORNO_CERO,entrenamiento,1779,0.003675806577953816,0.005158342511091962,-0.004817072978916981,-0.00035715627586133667,,,0.0,0.003675806577953816,0.0,2.0
Habitat,RETORNO_CERO,validacion,593,0.004240061035639848,0.0058513644253249345,-0.0009049422251423689,-0.00017594266125982273,,,0.0,0.004240061035639848,0.0,2.0
Habitat,RETORNO_CERO,prueba,593,0.005064750471961615,0.007493549325854488,-0.010054072628495003,-0.0007476292210260486,,,0.0,0.005064750471961615,0.0,3.0
Habitat,PERSISTENCIA_1D,entrenamiento,1778,0.004380155668809622,0.006141959883633972,-0.4260824989247869,-5.986023406938997e-06,0.2875140353717772,59.3363329583802,100.0,0.003675806577953816,-19.16175609130911,4.0
Habitat,PERSISTENCIA_1D,validacion,593,0.005517624097654176,0.007336307671375384,-0.5733799547404297,-1.7184482699096043e-06,0.21320825903832244,55.1433389544688,100.0,0.004240061035639848,-30.13077055438041,4.0
Habitat,PERSISTENCIA_1D,prueba,593,0.006989862852019144,0.01033676122133127,-0.9219339204707657,-1.2978123434782435e-05,0.03760409647369981,54.468802698145026,100.0,0.005064750471961615,-38.01001432775262,4.0
Habitat,MEDIA_EXPANSIVA,entrenamiento,1719,0.0036460606913506035,0.005166388280216904,-0.0020994382073324935,-6.040683309320005e-05,-0.028662488049800604,55.67190226876091,100.0,0.003675806577953816,0.8092342720538631,1.0
Habitat,MEDIA_EXPANSIVA,validacion,593,0.0042366913830893535,0.00585230252725268,-0.0012259019380342906,0.00013074803213272983,-0.06479944014967676,51.602023608768974,100.0,0.004240061035639848,0.07947179349944519,1.0
Habitat,MEDIA_EXPANSIVA,prueba,593,0.005024240193200482,0.0074676836862104965,-0.0030932576052380423,-0.00043939654690862705,0.04699811268047167,57.335581787521086,100.0,0.005064750471961615,0.7998474749229594,1.0
Habitat,MEDIA_MOVIL_20,entrenamiento,1759,0.0036792551043391014,0.0051909981194805475,-0.02003829991555217,7.187160472002387e-07,0.13347368661500322,56.28197839681637,100.0,0.003675806577953816,-0.09381686201793923,3.0
Habitat,MEDIA_MOVIL_20,validacion,593,0.004404521214356901,0.005996977328377458,-0.051340400646376905,-8.852874443236144e-06,0.05136713207542676,53.119730185497474,100.0,0.004240061035639848,-3.8787219649595293,3.0
Habitat,MEDIA_MOVIL_20,prueba,593,0.005061989748245246,0.007623295499608884,-0.04533379815319072,-3.913848663857494e-05,0.032262738667847575,56.323777403035415,100.0,0.005064750471961615,0.054508583031925587,2.0
Integra,RETORNO_CERO,entrenamiento,1779,0.00359650008172146,0.005079924475259145,-0.003577853617381832,-0.00030331438320193975,,,0.0,0.00359650008172146,0.0,2.0
Integra,RETORNO_CERO,validacion,593,0.003660105727268497,0.0060356668535914365,-4.412437118128665e-06,1.2678374231395257e-05,,,0.0,0.003660105727268497,0.0,1.0
Integra,RETORNO_CERO,prueba,593,0.005395015701423717,0.00792964705592473,-0.004557436599680775,-0.0005341051786697768,,,0.0,0.005395015701423717,0.0,2.0
Integra,PERSISTENCIA_1D,entrenamiento,1778,0.004529565345049739,0.0063373112628806304,-0.563545355608327,-5.823954963179465e-06,0.21883987660061988,56.2992125984252,100.0,0.00359650008172146,-25.943701991566986,4.0
Integra,PERSISTENCIA_1D,validacion,593,0.005041119950126364,0.007894052876238943,-0.7106117774918586,-7.094713074667503e-07,0.14465660810569764,51.77065767284992,100.0,0.003660105727268497,-37.73153908011573,4.0
Integra,PERSISTENCIA_1D,prueba,593,0.007626538575045567,0.011106271177796638,-0.9706232593681738,-1.894108491705191e-05,0.012437882544496664,48.735244519392914,100.0,0.005395015701423717,-41.36267616483419,4.0
Integra,MEDIA_EXPANSIVA,entrenamiento,1719,0.003577879753417104,0.005095043883292784,-0.0021248709262371435,-9.918819039865963e-05,-0.023440377909362216,55.61372891215824,100.0,0.00359650008172146,0.5177346831991109,1.0
