afp,orden,factor,ticker,nombre,lag,transformacion,precio_actual,precio_cierre_previo,variacion_actual_pct,ultima_actualizacion,media_modelo,desviacion_modelo,coeficiente_modelo,z_intradia,contribucion_parcial_pct,intercepto_modelo,estado_dato
Habitat,1,ret_USD_EPU,EPU,Perú ETF,0,USD,84.13289642333984,82.88999938964844,1.499453544267526,2026-07-02 14:45:00,0.0005547238170695,0.014637278312566,0.0040625483781552,0.9865093303042058,0.40077418798623243,0.0008628077744813,DISPONIBLE
Habitat,2,ret_USD_VT,VT,Total World Stock ETF,0,USD,156.13999938964844,156.1199951171875,0.01281339552048344,2026-07-02 14:55:00,0.000470722963073,0.0105861242516548,0.0040411252604753,-0.03236208075062154,-0.013077922200287816,0.0008628077744813,DISPONIBLE
Habitat,3,ret_USD_XLE,XLE,Energía USA,0,USD,53.2400016784668,52.81999969482422,0.795157111073852,2026-07-02 14:55:00,0.0004283113920394,0.0180857375074033,-0.0010742916687868,0.41597749141385654,-0.044688115342873876,0.0008628077744813,DISPONIBLE
Habitat,4,ret_PEN_REMX,REMX,Tierras raras ETF,0,CONVERTIR_A_PEN,294.72867569063965,302.31599020957947,-2.509729807437555,2026-07-02 14:55:00,0.0005611860726013,0.0258209724285252,-3.494215660805144e-05,-0.9937071199778346,0.003472226980880126,0.0008628077744813,DISPONIBLE
Habitat,5,ret_USD_EFA,EFA,Mercados desarrollados fuera de USA,0,USD,104.39749908447266,103.02999877929688,1.3272836274657696,2026-07-02 14:55:00,0.0003625330739379,0.0107111922597108,0.0003610646378584,1.2053096319894059,0.043519468578149624,0.0008628077744813,DISPONIBLE
Habitat,6,ret_BVL_PEN_MINSUR,MINSURI1.LM,Minsur,0,LOCAL_PEN,6.889999866485596,6.841000080108643,0.7162664201602276,2026-07-02 08:30:00,0.0008398157308217,0.0229192784367366,0.0015388097738659,0.2758746741627729,0.042451864496374545,0.0008628077744813,DISPONIBLE
Habitat,7,ret_BVL_PEN_INRETAIL_PERU,INRETC1.LM,InRetail Peru,0,LOCAL_PEN,36.95000076293945,36.9900016784668,-0.10813980457489158,2026-07-02 08:30:00,0.0003420199640369,0.0138261366338912,0.0004055942103472,-0.10295124715436955,-0.004175642979383594,0.0008628077744813,DISPONIBLE
Habitat,8,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,^AXJO,S&P/ASX 200,0,INDICE_LOCAL,8844.2998046875,8849.5,-0.05876258898808162,2026-07-03 01:10:00,0.000205755422872,0.0093638462222291,-0.0011383327359282,-0.08472814417534813,0.009644882016924303,0.0008628077744813,DISPONIBLE
Habitat,9,ret_IDX_LOCAL_JAP_N_NIKKEI_225,^N225,Nikkei 225,0,INDICE_LOCAL,69773.9921875,69550.109375,0.3219014527969577,2026-07-03 01:25:00,0.0005611703247994,0.0132002302320844,0.0017094597643747,0.2013483216913927,0.03441968545558094,0.0008628077744813,DISPONIBLE
Integra,1,ret_USD_COPX,COPX,Minera de cobre ETF,0,USD,76.5999984741211,75.31999969482422,1.6994142120062117,2026-07-02 14:55:00,0.0007572130226549,0.0227367012995603,0.0006706763162684,0.7141286189004568,0.04789491514659984,0.0003105921175328,DISPONIBLE
Integra,2,ret_USD_EPU,EPU,Perú ETF,0,USD,84.13289642333984,82.88999938964844,1.499453544267526,2026-07-02 14:45:00,0.0005547238170695,0.014637278312566,0.0037632771035882,0.9865093303042058,0.37125079752099466,0.0003105921175328,DISPONIBLE
Integra,3,ret_USD_SPY,SPY,S&P 500 ETF,0,USD,744.8400268554688,745.7000122070312,-0.1153259135690754,2026-07-02 14:55:00,0.0005660527399586,0.0109410210811164,0.0013953814401292,-0.15714363978484527,-0.021927531839012165,0.0003105921175328,DISPONIBLE
Integra,4,ret_PEN_FCX,FCX,Freeport-McMoRan,1,CONVERTIR_A_PEN,207.23481901537525,208.44431481330867,-0.5802488779877213,2026-07-02 14:55:00,0.0010753617855207,0.0360644431449227,0.0001757462262339,-0.1907100170037203,-0.0033516565793406746,0.0003105921175328,DISPONIBLE
Prima,1,ret_USD_EPU,EPU,Perú ETF,0,USD,84.13289642333984,82.88999938964844,1.499453544267526,2026-07-02 14:45:00,0.0005547238170695,0.014637278312566,0.0037780073658357,0.9865093303042058,0.37270395163549336,0.0003165872349449,DISPONIBLE
Prima,2,ret_USD_SPY,SPY,S&P 500 ETF,0,USD,744.8400268554688,745.7000122070312,-0.1153259135690754,2026-07-02 14:55:00,0.0005660527399586,0.0109410210811164,0.0009601130548396,-0.15714363978484527,-0.015087566004244152,0.0003165872349449,DISPONIBLE
Prima,3,ret_USD_VWO,VWO,Mercados emergentes Vanguard,0,USD,59.040000915527344,59.220001220703125,-0.3039518768413241,2026-07-02 14:55:00,0.0003276608178421,0.0121492296081489,0.001469931503837,-0.2771516956101364,-0.04073940087191823,0.0003165872349449,DISPONIBLE
Profuturo,1,ret_USD_EPU,EPU,Perú ETF,0,USD,84.13289642333984,82.88999938964844,1.499453544267526,2026-07-02 14:45:00,0.0005547238170695,0.014637278312566,0.0044602996165966,0.9865093303042058,0.4400127187724818,0.0002803250530518,DISPONIBLE
Profuturo,2,ret_USD_SPY,SPY,S&P 500 ETF,0,USD,744.8400268554688,745.7000122070312,-0.1153259135690754,2026-07-02 14:55:00,0.0005660527399586,0.0109410210811164,0.0011661327595603,-0.15714363978484527,-0.018325034630965135,0.0002803250530518,DISPONIBLE
Profuturo,3,ret_PEN_MCHI,MCHI,China ETF,0,CONVERTIR_A_PEN,173.1008232784825,176.55595897344574,-1.9569635117684725,2026-07-02 14:55:00,0.0003577749361236,0.0213997777804194,-0.0001581229419188,-0.9311970553283839,0.014724361789464764,0.0002803250530518,DISPONIBLE
Profuturo,4,ret_USD_FCX,FCX,Freeport-McMoRan,1,USD,60.95500183105469,60.560001373291016,0.6522464478309509,2026-07-02 14:55:00,0.0009504766375483,0.0335274928218977,0.00028599157687,0.16619160491243157,0.004752939915146234,0.0002803250530518,DISPONIBLE
Profuturo,5,ret_USD_NEM,NEM,Newmont,0,USD,97.0199966430664,93.29000091552734,3.9982802989963595,2026-07-02 14:55:00,0.0008833904357402,0.0231789898520448,0.0005972746189597,1.6868471319846639,0.10075109779994029,0.0002803250530518,DISPONIBLE
