nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct
I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.0,1.5899698179726018
I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos convertibles emitidos en el mercado local,Bonos convertibles emitidos en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos convertibles emitidos en el mercado local,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,deuda_generica_no_financiera_local,2021-09-30,2026-05-31,57,4,0.0,0.4906878447464222
I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Convertibles emitidos en el mercado local,Bonos Convertibles emitidos en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Convertibles emitidos en el mercado local,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,deuda_generica_no_financiera_local,2021-08-31,2021-08-31,1,4,0.2332796604743283,0.4668911524814511
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.0104974176781158,0.0876261058821274
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,deuda_generica_no_financiera_local,2017-12-31,2018-01-31,2,4,0.0,0.0
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Papeles Comerciales,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Papeles Comerciales,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Corporativos Coemitidos,Bonos Corporativos Coemitidos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Corporativos Coemitidos,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2024-07-31,2026-05-31,22,4,0.0,0.0
I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,deuda_generica_no_financiera_local,2015-01-30,2026-05-31,135,4,0.0,0.0
I. INVERSIONES LOCALES,3. Empresas no Financieras,Papeles Comerciales,Papeles Comerciales,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Papeles Comerciales,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.0,0.0
I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,renta_fija_organismos_internacionales,LQD_TLT,baja,organismos_internacionales,2015-01-30,2026-05-31,135,4,0.0,0.3459026799250475
,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,renta_fija_organismos_internacionales,LQD_TLT,baja,organismos_internacionales,2017-12-31,2018-01-31,2,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,renta_fija_soberana_exterior,TLT,media,renta_fija_soberana_exterior,2015-01-30,2026-05-31,135,4,0.0,4.694410879798463
,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,renta_fija_soberana_exterior,TLT,media,renta_fija_soberana_exterior,2017-12-31,2018-01-31,2,4,0.0,0.1080323145071304
I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2015-01-30,2026-05-31,135,4,0.7930381241526951,9.938971538148053
,I. INVERSIONES LOCALES,1. Gobierno,Bonos del Gobierno Central,I. INVERSIONES LOCALES > 1. Gobierno > Bonos del Gobierno Central,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2017-12-31,2018-01-31,2,4,2.371075728625839,5.05794874878382
,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2017-12-31,2018-01-31,2,4,0.0,0.0
,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2017-12-31,2018-01-31,2,4,0.0,0.0
,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2018-02-28,2026-05-31,100,4,0.0,0.0
I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2015-01-30,2025-07-31,125,4,0.0,0.0
I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP 1/,Certificados y Depósitos a Plazo del BCRP 1/,I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP 1/,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2025-08-31,2026-05-31,10,4,0.0,0.0
I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,renta_fija_soberana_local,tasas_soberanas_peru_pendiente,baja,renta_fija_soberana_local,2015-01-30,2026-05-31,135,4,0.0,0.0
I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda,2015-01-30,2025-07-31,125,4,0.6676859653548655,3.920124685051956
,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda,2017-12-31,2018-01-31,2,4,0.9184147998387928,2.2558221183442053
,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos Hipotecarios,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos Hipotecarios,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,deuda_generica_titulizadora,2017-12-31,2018-01-31,2,4,0.0,0.9700202629486936
I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización 3/,Bonos de Titulización 3/,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización 3/,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda,2025-08-31,2026-05-31,10,4,0.0003505524100655,0.4393199068086254
I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Papel Comercial TIT,Papel Comercial TIT,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Papel Comercial TIT,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda,2020-12-31,2026-05-31,66,4,0.0,0.2145045295695595
,II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras > Bonos de Titulización,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Papel Comercial,Papel Comercial,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Papel Comercial,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,deuda_generica_titulizadora,2020-09-30,2026-05-31,69,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,5. Sociedades Titulizadoras,Bonos de Titulización,Bonos de Titulización,II. INVERSIONES EN EL EXTERIOR > 5. Sociedades Titulizadoras > Bonos de Titulización,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda,2015-01-30,2026-05-31,135,4,0.0,0.0
I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,titulizaciones_participacion_local,proxy_activos_alternativos_locales_pendiente,baja,titulizacion_participacion,2015-01-30,2026-05-31,135,4,0.0,3.3752290558575844
,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,titulizaciones_participacion_local,proxy_activos_alternativos_locales_pendiente,baja,titulizacion_participacion,2017-12-31,2018-01-31,2,4,0.0,0.9401843455935964
