nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct
I. INVERSIONES LOCALES,3. Empresas no Financieras,Fondo de inversiones alternativos,Fondo de inversiones alternativos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Fondo de inversiones alternativos,alternativos_local,proxy_alternativos_pendiente,baja,fondos_alternativos,2022-03-31,2026-05-31,51,4,0.0,0.0355809943003551
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo (2) (4),Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2) (4),depositos_exterior,tasas_cortas_usd_fx,baja,depositos_exterior,2015-01-30,2025-07-31,125,4,0.5929404769319595,10.32102367222256
II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/ 4/,Certificados y Depósitos a Plazo 2/ 4/,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/ 4/,depositos_exterior,tasas_cortas_usd_fx,baja,depositos_exterior,2025-08-31,2026-05-31,10,4,0.815327007610557,3.829211639726002
,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2) (4),depositos_exterior,tasas_cortas_usd_fx,baja,depositos_exterior,2017-12-31,2018-01-31,2,4,0.7190499210067007,1.172080690051131
I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo (2),Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2),depositos_locales,tasas_cortas_pen_pendiente,baja,depositos_locales,2015-01-30,2025-07-31,125,4,1.598130752146544,16.459168040272147
I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo 2/,Certificados y Depósitos a Plazo 2/,I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo 2/,depositos_locales,tasas_cortas_pen_pendiente,baja,depositos_locales,2025-08-31,2026-05-31,10,4,1.1216900703687545,6.7759862714266
,I. INVERSIONES LOCALES,2. Sistema Financiero,Certificados y Depósitos a Plazo (2),I. INVERSIONES LOCALES > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2),depositos_locales,tasas_cortas_pen_pendiente,baja,depositos_locales,2017-12-31,2018-01-31,2,4,3.37839377619429,4.787468234310156
I. INVERSIONES LOCALES,4. Administradoras de Fondos,Fondos Mutuos del Extranjero - ETF del mercado local,Fondos Mutuos del Extranjero - ETF del mercado local,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Fondos Mutuos del Extranjero - ETF del mercado local,etf_exterior_via_mercado_local,ACWI_EEM_QQQ_por_identificar,media,fondos_etf,2019-01-31,2026-05-31,89,4,0.0004253022621096,8.104462018196875
II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Fondos de inversión,Fondos de inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Fondos de inversión,fondos_inversion_exterior,proxy_fondos_exterior_pendiente,baja,fondos_inversion_exterior_actual_historico,2021-01-31,2026-05-31,65,4,0.0,0.2169373850044203
,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,fondos_inversion_exterior,proxy_fondos_exterior_pendiente,baja,fondos_inversion_exterior_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0
