fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,administrador,fondo_local
2015-01-30,CA-0001-en2015.XLS,9,5,Integra,3,4077443.0,unidades,,ACCAPITALES,Fondo de Inversión en Desarrollo Agroindustrial y Forestal
2015-01-30,CA-0001-en2015.XLS,9,5,Profuturo,3,5260482.0,unidades,,ACCAPITALES,Fondo de Inversión en Desarrollo Agroindustrial y Forestal
2015-01-30,CA-0001-en2015.XLS,9,6,Integra,3,4481974.0,unidades,,ACCAPITALES,"Fondo de Inversión en Infraestructura, Servicios Públicos y Recursos Naturales"
2015-01-30,CA-0001-en2015.XLS,9,6,Profuturo,3,579723.0,unidades,,ACCAPITALES,"Fondo de Inversión en Infraestructura, Servicios Públicos y Recursos Naturales"
2015-01-30,CA-0001-en2015.XLS,9,7,Integra,3,8267996.0,unidades,,ACCAPITALES,Fondo Inmobiliario II
2015-01-30,CA-0001-en2015.XLS,9,7,Prima,3,10878941.0,unidades,,ACCAPITALES,Fondo Inmobiliario II
2015-01-30,CA-0001-en2015.XLS,9,7,Profuturo,3,1813157.0,unidades,,ACCAPITALES,Fondo Inmobiliario II
2015-01-30,CA-0001-en2015.XLS,9,8,Integra,3,3334203.0,unidades,,ACCAPITALES,Multirenta Inmobiliaria - Aumento Capital
2015-01-30,CA-0001-en2015.XLS,9,8,Profuturo,3,7138693.0,unidades,,ACCAPITALES,Multirenta Inmobiliaria - Aumento Capital
2015-01-30,CA-0001-en2015.XLS,9,10,Integra,3,260824.0,unidades,,BlackRock ITC P,ETF - EPU
2015-01-30,CA-0001-en2015.XLS,9,10,Prima,3,839969.0,unidades,,BlackRock ITC P,ETF - EPU
2015-01-30,CA-0001-en2015.XLS,9,10,Profuturo,3,115858.0,unidades,,BlackRock ITC P,ETF - EPU
2015-01-30,CA-0001-en2015.XLS,9,12,Integra,3,26.9121711,unidades,,Carlyle Peru GP,Carlyle Peru Fund
2015-01-30,CA-0001-en2015.XLS,9,12,Prima,3,65.241675,unidades,,Carlyle Peru GP,Carlyle Peru Fund
2015-01-30,CA-0001-en2015.XLS,9,12,Profuturo,3,29.358755,unidades,,Carlyle Peru GP,Carlyle Peru Fund
2015-01-30,CA-0001-en2015.XLS,9,14,Integra,3,122590.0,unidades,,COMPASS GROUP,Fondo de Inversión Inmobiliario I
2015-01-30,CA-0001-en2015.XLS,9,14,Prima,3,171391.0,unidades,,COMPASS GROUP,Fondo de Inversión Inmobiliario I
2015-01-30,CA-0001-en2015.XLS,9,15,Prima,3,8444.0,unidades,,COMPASS GROUP,Fondo Pyme
2015-01-30,CA-0001-en2015.XLS,9,18,Integra,3,99.0,unidades,,ENFOCA SAFI,Descubridor 1
2015-01-30,CA-0001-en2015.XLS,9,18,Profuturo,3,29.0,unidades,,ENFOCA SAFI,Descubridor 1
2015-01-30,CA-0001-en2015.XLS,9,19,Integra,3,375.0,unidades,,ENFOCA SAFI,Descubridor 2
