afp,nombre,tipo_ensemble,modelos,pesos,mape_validacion_pct,p90_validacion_pct
Habitat,BLEND_EW_RIDGE_HL60_A0.001_DIARIO_RIDGE_W0.50_0.50,PAR,"[""EW_RIDGE_HL60_A0.001"", ""DIARIO_RIDGE""]","[0.5, 0.5]",0.7208642580925151,1.4758623791976084
Integra,BLEND_EW_RIDGE_HL120_A0.001_DIARIO_RIDGE_W0.25_0.75,PAR,"[""EW_RIDGE_HL120_A0.001"", ""DIARIO_RIDGE""]","[0.25, 0.75]",0.6467385575507865,1.2202008166642868
Prima,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.35_0.65,PAR,"[""EW_RIDGE_HL250_A0.001"", ""DIARIO_RIDGE""]","[0.35, 0.65]",0.6012346391031286,1.2533831013717835
Profuturo,BLEND_EW_RIDGE_HL250_A0.001_DIARIO_RIDGE_W0.00_1.00,PAR,"[""EW_RIDGE_HL250_A0.001"", ""DIARIO_RIDGE""]","[0.0, 1.0]",0.6223169080091993,1.2590241336645176
