factor_base,contribucion_retorno,numero_rezagos,contribucion_puntos_pct,afp,esquema_rezago,fecha,retorno_real_pct,retorno_estimado_pct,intercepto_pct,residual_pct,ranking_contribucion
mercado_global,0.00212743018838992,3,0.212743018838992,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,1
emergentes_extra,0.0009323768920307574,3,0.09323768920307574,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,2
tecnologia_extra,0.0008275434152906736,3,0.08275434152906737,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,3
vix,0.0004300796624407754,3,0.04300796624407754,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,4
bonos_tesoro,0.00035340609628769674,3,0.03534060962876968,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,5
peru_extra,0.0002960287089050149,3,0.029602870890501492,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,6
spread_credito,-0.0001785365177717094,3,-0.01785365177717094,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,7
fx_usdpen,-3.719250527165412e-05,3,-0.003719250527165412,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,8
cobre_extra,-1.682493183582739e-05,3,-0.001682493183582739,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,9
intercepto,0.0002050324068633681,0,0.02050324068633681,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,10
residual_no_explicado,0.0058625714218962025,0,0.5862571421896202,Habitat,lag0_1_2,2026-06-30,1.09564144007625,0.5093842978866299,0.02050324068633681,0.5862571421896202,11
mercado_global,0.0021387702851593873,1,0.21387702851593873,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,1
emergentes_extra,0.0009496338513765032,1,0.09496338513765032,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,2
vix,0.0005033137201815238,1,0.05033137201815238,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,3
tecnologia_extra,0.00048454502788414336,1,0.04845450278841434,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,4
bonos_tesoro,0.00044943940793617604,1,0.044943940793617604,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,5
spread_credito,-0.0003884400921316165,1,-0.038844009213161654,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,6
peru_extra,0.00031457620064834544,1,0.031457620064834546,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,7
fx_usdpen,-1.9095572360197512e-05,1,-0.0019095572360197511,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,8
cobre_extra,-1.5936893405035574e-05,1,-0.0015936893405035573,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,9
intercepto,0.00015431627181909592,0,0.015431627181909591,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,10
residual_no_explicado,0.009110028863184374,0,0.9110028863184374,Integra,lag0,2026-06-30,1.3681151070292699,0.45711222071083263,0.015431627181909591,0.9110028863184374,11
mercado_global,0.0022025410636270877,1,0.22025410636270876,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,1
emergentes_extra,0.0010159916232906228,1,0.10159916232906228,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,2
bonos_tesoro,0.0005177292790123806,1,0.05177292790123805,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,3
spread_credito,-0.0004123405653068952,1,-0.04123405653068952,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,4
vix,0.00041224921992651407,1,0.04122492199265141,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,5
peru_extra,0.00031128065249650245,1,0.031128065249650245,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,6
tecnologia_extra,0.0003086236319877904,1,0.03086236319877904,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,7
fx_usdpen,-1.9993983783056758e-05,1,-0.0019993983783056757,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,8
cobre_extra,-3.8497414120040976e-06,1,-0.00038497414120040977,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,9
intercepto,0.00013181506284687766,0,0.013181506284687766,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,10
residual_no_explicado,0.01031297120118408,0,1.031297120118408,Prima,lag0,2026-06-30,1.47770174438699,0.44640462426858196,0.013181506284687766,1.031297120118408,11
mercado_global,0.0021889773139058748,2,0.21889773139058746,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,1
emergentes_extra,0.0011551202756626341,2,0.11551202756626341,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,2
tecnologia_extra,0.0007044815765389045,2,0.07044815765389045,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,3
bonos_tesoro,0.0006086648968883307,2,0.06086648968883307,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,4
vix,0.0005853003855686065,2,0.058530038556860654,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,5
peru_extra,0.0003115916074395533,2,0.03115916074395533,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,6
spread_credito,-0.00028367255880451086,2,-0.028367255880451085,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,7
fx_usdpen,-0.00010059405151224855,2,-0.010059405151224854,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,8
cobre_extra,4.331472167077611e-06,2,0.00043314721670776116,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,9
intercepto,0.00015860337465274996,0,0.015860337465274994,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,10
residual_no_explicado,0.0035798448885987957,0,0.35798448885987955,Profuturo,lag0_1,2026-06-30,0.89959633010854,0.5416118412486605,0.015860337465274994,0.35798448885987955,11
