afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,indice,pais_region,ticker_elegido,moneda_local,moneda_modelo,transformacion,fx_ticker,fx_modo
Integra,ret_IDX_LOCAL_EUROPA_STOXX_EUROPE_600,0,1779,99.9438202247191,0.5481519313203789,0.6306135490260905,0.21733412878609748,0.5481519313203789,STOXX Europe 600,Europa,^STOXX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_PA_SES_BAJOS_AEX,0,1779,99.9438202247191,0.5407942863632911,0.6157230387995667,0.25735043849416517,0.5407942863632911,AEX,Países Bajos,^AEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_COMPOSITE,0,1779,99.9438202247191,0.5398744225443227,0.5948654406274382,0.20925650986559496,0.5398744225443227,Nasdaq Composite,Estados Unidos,^IXIC,USD,USD,retorno_indice_moneda_local,,USD
Integra,ret_IDX_LOCAL_ZONA_EURO_EURO_STOXX_50,0,1779,99.9438202247191,0.5359719824272104,0.6190982777406209,0.2161616382301199,0.5359719824272104,EURO STOXX 50,Zona euro,^STOXX50E,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_FRANCIA_CAC_40,0,1779,99.9438202247191,0.5334619931862088,0.6196189645857492,0.26020650521839084,0.5334619931862088,CAC 40,Francia,^FCHI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_ALEMANIA_MDAX,0,1779,99.9438202247191,0.5305349709100847,0.6007361765634869,0.2256336303799431,0.5305349709100847,MDAX,Alemania,^MDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_ESTADOS_UNIDOS_RUSSELL_2000,0,1779,99.9438202247191,0.5282020249652966,0.5811703195243199,0.2100190221199334,0.5282020249652966,Russell 2000,Estados Unidos,^RUT,USD,USD,retorno_indice_moneda_local,,USD
Integra,ret_IDX_LOCAL_ALEMANIA_DAX,0,1779,99.9438202247191,0.521959451651865,0.6028007953475031,0.19627319255112585,0.521959451651865,DAX,Alemania,^GDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_100,0,1779,99.9438202247191,0.5103358862733397,0.5689309683636196,0.21266785783552233,0.5103358862733397,Nasdaq 100,Estados Unidos,^NDX,USD,USD,retorno_indice_moneda_local,,USD
Integra,ret_IDX_LOCAL_CANAD_S_P_TSX_COMPOSITE,0,1779,99.9438202247191,0.5076416970848379,0.5894452412152625,0.2205960541574994,0.5076416970848379,S&P/TSX Composite,Canadá,^GSPTSE,CAD,CAD,retorno_indice_moneda_local,CAD=X,INVERSO
Integra,ret_IDX_LOCAL_REINO_UNIDO_FTSE_100,0,1779,99.9438202247191,0.5041604799188911,0.5890210737528665,0.19254020804306826,0.5041604799188911,FTSE 100,Reino Unido,^FTSE,GBP,GBP,retorno_indice_moneda_local,GBPUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_ESPA_A_IBEX_35,0,1779,99.9438202247191,0.46763157925724647,0.569131308965466,0.1730803885192307,0.46763157925724647,IBEX 35,España,^IBEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Integra,ret_IDX_LOCAL_SUIZA_SMI,0,1779,99.9438202247191,0.46342232936276845,0.5119716238449646,0.16940131521920065,0.46342232936276845,SMI,Suiza,^SSMI,CHF,CHF,retorno_indice_moneda_local,CHF=X,INVERSO
Integra,ret_IDX_LOCAL_ITALIA_FTSE_MIB,0,1779,99.9438202247191,0.4622837223397642,0.5581340045737375,0.16238134405802107,0.4622837223397642,FTSE MIB,Italia,FTSEMIB.MI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
