factor,lag,n_train,spearman_train,pearson_train,abs_spearman_train,afp
ret_USD_BAP,0,1778,0.34593424156018365,0.4340986916308268,0.34593424156018365,Habitat
ret_USD_BHP,0,1778,0.3405893256629461,0.4123764486770496,0.3405893256629461,Habitat
ret_USD_SCCO,0,1778,0.33870297890029616,0.4039629647752591,0.33870297890029616,Habitat
ret_USD_RIO,0,1778,0.31945308265732025,0.37244155332257406,0.31945308265732025,Habitat
ret_USD_FCX,0,1778,0.3138567089788724,0.36720946808289456,0.3138567089788724,Habitat
ret_USD_VALE,0,1778,0.2978136334810945,0.32946472085791145,0.2978136334810945,Habitat
ret_PEN_BHP,0,1778,0.2849366449268762,0.3448819013572159,0.2849366449268762,Habitat
ret_PEN_FCX,0,1778,0.2845739353332862,0.3362288987511842,0.2845739353332862,Habitat
ret_PEN_SCCO,0,1778,0.28044366341926547,0.33243138832637564,0.28044366341926547,Habitat
ret_PEN_BAP,0,1778,0.2667698605904706,0.3489225148973818,0.2667698605904706,Habitat
ret_PEN_RIO,0,1778,0.2656551154857813,0.3056100933179651,0.2656551154857813,Habitat
ret_PEN_VALE,0,1778,0.2629572287692287,0.29377882137642936,0.2629572287692287,Habitat
ret_USD_VALE,1,1777,0.23278593069898423,0.18541686494854875,0.23278593069898423,Habitat
ret_USD_SCCO,1,1777,0.22880004432616924,0.19111266678609853,0.22880004432616924,Habitat
ret_USD_BHP,1,1777,0.22834504929387808,0.20881516294522456,0.22834504929387808,Habitat
ret_USD_RIO,1,1777,0.22057419648298396,0.20393282406638474,0.22057419648298396,Habitat
ret_PEN_VALE,1,1777,0.21733341435153009,0.16781016237029447,0.21733341435153009,Habitat
ret_USD_FCX,1,1777,0.20967647138281595,0.19755967799371157,0.20967647138281595,Habitat
ret_USD_BAP,1,1777,0.20641591229588704,0.1708877636286224,0.20641591229588704,Habitat
ret_PEN_BHP,1,1777,0.20170690374951603,0.17742190235217162,0.20170690374951603,Habitat
ret_PEN_FCX,1,1777,0.19942646899131353,0.18280198350433363,0.19942646899131353,Habitat
ret_PEN_SCCO,1,1777,0.19826615460285207,0.15941202406614977,0.19826615460285207,Habitat
ret_PEN_RIO,1,1777,0.19717679939157395,0.17073324743005067,0.19717679939157395,Habitat
ret_PEN_BAP,1,1777,0.1738646171171588,0.1378048601977074,0.1738646171171588,Habitat
ret_USD_BVN,0,1778,0.12065108687843383,0.1773325557589303,0.12065108687843383,Habitat
ret_USD_BVN,1,1777,0.09739811017321638,0.09823237918208876,0.09739811017321638,Habitat
ret_USD_NEM,1,1777,0.09638172042760959,0.10382482210184683,0.09638172042760959,Habitat
ret_PEN_BVN,0,1778,0.09203369192574434,0.15047256568188114,0.09203369192574434,Habitat
ret_PEN_BVN,1,1777,0.08541525060117124,0.08673779738555491,0.08541525060117124,Habitat
