afp,tipo_modelo,factor,lag,coeficiente_estandarizado,abs_coeficiente
Habitat,CAMPEON_PRE_BVL,ret_USD_VT,0,0.003209477452523655,0.003209477452523655
Habitat,CAMPEON_PRE_BVL,ret_USD_EPU,0,0.0025262666382788253,0.0025262666382788253
Habitat,CAMPEON_PRE_BVL,ret_USD_EFA,0,-0.0020014085697719654,0.0020014085697719654
Habitat,CAMPEON_PRE_BVL,ret_USD_IWM,0,-0.00042360939226332396,0.00042360939226332396
Habitat,CAMPEON_PRE_BVL,ret_USD_XLE,0,0.0004183182439911501,0.0004183182439911501
Habitat,CAMPEON_PRE_BVL,ret_IDX_VIX,0,-0.0003750540191072779,0.0003750540191072779
Habitat,CAMPEON_PRE_BVL,ret_PEN_REMX,0,-0.0001821749255777653,0.0001821749255777653
Habitat,CAMPEON_PRE_BVL,ret_USD_XLY,0,-5.1773945401634406e-05,5.1773945401634406e-05
Habitat,CAMPEON_PRE_BVL,ret_USD_EWG,0,-2.0298312012311734e-05,2.0298312012311734e-05
Habitat,CAMPEON_MAS_BVL,ret_USD_VT,0,0.0031922876104517207,0.0031922876104517207
Habitat,CAMPEON_MAS_BVL,ret_USD_EPU,0,0.0020994906561142964,0.0020994906561142964
Habitat,CAMPEON_MAS_BVL,ret_USD_EFA,0,-0.0018666179931667384,0.0018666179931667384
Habitat,CAMPEON_MAS_BVL,ret_BVL_PEN_INRETAIL_PERU,0,0.0010126337698302798,0.0010126337698302798
Habitat,CAMPEON_MAS_BVL,ret_BVL_PEN_MINSUR,0,0.0009939849143033896,0.0009939849143033896
Habitat,CAMPEON_MAS_BVL,ret_USD_XLE,0,0.0005773403918719442,0.0005773403918719442
Habitat,CAMPEON_MAS_BVL,ret_USD_IWM,0,-0.00035716442367269966,0.00035716442367269966
Habitat,CAMPEON_MAS_BVL,ret_IDX_VIX,0,-0.00025555878219498914,0.00025555878219498914
Habitat,CAMPEON_MAS_BVL,ret_PEN_REMX,0,-0.0002171438947497626,0.0002171438947497626
Habitat,CAMPEON_MAS_BVL,ret_USD_XLY,0,-8.45493927810617e-05,8.45493927810617e-05
Habitat,CAMPEON_MAS_BVL,ret_BVL_PEN_UNACEM,0,7.590492164602245e-05,7.590492164602245e-05
Habitat,CAMPEON_MAS_BVL,ret_USD_EWG,0,-3.3278356635099465e-05,3.3278356635099465e-05
Integra,CAMPEON_PRE_BVL,ret_USD_EPU,0,0.002028182937580024,0.002028182937580024
Integra,CAMPEON_PRE_BVL,ret_USD_SPY,0,0.0010362316558686392,0.0010362316558686392
Integra,CAMPEON_PRE_BVL,ret_PEN_FCX,1,0.0004443125828700379,0.0004443125828700379
Integra,CAMPEON_PRE_BVL,ret_USD_COPX,0,0.0004383866587290948,0.0004383866587290948
Integra,CAMPEON_MAS_BVL,ret_USD_SPY,0,0.0010740384200643173,0.0010740384200643173
Integra,CAMPEON_MAS_BVL,ret_USD_EPU,0,0.0010028817951188366,0.0010028817951188366
Integra,CAMPEON_MAS_BVL,ret_BVL_PEN_INRETAIL_PERU,0,0.0008058152196038415,0.0008058152196038415
