afp,escenario,esquema_rezago,alpha_ridge,fecha_test_inicio,fecha_test_fin,numero_variables,observaciones,rmse,mae,r2,correlacion,acierto_direccion_pct,ranking_rmse
Habitat,M0_sin_pesos,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006578126503866658,0.0043935146518891965,0.40809685121385164,0.7228471553830594,74.73118279569893,8
Habitat,M1_oraculo_1d,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006512619915326326,0.004336007135803287,0.4198267860928785,0.7346962444851575,75.26881720430107,4
Habitat,M1_publico_30d,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006511251750882763,0.0043382993160115645,0.42007052486322194,0.7363815027500556,75.26881720430107,3
Habitat,M1_publico_45d,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006528795499731665,0.00434964793724793,0.41694122072387796,0.7334343212543439,74.73118279569893,5
Habitat,M1_publico_60d,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006537439082625336,0.004355787220407611,0.41539635598611147,0.7318801716810373,75.0,6
Habitat,M1_pesos_12m_atras,lag0_1_2,100.0,2025-01-02,2026-06-30,30,372,0.006308950199136656,0.004214905021887107,0.4555469857656631,0.7307826722913211,75.26881720430107,1
Habitat,M1_afp_equivocada_45d,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006543602845078152,0.00435288071144437,0.4142934602983209,0.7225469437545077,75.0,7
Habitat,M1_pesos_constantes_train,lag0_1_2,1000.0,2025-01-02,2026-06-30,30,372,0.006578126503866658,0.0043935146518891965,0.40809685121385164,0.7228471553830595,74.73118279569893,9
Habitat,M2_hibrido_publico_45d,lag0_1_2,1000.0,2025-01-02,2026-06-30,60,372,0.0064463805310457445,0.0042932181746335,0.4315685677362794,0.7312006646097129,75.26881720430107,2
Integra,M0_sin_pesos,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.007046080347626831,0.004847506636397643,0.39971773182216086,0.7749444253768806,75.26881720430107,8
Integra,M1_oraculo_1d,lag0,100.0,2025-01-02,2026-06-30,10,372,0.006729195397236734,0.004623055262462494,0.45249686429963065,0.7859467365139724,75.26881720430107,1
Integra,M1_publico_30d,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.006907914998912338,0.004769886997172055,0.4230285782762675,0.7928176802279753,75.53763440860214,5
Integra,M1_publico_45d,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.00693086294086991,0.0047901411482983635,0.41918883829595355,0.7906940758694475,75.53763440860214,6
Integra,M1_publico_60d,lag0,100.0,2025-01-02,2026-06-30,10,372,0.006783794274081153,0.004675649617404491,0.44357623512926336,0.7823341395091222,76.0752688172043,2
Integra,M1_pesos_12m_atras,lag0,100.0,2025-01-02,2026-06-30,10,372,0.006844087396812288,0.004745588338401641,0.43364149608281644,0.7568252027561406,74.73118279569893,3
Integra,M1_afp_equivocada_45d,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.006979126955533135,0.004819064001071315,0.4110715570936646,0.7877352252839124,75.80645161290323,7
Integra,M1_pesos_constantes_train,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.007046080347626831,0.004847506636397642,0.39971773182216097,0.7749444253768807,75.26881720430107,9
Integra,M2_hibrido_publico_45d,lag0,1000.0,2025-01-02,2026-06-30,20,372,0.0068779922656398524,0.004735420670543016,0.4280162394915067,0.7842684934725467,75.80645161290323,4
Prima,M0_sin_pesos,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.007431577379956597,0.005059919481732736,0.38431225788018275,0.7808334055170374,76.0752688172043,8
Prima,M1_oraculo_1d,lag0,0.01,2025-01-02,2026-06-30,10,372,0.007208055867058584,0.004857535955498501,0.42079168622492136,0.7682811510430753,76.61290322580645,1
Prima,M1_publico_30d,lag0,0.01,2025-01-02,2026-06-30,10,372,0.007253850954730866,0.0049068298382182254,0.41340851479030083,0.7624270277829855,76.34408602150538,3
Prima,M1_publico_45d,lag0,0.01,2025-01-02,2026-06-30,10,372,0.007302363555749972,0.004932816943528785,0.4055362171463124,0.759625396217765,75.80645161290323,5
Prima,M1_publico_60d,lag0,0.01,2025-01-02,2026-06-30,10,372,0.007278311587439646,0.004916591415107132,0.40944576700290236,0.7567825944879754,77.15053763440861,4
Prima,M1_pesos_12m_atras,lag0,100.0,2025-01-02,2026-06-30,10,372,0.007374053528081034,0.005078357028875234,0.3938067858180706,0.7777711150319673,74.19354838709677,7
Prima,M1_afp_equivocada_45d,lag0,0.01,2025-01-02,2026-06-30,10,372,0.007244263923495839,0.004924221851378413,0.41495802405696636,0.77007402353518,75.53763440860214,2
Prima,M1_pesos_constantes_train,lag0,1000.0,2025-01-02,2026-06-30,10,372,0.007431577379956597,0.005059919481732736,0.38431225788018275,0.7808334055170374,76.0752688172043,9
Prima,M2_hibrido_publico_45d,lag0,1000.0,2025-01-02,2026-06-30,20,372,0.0073155765515826214,0.004968243258648202,0.4033830091942773,0.7839255971569611,76.34408602150538,6
Profuturo,M0_sin_pesos,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007448769638923201,0.005024184395439608,0.39077051327889756,0.7421191688333018,74.73118279569893,9
Profuturo,M1_oraculo_1d,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007385742402315688,0.004959477328135257,0.4010367993011845,0.7374380316235113,74.73118279569893,4
Profuturo,M1_publico_30d,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007395025160607385,0.004966644911078801,0.39953024129459325,0.7408739898292955,75.80645161290323,7
Profuturo,M1_publico_45d,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007390366583967982,0.0049663553464531,0.400286547926202,0.744763293295007,76.0752688172043,5
Profuturo,M1_publico_60d,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.007392260252966848,0.004970305774459862,0.3999791736553505,0.7461068201446676,76.34408602150538,6
Profuturo,M1_pesos_12m_atras,lag0_1,100.0,2025-01-02,2026-06-30,20,372,0.007110420989410282,0.004829341352677844,0.4448600806638976,0.7773938347646328,76.0752688172043,1
Profuturo,M1_afp_equivocada_45d,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.00734404718272298,0.004954036685681035,0.4077804433154194,0.7416851755906589,74.73118279569893,3
Profuturo,M1_pesos_constantes_train,lag0_1,1000.0,2025-01-02,2026-06-30,20,372,0.0074487696389232,0.005024184395439608,0.39077051327889767,0.7421191688333018,74.73118279569893,8
Profuturo,M2_hibrido_publico_45d,lag0_1,1000.0,2025-01-02,2026-06-30,40,372,0.007306855281929837,0.00490688155779432,0.4137635201484249,0.7467993175969627,76.0752688172043,2
