afp,paso,accion,factor_entra,indice_entra,max_corr_con_canasta,mape_antes_pct,mape_despues_pct,mejora_mape_puntos,p90_despues_pct,aceptado
Habitat,1,AGREGAR,ret_IDX_LOCAL_AUSTRALIA_S_P_ASX_200,S&P/ASX 200,0.41726204283331453,0.5374078537771223,0.5160675054023174,0.02134034837480492,1.1129938974331395,True
Habitat,2,AGREGAR,ret_IDX_LOCAL_JAP_N_NIKKEI_225,Nikkei 225,0.4728123125265095,0.5160675054023174,0.5125223398840926,0.003545165518224813,1.1325154754147844,True
Habitat,3,AGREGAR,ret_IDX_LOCAL_ITALIA_FTSE_MIB,FTSE MIB,0.6921991480736011,0.5125223398840926,0.5117140334995307,0.0008083063845618632,1.132991407311441,False
Integra,1,AGREGAR,ret_IDX_PEN_PA_SES_BAJOS_AEX,AEX,0.37494932151773747,0.6366845225895563,0.6333670792620207,0.0033174433275355852,1.2403311553646348,True
Integra,2,AGREGAR,ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,KOSPI,0.31188172848921614,0.6333670792620207,0.6329145975706205,0.00045248169140021943,1.2220873746823286,False
Prima,1,AGREGAR,ret_IDX_LOCAL_INDIA_NIFTY_50,Nifty 50,0.40372388239211954,0.5774496295748925,0.5639092209314441,0.01354040864344841,1.244535135114461,True
Prima,2,AGREGAR,ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,KOSPI,0.4830630574306183,0.5639092209314441,0.559055867972073,0.004853352959371171,1.2345909363750582,True
Prima,3,AGREGAR,ret_IDX_LOCAL_M_XICO_S_P_BMV_IPC,S&P/BMV IPC,0.5526878398996307,0.559055867972073,0.5583031792313968,0.0007526887406761329,1.2355651740864262,False
Profuturo,1,AGREGAR,ret_IDX_LOCAL_COREA_DEL_SUR_KOSPI,KOSPI,0.31188172848921614,0.6069115068706776,0.6050643013361673,0.0018472055345103433,1.2435860644446934,False
