fecha_cuota,afp,retorno_estimado,suma_contribuciones_incluye_intercepto,contribucion_intercepto,diferencia_reconciliacion,reconciliado
2026-07-01,Habitat,-0.002693249699253,-0.0026932496992529997,0.0003371394044784,4.336808689942018e-19,True
2026-07-02,Habitat,0.0036949999506027,0.0036949999506026,0.0003371394044784,-9.974659986866641e-17,True
2026-07-03,Habitat,0.0007792271548088,0.0007792271548087,0.0003371394044784,-9.996344030316351e-17,True
2026-07-01,Integra,-0.0042312668712281,-0.0042312668712282,0.0001212487033539,-9.974659986866641e-17,True
2026-07-02,Integra,0.0050483590709514,0.0050483590709512,0.0001212487033539,-1.9949319973733282e-16,True
2026-07-03,Integra,0.0001212487033539,0.0001212487033539,0.0001212487033539,0.0,True
2026-07-01,Prima,-0.0036244486612425,-0.0036244486612425,0.0002058022487663,0.0,True
2026-07-02,Prima,0.0036442122139756,0.0036442122139754996,0.0002058022487663,-1.0018028073766061e-16,True
2026-07-03,Prima,0.0007150866887452,0.0007150866887452001,0.0002058022487663,1.0842021724855044e-19,True
2026-07-01,Profuturo,-0.0043517510809062,-0.0043517510809062,0.0001499087926527,0.0,True
2026-07-02,Profuturo,0.0052435709316492,0.0052435709316490005,0.0001499087926527,-1.9949319973733282e-16,True
2026-07-03,Profuturo,0.0001499087926527,0.0001499087926527,0.0001499087926527,0.0,True
