afp,n_observaciones,pearson_cuota_real_vs_estimada,spearman_cuota_real_vs_estimada,pearson_retorno_acumulado,spearman_retorno_acumulado,mape_cuota_pct,direccion_acumulada_pct
Habitat,593,0.9975412847088783,0.9854853653882695,0.8476965108457001,0.8215569739600095,0.638053230178653,83.6424957841484
Integra,593,0.9955433001574757,0.9825314206759761,0.8030384920764023,0.7933374122244276,0.7187925348940113,79.76391231028668
Prima,593,0.9938733756271205,0.9824644941746972,0.7880153150831181,0.7915142261685265,0.7831184574045891,81.28161888701517
Profuturo,593,0.9943223583060821,0.9856774553807623,0.8144210461857482,0.8240962678146491,0.751327910449161,82.79932546374368
