grupo,entidad,fila_entidad,numero_isin,max_diferencia_abs,max_diferencia_rel,estado
123,Neuberger Berman Europe Limited,308,1,0.0,0.0,reconciliado
124,BARING INTERNATIONAL FUND MANAGERS (IRL) LTD,310,2,0.0,0.0,reconciliado
125,"Krane Funds Advisors, LLC",313,1,0.0,0.0,reconciliado
126,UTI International (Singapore) Private Limited,315,1,0.0,0.0,reconciliado
127,Ashmore Investment Management (Ireland) Limit,317,2,0.0,0.0,reconciliado
128,Moneda S.A. Administradora General de Fondos,320,1,0.0,0.0,reconciliado
129,Edmond de Rothschild Asset Management Luxembo,322,1,0.0,0.0,reconciliado
130,LARRAINVIAL ASSET MANAGEMENT SICAV,324,1,0.0,0.0,reconciliado
131,BlueBay Funds Management Company S.A.,326,4,0.0,0.0,reconciliado
132,Schroder Investment Management (Europe) SA,331,3,0.0,0.0,reconciliado
133,"Joh. Berenberg, Gossier & Co. KG",335,2,2.2737367544323206e-13,1.3033811398036923e-16,reconciliado
134,Invesco Capital Management LLC,338,3,0.0,0.0,reconciliado
135,BlackRock Luxembourg S.A.,342,1,0.0,0.0,reconciliado
136,MSIM Fund Management (Ireland) Limited,344,1,0.0,0.0,reconciliado
137,Compass Group Chile S.A. Administradora Gener,346,1,0.0,0.0,reconciliado
138,State Street Global Advisors Inc,348,4,1.4551915228366852e-11,1.859231667115191e-16,reconciliado
139,Waystone Management Company (Lux) S.A,353,1,0.0,0.0,reconciliado
140,Universal-Investment-Luxembourg S.A.,355,1,0.0,0.0,reconciliado
141,J.P. Morgan Investment Management Inc.,357,1,0.0,0.0,reconciliado
142,Ninety One Global Natural Resources,359,1,0.0,0.0,reconciliado
143,Carne Global Fund Managers (Luxembourg) S.A.,361,1,0.0,0.0,reconciliado
144,Moneda Latam High Yield Credit Fund PLC,363,1,0.0,0.0,reconciliado
145,Colchester Global Investors Limited,365,1,0.0,0.0,reconciliado
146,Carne Global Fund Managers (Ireland) Limited,367,1,0.0,0.0,reconciliado
147,Global X Management Company LLC,369,2,0.0,0.0,reconciliado
148,First Trust Portfolios LP,372,1,0.0,0.0,reconciliado
149,"Oaktree Capital Management, L. P.",374,1,0.0,0.0,reconciliado
150,Janus Henderson Investors Europe S.A.,376,1,0.0,0.0,reconciliado
151,NS Partners Europe S.A.,378,1,0.0,0.0,reconciliado
152,MONEDA ASSET MANAGEMENT,380,1,0.0,0.0,reconciliado
153,PIMCO ETF Trust,382,1,0.0,0.0,reconciliado
154,BlackRock Asset Management (Deutschland) AG,384,2,2.9103830456733704e-11,1.9234507125594063e-16,reconciliado
155,Jupiter Asset Management International S.A.,387,1,0.0,0.0,reconciliado
156,"ARCANO CAPITAL, SGECR, S.A.",389,3,0.0,0.0,reconciliado
157,Premier Portfolio Managers Ltd,393,1,0.0,0.0,reconciliado
158,Neuberger Berman Asset Management Ireland Ltd,395,1,0.0,0.0,reconciliado
159,LionTrust Fund Partners LLP,397,1,0.0,0.0,reconciliado
160,Invesco Investment Management Ltd,399,1,0.0,0.0,reconciliado
161,Aegon Asset Management UK plc.,401,1,0.0,0.0,reconciliado
162,Patria Finance Limited,403,1,0.0,0.0,reconciliado
163,Aquila Asset Management AG,405,1,0.0,0.0,reconciliado
164,Azimut Investments SA,407,1,0.0,0.0,reconciliado
165,Lazard Fund Managers Ireland Ltd.,409,1,0.0,0.0,reconciliado
166,DNCA Finance SCS,411,1,0.0,0.0,reconciliado
167,Pearl Diver Capital LLC,413,1,0.0,0.0,reconciliado
168,Fundsight S.A.,415,2,0.0,0.0,reconciliado
169,ARK Investment Management LLC,418,1,0.0,0.0,reconciliado
170,Actis GP LLP,421,0,,,sin_isin
171,Actis Global 4 L.P.,422,0,,,sin_isin
172,"Altamar Capital Privado, S.G.E.C.R.",423,0,,,sin_isin
173,"Altamar V - Private Equity Program 2010, F.C.R (de Régimen Simplificado)",424,0,,,sin_isin
174,"Altamar Global Private Equity Program VIII, FCR",425,0,,,sin_isin
175,APAX VIII GP L.P. INC.,426,0,,,sin_isin
176,APAX VIII-A L.P.,427,0,,,sin_isin
177,Arias Resource Capital GP II Ltd.,428,0,,,sin_isin
178,Fondo Arias Resource Capital Fund II L.P.,429,0,,,sin_isin
179,"Coller International General Partner VI, L.P.",430,0,,,sin_isin
180,"Coller International Partners VI Parallel Fund (Latin America),L.P.",431,0,,,sin_isin
181,Carlyle South America Buyout General Partner,432,0,,,sin_isin
182,"Carlyle South America Buyout Fund, L.P.",433,0,,,sin_isin
183,Dover VII Associates L.P.,434,0,,,sin_isin
184,Dover Street VII Cayman Fund L.P.,435,0,,,sin_isin
185,HIPEP VI-Associates L.P.,436,0,,,sin_isin
186,"HIPEP VI- Cayman Fund, L.P",437,0,,,sin_isin
187,HarbourVest IX-Buyout Associates LLC,438,0,,,sin_isin
188,Harvour vest Buyout,439,0,,,sin_isin
189,Larráin Vial S.A. SAF,440,0,,,sin_isin
190,Fondo Energético Americano,441,0,,,sin_isin
191,Lexington Partners GP Holdings VII LLC,442,0,,,sin_isin
192,"Lexington Capital Partners VII (Offshore), L.P.",443,0,,,sin_isin
193,MORGAN STANLEY,444,1,0.0,0.0,reconciliado
194,PARTNERS GROUP MANAGEMENT VI LIMITED,446,0,,,sin_isin
195,"Partners Group Direct Investments 2009, L.P.",447,0,,,sin_isin
196,PASIA VI GP LLC,448,0,,,sin_isin
197,"Pantheon Asia Fund VI, L.P.",449,0,,,sin_isin
198,"Partners Group Secondary 2011 (USD), L.P. Inc",450,0,,,sin_isin
199,Partners Group Secondary 2011,451,0,,,sin_isin
200,Partners Group Management X Limited,452,0,,,sin_isin
201,Partners Group Direct Investment 2012,453,0,,,sin_isin
202,TerranumCapital LatAmerica Real Estate FundGP,454,0,,,sin_isin
203,"Terranum Capital Latin America Real Estate Fund I, L.P.",455,0,,,sin_isin
204,TRG MANAGEMENT L.P.,456,0,,,sin_isin
205,"TRG Latin America Private Equity Fund I, L.P. (LAPEF)",457,0,,,sin_isin
206,Apollo Credit Opportunity Advisors III LP,458,0,,,sin_isin
207,Apollo Credit Opportunity Fund III LP,459,0,,,sin_isin
210,PAI Europe VI General Partner S.A.R.L.,462,0,,,sin_isin
211,PAI Europe VI -1 FPCI,463,0,,,sin_isin
212,PAI Europe VI -1 SCSP,464,0,,,sin_isin
213,Lexington Partners GP Holdings VIII LLC,465,0,,,sin_isin
214,Lexington Capital Partners VIII-A feeder LP,466,0,,,sin_isin
215,"ASSF Operating Manager IV, LP",467,0,,,sin_isin
216,"Ares Special Situations IV, LP",468,0,,,sin_isin
217,"Oaktree Principal Fund VI GP, L.P.",469,0,,,sin_isin
218,Oaktree Principal Fund VI L.P. (Feeder),470,0,,,sin_isin
219,"Avenue Europe Capital Partners III, LLC",471,0,,,sin_isin
220,"Avenue Europe Special Situations Fund III (US), LP",472,0,,,sin_isin
221,HIPEP VII Associates LLC,473,0,,,sin_isin
222,HIPEP VII PARTNERSHIP FEEDER FUND L.P.,474,0,,,sin_isin
225,Partners Group Management XI Limited.,477,0,,,sin_isin
226,"Partners Group Secondary 2015 (USD) C,LP",478,0,,,sin_isin
227,"Coller International General Partner VIII,L.P",479,0,,,sin_isin
228,"Coller International Partners VII Feeder Fund, LP",480,1,55701.8432828948,1.0,revisar
231,Bridgepoint Advisers Limited,484,0,,,sin_isin
232,Bridgepoint Europe V D LP,485,0,,,sin_isin
234,ICG Europe Fund VI GP Limited,487,0,,,sin_isin
235,ICG EUROPE FUND VI FEEDER LIMITED PARTNERSHIP,488,1,4481.1685289005,1.0,revisar
240,Harbourvest Co-Investment IV Associates LP,494,0,,,sin_isin
241,Harbourvest Partners Co-investment Fund IV LP,495,0,,,sin_isin
246,Partners Group Management VII Limited,500,0,,,sin_isin
247,"Partners Group Direct Equity 2016 (USD) C-G, L.P",501,0,,,sin_isin
250,Carlyle Realty VIII LLC,504,0,,,sin_isin
251,"Carlyle Realty Foreign Investors VIII-B, LP",505,0,,,sin_isin
252,"Apollo EPF Adivosrs III, L.P",506,0,,,sin_isin
253,"Apollo European Principal Finance Fund III (EURO B), L.P",507,0,,,sin_isin
254,"Starwood XI Management GP, L.L.C.",508,0,,,sin_isin
255,"Starwood Opportunity Fund XI Investor KP, L.P.",509,0,,,sin_isin
256,"MREP-SCIF II GP, L.P.",510,0,,,sin_isin
257,Metropolitan Real Estate Partners Secondaries Fund EUI-II L.P.,511,0,,,sin_isin
260,PAI Europe VII GP S.à r.l.,514,0,,,sin_isin
261,PAI Europe VII-1 SCSp,515,0,,,sin_isin
262,PAI Europe VII-1 S.L.P.,516,0,,,sin_isin
269,Lexington Partners GP Holdings IX LLC,523,0,,,sin_isin
270,"LCP IX Peru, L.P",524,0,,,sin_isin
271,FRO Fund III GP LLC,525,0,,,sin_isin
272,Fortress Real Estate Opportunities Fund III (C) L.P.,526,0,,,sin_isin
273,TS European VIII GP S.á.r.l,527,0,,,sin_isin
274,Tishman Speyer European Real Estate Venture VIII SCSp,528,0,,,sin_isin
275,ASF VIII GP Limited,529,0,,,sin_isin
276,ASF VIII L.P.,530,0,,,sin_isin
277,"Hellman & Friedman Investors IX, L.P.",531,0,,,sin_isin
278,"Hellman & Friedman Capital Partners IX, L.P.",532,0,,,sin_isin
279,"PGSF VI Feeder GP, LLC",533,1,0.0,0.0,reconciliado
280,CVC Credit Partners Global Special Situations,535,1,0.0,0.0,reconciliado
281,EQT Infrastructure IV (GP) SCS,537,2,0.0,0.0,reconciliado
282,"NB Private Debt Associates III, LP",540,1,0.0,0.0,reconciliado
283,Cinven Capital Management (VII) Limited Partn,542,1,0.0,0.0,reconciliado
284,"Vista Equity Partners Fund VII GP, L.P.",544,1,0.0,0.0,reconciliado
285,Strategic Partners Fund Solutions GP (Offshor,546,1,0.0,0.0,reconciliado
286,Hamilton Lane Global SMID II GP LLC,548,1,0.0,0.0,reconciliado
287,SPFSA RE VII L.L.C.,550,1,0.0,0.0,reconciliado
288,"Oaktree Special Situations Fund II GP, L.P.",552,1,0.0,0.0,reconciliado
289,"Platinum Equity Partners V, L.P.",554,1,0.0,0.0,reconciliado
290,APAX X USD Feeder L.P.,556,1,0.0,0.0,reconciliado
291,"Global Infrastructure GP IV, L.P.",558,1,0.0,0.0,reconciliado
292,"Warburg Pincus Global Growth GP, L.P.",560,1,0.0,0.0,reconciliado
293,Partners Group Cayman Management III,562,1,0.0,0.0,reconciliado
294,Blackstone Real Estate Associates Europe VI (,564,1,0.0,0.0,reconciliado
295,Bain Capital Distressed and Special Situation,566,1,0.0,0.0,reconciliado
296,"Insight Associates XI, L.P.",568,1,0.0,0.0,reconciliado
297,Antin Infrastructure Partners IV Luxembourg G,570,1,0.0,0.0,reconciliado
298,ASF Cosmos Co-Invest L.P.,572,1,0.0,0.0,reconciliado
299,"OHCP GenPar V, L.P",574,1,0.0,0.0,reconciliado
300,Buyout VII Management SAS,576,1,0.0,0.0,reconciliado
301,IK IX Fund GP s.à.r.l,578,1,0.0,0.0,reconciliado
302,"Francisco Partners GP VI, L.P.",580,1,0.0,0.0,reconciliado
303,"Thoma Bravo XIV, L.P.",582,1,0.0,0.0,reconciliado
304,"Partners Group Management II, S.a.r.l.",584,1,0.0,0.0,reconciliado
305,"PORTFOLIO ADVISORS, LLC",586,1,0.0,0.0,reconciliado
306,Dover X Associates L.P.,588,1,0.0,0.0,reconciliado
307,"Cortland Enhanced Value Fund V GP, LLC",590,2,0.0,0.0,reconciliado
