escenario,objetivo,observaciones,ratio_mediano,ratio_p10,ratio_p90,error_mediano_pct,error_p90_pct,dentro_1pct,dentro_2pct,diferencia_interna_mediana_pp,ranking_escenario
original,total_exterior,532,2.0126507590569993,1.0518601153170977,2.138021355314437,101.26507590569994,113.80213553144371,0.5639097744360901,4.135338345864661,1.8900436771218665e-12,1
original,rv_y_fondos_exterior,532,2.0503033389519425,1.085852258990711,2.2341850994797605,105.03033389519423,123.41850994797605,0.0,2.443609022556391,1.8900436771218665e-12,2
original,fondos_exterior_amplio,532,2.0617121303530994,1.094189461485025,2.252282875956033,106.17121303530993,125.22828759560333,0.0,0.37593984962406013,1.8900436771218665e-12,3
original,administradoras_fondos_exterior,532,2.062002197471452,1.104308355045581,2.252299002540393,106.20021974714524,125.22990025403932,0.0,0.37593984962406013,1.8900436771218665e-12,4
original,fondos_mutuos_mas_etf,532,2.127916930306035,1.5881173601833807,4.664055216227426,112.79169303060345,366.4055216227426,0.0,0.0,1.8900436771218665e-12,5
original,fondos_mutuos_exterior,532,2.127916930306035,1.6051968574120534,4.664454484459712,112.79169303060345,366.4454484459712,0.0,0.0,1.8900436771218665e-12,6
solo_hojas_jerarquia,total_exterior,532,1.9951514699796484,1.0171251758993756,2.057001042946773,99.51514699796485,105.70010429467727,4.135338345864661,10.150375939849624,1.8332002582610585e-12,1
solo_hojas_jerarquia,rv_y_fondos_exterior,532,2.027598815830248,1.0541039426465058,2.162609690788523,102.75988158302482,116.26096907885231,1.6917293233082706,6.015037593984962,1.8332002582610585e-12,2
solo_hojas_jerarquia,fondos_exterior_amplio,532,2.0370377536534776,1.0582323322845741,2.1667442933636774,103.70377536534777,116.67442933636772,1.1278195488721803,2.819548872180451,1.8332002582610585e-12,3
solo_hojas_jerarquia,administradoras_fondos_exterior,532,2.0379464060515957,1.0633047409506127,2.1667554028567944,103.79464060515957,116.67554028567945,0.18796992481203006,1.8796992481203008,1.8332002582610585e-12,4
solo_hojas_jerarquia,fondos_mutuos_mas_etf,532,2.0895737373819014,1.5423030739959946,4.364688279185358,108.95737373819014,336.4688279185358,0.0,0.0,1.8332002582610585e-12,5
solo_hojas_jerarquia,fondos_mutuos_exterior,532,2.0897604264503986,1.5555695421264735,4.365111283829486,108.97604264503985,336.5111283829486,0.0,0.0,1.8332002582610585e-12,6
