escenario,afp,grupo_cobertura,periodos,peso_exterior_mediano,peso_exterior_p90,peso_total_fondo_mediano,peso_exterior_mediano_pct,peso_total_fondo_mediano_pct
ampliado_15pct,Habitat,mapeo_alta_confianza,133,0.3325599563177738,0.5115327844610084,0.17379098661312456,33.25599563177738,17.379098661312455
ampliado_15pct,Habitat,mapeo_baja_confianza,99,0.0158069939729668,0.05217665668685324,0.0081104922282297,1.5806993972966799,0.81104922282297
ampliado_15pct,Habitat,mapeo_confianza_media,133,0.3529265664118635,0.42799666177982176,0.18224909152515859,35.29265664118635,18.22490915251586
ampliado_15pct,Habitat,privados_alternativos,92,0.23449935034737668,0.3521207111110063,0.12776948333017954,23.449935034737667,12.776948333017954
ampliado_15pct,Habitat,residual_no_mapeado,133,0.1815240226026306,0.32142963450017503,0.1063149739239889,18.15240226026306,10.63149739239889
ampliado_15pct,Integra,mapeo_alta_confianza,110,0.4019766845385634,0.5347818886952302,0.23997388010123033,40.19766845385634,23.997388010123032
ampliado_15pct,Integra,mapeo_baja_confianza,82,0.012458477137984827,0.022230846240123666,0.0066879602174517005,1.2458477137984827,0.66879602174517
ampliado_15pct,Integra,mapeo_confianza_media,110,0.23386178705816213,0.3187133290337303,0.13443152651977155,23.386178705816214,13.443152651977156
ampliado_15pct,Integra,privados_alternativos,110,0.15394880643818531,0.39724762068613195,0.08592502054222831,15.394880643818531,8.59250205422283
ampliado_15pct,Integra,residual_no_mapeado,110,0.19709665704414792,0.26245937708459693,0.11736893574460058,19.709665704414792,11.736893574460058
ampliado_15pct,Prima,mapeo_alta_confianza,128,0.29639749616889244,0.6368113614577696,0.15906557948866556,29.639749616889244,15.906557948866556
ampliado_15pct,Prima,mapeo_baja_confianza,74,0.0125364265657362,0.030761047774961303,0.0076354523202562,1.25364265657362,0.76354523202562
ampliado_15pct,Prima,mapeo_confianza_media,128,0.28042133183832585,0.48322037732278766,0.15707402811561466,28.042133183832586,15.707402811561465
