tipo_capa,observaciones,ratio_mediano_total_exterior,ratio_p10_total_exterior,ratio_p90_total_exterior,ratio_mediano_total_fondo,registros_medianos,identificadores_medianos
entidad_pendiente,532,1.0327583998232175,0.13641866421046886,1.2845632131798652,0.5913888833825647,18.0,16.0
isin,532,0.8778100357072873,0.5349727641070349,0.9827769265261198,0.4868555986810448,46.0,46.0
fondo_sin_isin,491,0.12044193610739035,0.015387962612795063,0.3318916536570412,0.07167262193430415,13.0,13.0
