afp,modelo,tarea,segmento,parametros,retorno_acumulado_n,retorno_acumulado_mae,retorno_acumulado_rmse,retorno_acumulado_r2,retorno_acumulado_sesgo,retorno_acumulado_desviacion_residual,retorno_acumulado_varianza_residual,retorno_acumulado_correlacion,retorno_acumulado_direccion_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct,ranking_validacion
Habitat,DIARIO_RIDGE,diario_recursivo,validacion,"{""alpha"": 0.001}",593,0.00744486377490847,0.010316572223042116,0.38911877327333977,0.0006930559362510605,0.010301956501250525,0.00010613030775365794,0.6498552764699931,74.03035413153457,593,0.7456689743822151,0.5430564762211043,1.4746880207755326,6.452548651669532,0.0813857282071662,0.6498552764699931,74.03035413153457,4.0
Habitat,DIARIO_POLY_RIDGE,diario_recursivo,validacion,"{""alpha"": 10.0, ""interaction_only"": true}",593,0.007492376962765243,0.010362318039928655,0.38368921437193293,0.0010239475896296362,0.01032030893785938,0.00010650877657286021,0.6485710938403615,73.86172006745363,593,0.7504050553558622,0.5526123604089439,1.522695144826077,6.268938965381321,0.11448845009882774,0.6485710938403615,73.86172006745363,5.0
Habitat,DIARIO_SVR_RBF,diario_recursivo,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.00907176780601863,0.012725985752037993,0.0704584689793516,0.0010758112293323145,0.012691136826051141,0.00016106495393755144,0.34459791746774504,64.75548060708263,593,0.9087814084675134,0.650162960495837,1.946043409634367,6.703178773813745,0.12174496474074349,0.34459791746774504,64.75548060708263,11.0
Habitat,DIARIO_GRADIENT_BOOSTING,diario_recursivo,validacion,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.007720385754101378,0.010754430039823201,0.33616410716041867,0.0010039947075690073,0.010716502472539427,0.00011484342524394367,0.6052578103752354,70.65767284991568,593,0.7736844115477366,0.5777802430582568,1.6591699245510165,6.867295848436594,0.11311601689788847,0.6052578103752354,70.65767284991568,7.0
Habitat,DIARIO_EXTRA_TREES,diario_recursivo,validacion,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5}",593,0.007921274525308889,0.010954143770154315,0.3112798231591899,0.0011339307418223624,0.010904493852516592,0.00011890798617957215,0.5836967142535092,68.8026981450253,593,0.793986497263696,0.5908238410846867,1.6471871025293447,6.722673296293036,0.12641979418270133,0.5836967142535092,68.8026981450253,9.0
Habitat,DIRECTO_RIDGE,directo_acumulado,validacion,"{""alpha"": 100.0}",593,0.007408018664917056,0.010221403226622884,0.40033738333601543,0.0009585898453364411,0.010184945694684441,0.00010373311880367112,0.6621955326266248,71.50084317032041,593,0.7419289502779967,0.5582813817548438,1.5129389195032155,6.01244142920343,0.10774896416868977,0.6621955326266248,71.50084317032041,2.0
Habitat,DIRECTO_POLY_RIDGE,directo_acumulado,validacion,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.007923451819064592,0.010865423720540578,0.32239084104745197,0.0015440605898000388,0.010764232607382393,0.00011586870362583434,0.5824501739349854,69.81450252951096,593,0.793748869845304,0.6005158858426896,1.6806863398755891,5.661508640499369,0.16646446511808277,0.5824501739349854,69.81450252951096,8.0
Habitat,DIRECTO_SVR_RBF,directo_acumulado,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.009289855183653094,0.012579626849577513,0.09171644595659678,0.002062338787941448,0.012419899154603594,0.00015425389501052305,0.4428073093096738,67.11635750421586,593,0.9305188164397985,0.7004503745372093,1.9993589407072414,6.1275166598689035,0.21801845877359813,0.4428073093096738,67.11635750421586,12.0
Habitat,DIRECTO_GRADIENT_BOOSTING,directo_acumulado,validacion,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.007605766952677358,0.010470655906347734,0.37073480902165656,0.001287242279007855,0.01040000178319824,0.00010816003709052655,0.6435717437237175,71.16357504215851,593,0.7619430070581664,0.5680640923577895,1.6201137554940757,5.8264758368568925,0.14099074856415314,0.6435717437237175,71.16357504215851,6.0
Habitat,DIRECTO_EXTRA_TREES,directo_acumulado,validacion,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",593,0.007406481653700235,0.010304218282420844,0.3905809395150658,0.00130497886734514,0.01022987882749713,0.00010465042082527404,0.6640314347046501,73.35581787521079,593,0.7421253361303998,0.5434351157863171,1.5665836862550058,5.8623197527643445,0.14256499865037717,0.6640314347046501,73.35581787521079,3.0
Integra,DIARIO_RIDGE,diario_recursivo,validacion,"{""alpha"": 0.001}",593,0.006542071854374426,0.01140490462910458,0.3307130259312244,0.0007545039983838001,0.011389527104415287,0.00012972132766221047,0.5849031956230186,73.86172006745363,593,0.6501577243836113,0.4483140866787805,1.225752552296929,8.802387892261777,0.08875219034712804,0.5849031956230186,73.86172006745363,1.0
Integra,DIARIO_POLY_RIDGE,diario_recursivo,validacion,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.006666491588992798,0.01151332921133172,0.3179269299402119,0.0010118949509790077,0.01147845816959349,0.00013175500195110754,0.5835722695817551,73.69308600337267,593,0.6627347657622983,0.4839842676180428,1.2866493046123453,8.837524462784874,0.11496035316042119,0.5835722695817551,73.69308600337267,3.0
Integra,DIARIO_SVR_RBF,diario_recursivo,validacion,"{""C"": 0.5, ""epsilon"": 0.001, ""gamma"": ""scale""}",593,0.008682751153893485,0.012778779955823938,0.1597513168036826,0.0013616799804377125,0.012716750867897518,0.0001617157526361723,0.4530278290104926,63.06913996627319,593,0.8653585525593444,0.6441267480673751,1.7362660458840087,7.562874651566975,0.14948527685911664,0.4530278290104926,63.06913996627319,12.0
Integra,DIARIO_GRADIENT_BOOSTING,diario_recursivo,validacion,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 250}",593,0.006736817266381288,0.011548372797716436,0.3137685041207624,0.0010280030424552854,0.011512237726544552,0.00013253161747247565,0.6052086544085216,73.35581787521079,593,0.6700734561090361,0.4862707048862047,1.3088861703768198,8.777277157994467,0.11713763953396336,0.6052086544085216,73.35581787521079,5.0
Integra,DIARIO_EXTRA_TREES,diario_recursivo,validacion,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 20}",593,0.006844344321130385,0.011793668621928554,0.28430678754655825,0.0010919549846520452,0.011752922620140493,0.00013813119011501008,0.5671680300742902,72.00674536256324,593,0.6810049453124273,0.4799537597685477,1.3284334461804372,8.81789169941375,0.12380344454484436,0.5671680300742902,72.00674536256324,7.0
Integra,DIRECTO_RIDGE,directo_acumulado,validacion,"{""alpha"": 100.0}",593,0.006776426709364284,0.011538846380286023,0.31490020144828745,0.00083636358605732,0.011518211545147842,0.00013266919719877706,0.5649694036787501,73.52445193929174,593,0.6734649568060102,0.46285949368253254,1.3514944813398662,8.861701573954617,0.09662295863664251,0.5649694036787501,73.52445193929174,6.0
Integra,DIRECTO_POLY_RIDGE,directo_acumulado,validacion,"{""alpha"": 10.0, ""interaction_only"": false}",593,0.007934678184937689,0.015149562484491836,-0.18094382110704021,0.0018199950448410036,0.015052539679448283,0.000226578950801365,0.31022102612709196,71.33220910623946,593,0.789755284914885,0.5117510569636385,1.5458623926634698,11.364975044673088,0.1959322738406855,0.31022102612709196,71.33220910623946,10.0
