fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,26,3,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,instrumento_o_detalle,True,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,5200.951400494901,5.188158377615897,FP-1356-en2015.XLS,Fondo3xIntru,27,3,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,instrumento_o_detalle,True,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,28,3,Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos para Nuevos Proyectos,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos para Nuevos Proyectos,instrumento_o_detalle,True,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,29,3,Bonos Estructurados,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Estructurados,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Estructurados,instrumento_o_detalle,True,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,deuda_generica_no_financiera_local
2015-01-30,2015,1,Habitat,3,17469.701324555997,17.426730284927913,FP-1356-en2015.XLS,Fondo3xIntru,30,3,Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones y Valores representativos sobre Acciones,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones y Valores representativos sobre Acciones,instrumento_o_detalle,True,acciones_locales_no_financieras,EPU,media,acciones_locales_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,31,3,Certificados de Suscripción Preferente,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Certificados de Suscripción Preferente,I. INVERSIONES LOCALES,3. Empresas no Financieras,Certificados de Suscripción Preferente,instrumento_o_detalle,True,acciones_locales_no_financieras,EPU,media,acciones_locales_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,35,3,Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,instrumento_o_detalle,True,fondos_inversion_local_tradicional,proxy_fondos_locales_pendiente,baja,fondos_inversion_local_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,37,3,Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Cuotas de Fondos Mutuos,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Cuotas de Fondos Mutuos,instrumento_o_detalle,True,fondos_mutuos_locales,proxy_fondos_locales_pendiente,baja,fondos_mutuos_locales_historico
2015-01-30,2015,1,Habitat,3,896.2311109284,0.894026609439328,FP-1356-en2015.XLS,Fondo3xIntru,39,3,Bonos de Titulización (5),I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Bonos de Titulización (5),I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Bonos de Titulización (5),instrumento_o_detalle,True,titulizaciones_deuda_local,proxy_credito_local_pendiente,baja,titulizacion_deuda
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,40,3,Titulos con Derecho de Participación,I. INVERSIONES LOCALES > 5. Sociedades Titulizadoras > Titulos con Derecho de Participación,I. INVERSIONES LOCALES,5. Sociedades Titulizadoras,Titulos con Derecho de Participación,instrumento_o_detalle,True,titulizaciones_participacion_local,proxy_activos_alternativos_locales_pendiente,baja,titulizacion_participacion
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,43,3,Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR > 1. Gobierno > Títulos de Deuda,II. INVERSIONES EN EL EXTERIOR,1. Gobierno,Títulos de Deuda,instrumento_o_detalle,True,renta_fija_soberana_exterior,TLT,media,renta_fija_soberana_exterior
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,45,3,Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Bonos del Sistema Financiero,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Bonos del Sistema Financiero,instrumento_o_detalle,True,renta_fija_financiera_exterior,LQD_HYG,media,renta_fija_financiera_exterior_actual_historico
2015-01-30,2015,1,Habitat,3,0.0,0.0,FP-1356-en2015.XLS,Fondo3xIntru,47,3,Títulos de Deuda Emitidos por Organismo Internacional,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda Emitidos por Organismo Internacional,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda Emitidos por Organismo Internacional,instrumento_o_detalle,True,renta_fija_financiera_exterior,LQD_HYG,media,deuda_generica_financiera_exterior
2015-01-30,2015,1,Habitat,3,679.6730518136,0.6780012282889145,FP-1356-en2015.XLS,Fondo3xIntru,48,3,Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Certificados y Depósitos a Plazo (2) (4),II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Certificados y Depósitos a Plazo (2) (4),instrumento_o_detalle,True,depositos_exterior,tasas_cortas_usd_fx,baja,depositos_exterior
