afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,ticker,nombre,categoria,moneda_modelo,transformacion
Habitat,ret_PEN_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,0,1779,100.0,-0.11941305004419024,-0.08410527575924594,0.010862455856124775,0.11941305004419024,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_PEN_FUTURO_METAL_PLATINO,0,1779,100.0,0.11899771291875556,0.16676852259213434,0.052835193881767495,0.11899771291875556,PL=F,Platino,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_USD_CRIPTO_XRP,1,1037,58.31460674157304,0.11272429558002103,0.09166853605070449,0.0,0.11272429558002103,XRP-USD,XRP,CRIPTO,USD,retorno_continuo_en_USD
Habitat,ret_USD_CRIPTO_ETHEREUM,0,1038,58.31460674157304,0.11008526239970241,0.14744726462275456,0.0,0.11008526239970241,ETH-USD,Ethereum,CRIPTO,USD,retorno_continuo_en_USD
Habitat,ret_PEN_CRIPTO_XRP,1,1037,58.31460674157304,0.10695804543386217,0.08662472978864849,0.0,0.10695804543386217,XRP-USD,XRP,CRIPTO,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_PEN_CRIPTO_ETHEREUM,1,1037,58.31460674157304,0.10212391906752585,0.09013307967914541,0.03818074715772646,0.10212391906752585,ETH-USD,Ethereum,CRIPTO,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_USD_FUTURO_AGRICOLA_SOYA,0,1779,100.0,0.09953142858503149,0.12615286754504562,0.03196497303669066,0.09953142858503149,ZS=F,Soya,FUTURO_AGRICOLA,USD,retorno_continuo_en_USD
Habitat,ret_USD_FUTURO_METAL_PLATA,0,1779,100.0,0.093001478607691,0.12451733932438389,0.0,0.093001478607691,SI=F,Plata,FUTURO_METAL,USD,retorno_continuo_en_USD
Habitat,ret_USD_FUTURO_AGRICOLA_MA_Z,0,1779,100.0,0.0792056316887455,0.0930995421166303,0.0,0.0792056316887455,ZC=F,Maíz,FUTURO_AGRICOLA,USD,retorno_continuo_en_USD
Habitat,ret_USD_CRIPTO_BITCOIN,1,1779,100.0,0.05952579344979609,0.06778969807662338,0.0,0.05952579344979609,BTC-USD,Bitcoin,CRIPTO,USD,retorno_continuo_en_USD
Habitat,ret_PEN_FUTURO_AGRICOLA_SOYA,0,1779,100.0,0.057845661413891386,0.06561268260430918,0.0,0.057845661413891386,ZS=F,Soya,FUTURO_AGRICOLA,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_PEN_FUTURO_METAL_PLATA,0,1779,100.0,0.05612083083282287,0.08464914402463672,0.0,0.05612083083282287,SI=F,Plata,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_PEN_CRIPTO_BITCOIN,1,1779,100.0,0.054387839335798216,0.06191005508976673,0.0,0.054387839335798216,BTC-USD,Bitcoin,CRIPTO,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_USD_CRIPTO_LITECOIN,1,1779,100.0,0.05130742285499362,0.043839029982346185,0.004835542242604518,0.05130742285499362,LTC-USD,Litecoin,CRIPTO,USD,retorno_continuo_en_USD
Habitat,ret_PEN_FUTURO_METAL_ORO,0,1779,100.0,-0.049463912649170376,-0.041025522813701455,0.0,0.049463912649170376,GC=F,Oro,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_PEN_FUTURO_AGRICOLA_MA_Z,0,1779,100.0,0.04873498452139968,0.05273136569875889,0.0,0.04873498452139968,ZC=F,Maíz,FUTURO_AGRICOLA,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_PEN_CRIPTO_LITECOIN,1,1779,100.0,0.04688180225079725,0.040504684886908796,0.004777987252253091,0.04688180225079725,LTC-USD,Litecoin,CRIPTO,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_USD_FUTURO_METAL_ORO,0,1779,100.0,-0.04105298422611,-0.028706920196621015,0.006153648483240737,0.04105298422611,GC=F,Oro,FUTURO_METAL,USD,retorno_continuo_en_USD
Habitat,ret_USD_FUTURO_ENERGIA_GAS_NATURAL,1,1779,100.0,0.039004481460496676,0.03959825970550802,0.015934861601150985,0.039004481460496676,NG=F,Gas natural,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
Habitat,ret_PEN_FUTURO_ENERGIA_GAS_NATURAL,1,1779,100.0,0.038964733355125625,0.03374531112632098,0.0,0.038964733355125625,NG=F,Gas natural,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
Habitat,ret_USD_FUTURO_AGRICOLA_TRIGO,0,1779,100.0,0.03528321397608607,0.03712170833785805,0.001810459393306374,0.03528321397608607,ZW=F,Trigo,FUTURO_AGRICOLA,USD,retorno_continuo_en_USD
Habitat,ret_PEN_FUTURO_AGRICOLA_TRIGO,1,1779,100.0,0.02003860588536955,0.010250885227903465,0.0024848632467406873,0.02003860588536955,ZW=F,Trigo,FUTURO_AGRICOLA,PEN,retorno_USD_convertido_a_PEN
Integra,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,1779,100.0,0.5784276687215237,0.6247730154083203,0.25687754639901605,0.5784276687215237,ES=F,E-mini S&P 500,FUTURO_INDICE,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_INDICE_E_MINI_DOW_JONES,0,1779,100.0,0.5679752149925087,0.6183229034907078,0.20887288165771256,0.5679752149925087,YM=F,E-mini Dow Jones,FUTURO_INDICE,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_INDICE_E_MINI_NASDAQ_100,0,1779,100.0,0.511737766458949,0.5721415886042263,0.19289182340045574,0.511737766458949,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_INDICE_E_MINI_RUSSELL_2000,0,1126,63.258426966292134,0.4799707883393825,0.5685374534957944,0.1633997860861136,0.4799707883393825,RTY=F,E-mini Russell 2000,FUTURO_INDICE,USD,retorno_continuo_en_USD
Integra,ret_PEN_FUTURO_INDICE_E_MINI_RUSSELL_2000,0,1126,63.258426966292134,0.3499121566921617,0.4398328839884544,0.0860209105604306,0.3499121566921617,RTY=F,E-mini Russell 2000,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_INDICE_E_MINI_S_P_500,0,1779,100.0,0.34292385392254576,0.4071245314597743,0.12420184356339004,0.34292385392254576,ES=F,E-mini S&P 500,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_INDICE_E_MINI_NASDAQ_100,0,1779,100.0,0.33975505700247416,0.40315003949057626,0.08173794550380631,0.33975505700247416,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_INDICE_E_MINI_DOW_JONES,0,1779,100.0,0.33830279547284653,0.41127589905464024,0.10918364166978467,0.33830279547284653,YM=F,E-mini Dow Jones,FUTURO_INDICE,PEN,retorno_USD_convertido_a_PEN
Integra,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,1779,100.0,-0.2845062554535652,-0.28360363996675997,0.057794924730131036,0.2845062554535652,ZB=F,Treasury largo plazo futuro,FUTURO_BONOS,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,0,1779,100.0,-0.2812908390723948,-0.30428354164923577,0.03532155902274248,0.2812908390723948,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_METAL_COBRE,0,1779,100.0,0.25071184429339904,0.2632283167602351,0.07578218662368741,0.25071184429339904,HG=F,Cobre,FUTURO_METAL,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_METAL_PALADIO,0,1779,100.0,0.21510733354635986,0.24516280826708167,0.008863642608516464,0.21510733354635986,PA=F,Paladio,FUTURO_METAL,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,1779,100.0,0.21392904708901675,0.276262498841985,0.04213926517554967,0.21392904708901675,BZ=F,Petróleo Brent,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_ENERGIA_GASOLINA_RBOB,0,1779,100.0,0.2120173116199936,0.29894336095715723,0.07623910540177636,0.2120173116199936,RB=F,Gasolina RBOB,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_ENERGIA_PETR_LEO_WTI,0,1777,99.8876404494382,0.20952893365956796,0.22873141360641314,0.028653019249122558,0.20952893365956796,CL=F,Petróleo WTI,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,1779,100.0,0.2009254501334728,0.2718073507832505,0.05073471144101216,0.2009254501334728,HO=F,Heating Oil,FUTURO_ENERGIA,USD,retorno_continuo_en_USD
Integra,ret_USD_FUTURO_METAL_PLATINO,0,1779,100.0,0.1836605621966677,0.2547184795261041,0.025696520113822174,0.1836605621966677,PL=F,Platino,FUTURO_METAL,USD,retorno_continuo_en_USD
Integra,ret_PEN_FUTURO_ENERGIA_GASOLINA_RBOB,0,1779,100.0,0.18236157725675278,0.26889987032001667,0.03130803525792025,0.18236157725675278,RB=F,Gasolina RBOB,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_METAL_COBRE,0,1779,100.0,0.1800785796672815,0.18253071421933587,0.016851175296082488,0.1800785796672815,HG=F,Cobre,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_ENERGIA_PETR_LEO_BRENT,0,1779,100.0,0.17882010419160121,0.2424331869482081,0.028203279353582467,0.17882010419160121,BZ=F,Petróleo Brent,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_ENERGIA_PETR_LEO_WTI,0,1777,99.8876404494382,0.17517343328783472,0.20684883808791246,0.02947996832002442,0.17517343328783472,CL=F,Petróleo WTI,FUTURO_ENERGIA,PEN,retorno_USD_convertido_a_PEN
Integra,ret_PEN_FUTURO_METAL_PALADIO,0,1779,100.0,0.17266840190744204,0.20648544999786927,0.0005151555109224049,0.17266840190744204,PA=F,Paladio,FUTURO_METAL,PEN,retorno_USD_convertido_a_PEN
