fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado,monto_hojas_miles_soles,total_exterior_miles_soles,total_fondo_miles_soles,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,peso_dentro_hojas,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,usar_modelo_principal,usar_analisis_ampliado
2015-01-30,CA-0001-en2015.XLS,10,282,Habitat,3,934.9445216311,miles_soles,0.0093264479495903,98,Muzinich,IE00B59XD059,USD,,isin,,isin,,127329.3628809898,0.7342725200823937,0.9326447949590344,2015-01,IE00B59XD059,isin,934.944522,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.014924446590698396,945.088265792029,0.014924446590698396,0.009427635880790621,1.4924446590698395,0.9427635880790621,True,True
2015-01-30,CA-0001-en2015.XLS,10,258,Habitat,3,1885.1005342176,miles_soles,0.0188046366445927,89,GARTMORE,LU0113993397,EUR,,isin,,isin,,127329.3628809898,1.4804916097628915,1.8804636644592727,2015-01,LU0113993397,isin,1885.100534,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.030091713026934468,1905.5530606449154,0.030091713026934464,0.019008658828528553,3.0091713026934466,1.9008658828528553,True,True
2015-01-30,CA-0001-en2015.XLS,10,288,Habitat,3,1826.1013185175,miles_soles,0.0182160957188341,100,PIONEER,LU0132199406,USD,,isin,,isin,,127329.3628809898,1.434155702345178,1.821609571883419,2015-01,LU0132199406,isin,1826.101319,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.029149913141233157,1845.9137289423031,0.029149913141233153,0.01841373248797694,2.9149913141233155,1.841373248797694,True,True
2015-01-30,CA-0001-en2015.XLS,10,279,Habitat,3,491.5704592471,miles_soles,0.0049036132044776,97,MORGAN STAN INV,LU0149084476,USD,,isin,,isin,,127329.3628809898,0.3860621369059651,0.4903613204477647,2015-01,LU0149084476,isin,491.570459,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.00784690096028302,496.9037863700546,0.007846900960283018,0.004956815289370991,0.7846900960283019,0.49568152893709916,True,True
2015-01-30,CA-0001-en2015.XLS,10,205,Habitat,3,654.1675902062,miles_soles,0.0065255850365572,81,AXA FUNDS,LU0211118053,USD,,isin,,isin,,127329.3628809898,0.5137602006362249,0.6525585036557238,2015-01,LU0211118053,isin,654.16759,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.010442426299654299,661.2650259576245,0.010442426299654297,0.006596384815132071,1.0442426299654297,0.659638481513207,True,True
2015-01-30,CA-0001-en2015.XLS,10,245,Habitat,3,2335.3452891384,miles_soles,0.0232960093134426,85,DIMENSIONAL,US2332033719,USD,,isin,,isin,,127329.3628809898,1.83409799303022,2.3296009313442663,2015-01,US2332033719,isin,2335.345289,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.03727893498726479,2360.682776649555,0.037278934987264783,0.023548760950549388,3.7278934987264782,2.3548760950549386,True,True
2015-01-30,CA-0001-en2015.XLS,10,246,Habitat,3,2977.9957135104,miles_soles,0.0297067059847607,85,DIMENSIONAL,US2332034139,USD,,isin,,isin,,127329.3628809898,2.3388130169895107,2.970670598476078,2015-01,US2332034139,isin,2977.995714,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.04753751366559835,3010.305680499128,0.047537513665598344,0.030029010911311608,4.753751366559834,3.002901091131161,True,True
2015-01-30,CA-0001-en2015.XLS,10,247,Habitat,3,413.2685333462,miles_soles,0.0041225199744821,85,DIMENSIONAL,US2332034212,USD,,isin,,isin,,127329.3628809898,0.324566560293298,0.4122519974482158,2015-01,US2332034212,isin,413.268533,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.006596973414830324,417.7523183997909,0.006596973414830324,0.004167247535264609,0.6596973414830324,0.41672475352646093,True,True
2015-01-30,CA-0001-en2015.XLS,10,211,Habitat,3,387.20200288,miles_soles,0.0038624958404348,83,BlackRock USA,US4642866085,USD,,isin,,isin,,127329.3628809898,0.3040948247278232,0.3862495840434825,2015-01,US4642866085,isin,387.202003,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.0061808754189097564,391.40297733885006,0.006180875418909756,0.0039044022516940484,0.6180875418909756,0.39044022516940485,True,True
2015-01-30,CA-0001-en2015.XLS,10,231,Habitat,3,1415.21576482,miles_soles,0.0141173469255765,83,BlackRock USA,US4642867646,USD,,isin,,isin,,127329.3628809898,1.1114606503943254,1.411734692557652,2015-01,US4642867646,isin,1415.215765,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.02259097904496229,1430.5702444909466,0.022590979044962288,0.014270514040983884,2.2590979044962287,1.4270514040983884,True,True
2015-01-30,CA-0001-en2015.XLS,10,212,Habitat,3,276.5387625,miles_soles,0.002758585472003,83,BlackRock USA,US4642867729,USD,,isin,,isin,,127329.3628809898,0.2171838107432226,0.2758585472003031,2015-01,US4642867729,isin,276.538762,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.0044143667305401235,279.53908860757065,0.0044143667305401235,0.0027885149326572762,0.44143667305401235,0.2788514932657276,True,True
2015-01-30,CA-0001-en2015.XLS,10,213,Habitat,3,302.4493494,miles_soles,0.003017054006205,83,BlackRock USA,US4642868065,USD,,isin,,isin,,127329.3628809898,0.2375330737205436,0.3017054006205039,2015-01,US4642868065,isin,302.449349,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.004827975411457428,305.7307941819863,0.004827975411457428,0.003049787738796213,0.4827975411457428,0.3049787738796213,True,True
2015-01-30,CA-0001-en2015.XLS,10,215,Habitat,3,41.95288548,miles_soles,0.0004184969200971,83,BlackRock USA,US4642868487,USD,,isin,,isin,,127329.3628809898,0.0329483196418817,0.0418496920097177,2015-01,US4642868487,isin,41.952885,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.0006696906438679526,42.40805616368874,0.0006696906438679525,0.0004230374308883392,0.06696906438679524,0.04230374308883392,True,True
2015-01-30,CA-0001-en2015.XLS,10,216,Habitat,3,778.7411060000001,miles_soles,0.0077682560015909,83,BlackRock USA,US4642871846,USD,,isin,,isin,,127329.3628809898,0.6115958553313908,0.7768256001590998,2015-01,US4642871846,isin,778.741106,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.012430983631202226,787.1901105816642,0.012430983631202226,0.007852538223298958,1.2430983631202226,0.7852538223298958,True,True
2015-01-30,CA-0001-en2015.XLS,10,237,Habitat,3,639.84540048,miles_soles,0.0063827154288798,83,BlackRock USA,US4642871929,USD,,isin,,isin,,127329.3628809898,0.5025120569228329,0.6382715428879846,2015-01,US4642871929,isin,639.8454,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.010213802300384682,646.7874466601231,0.010213802300384682,0.006451965133931467,1.0213802300384682,0.6451965133931468,True,True
2015-01-30,CA-0001-en2015.XLS,10,217,Habitat,3,4471.8161488,miles_soles,0.0446081661392703,83,BlackRock USA,US4642872000,USD,,isin,,isin,,127329.3628809898,3.5120070089250706,4.460816613927035,2015-01,US4642872000,isin,4471.816149,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.07138325294398748,4520.333422176822,0.07138325294398748,0.045092145471023255,7.138325294398748,4.509214547102325,True,True
2015-01-30,CA-0001-en2015.XLS,10,218,Habitat,3,3077.9409122,miles_soles,0.0307036995729619,83,BlackRock USA,US4642872349,USD,,isin,,isin,,127329.3628809898,2.417306458272976,3.070369957296196,2015-01,US4642872349,isin,3077.940912,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.04913293108912353,3111.3352414178917,0.049132931089123526,0.03103682144924062,4.913293108912352,3.103682144924062,True,True
2015-01-30,CA-0001-en2015.XLS,10,221,Habitat,3,807.5688719999999,miles_soles,0.0080558245715772,83,BlackRock USA,US4642875151,USD,,isin,,isin,,127329.3628809898,0.6342361680980102,0.8055824571577287,2015-01,US4642875151,isin,807.568872,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.012891159014919709,816.3306453890848,0.012891159014919707,0.008143226788039136,1.2891159014919706,0.8143226788039135,True,True
2015-01-30,CA-0001-en2015.XLS,10,222,Habitat,3,819.071539,miles_soles,0.0081705683051089,83,BlackRock USA,US4642876555,USD,,isin,,isin,,127329.3628809898,0.6432699579008785,0.8170568305108996,2015-01,US4642876555,isin,819.071539,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.0130747751924792,827.958111356849,0.013074775192479198,0.008259215441510035,1.3074775192479198,0.8259215441510035,True,True
2015-01-30,CA-0001-en2015.XLS,10,241,Habitat,3,323.46884878,miles_soles,0.0032267319735693,83,BlackRock USA,US4642877629,USD,,isin,,isin,,127329.3628809898,0.2540410487110775,0.3226731973569359,2015-01,US4642877629,isin,323.468849,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.00516350804318272,326.978346049774,0.00516350804318272,0.0032617406215249413,0.5163508043182721,0.3261740621524941,True,True
2015-01-30,CA-0001-en2015.XLS,10,223,Habitat,3,1306.81406834,miles_soles,0.0130359963678939,83,BlackRock USA,US4642878619,USD,,isin,,isin,,127329.3628809898,1.0263257733893103,1.3035996367893996,2015-01,US4642878619,isin,1306.814068,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.020860571205752333,1320.9924364339884,0.02086057120575233,0.013177431296897104,2.086057120575233,1.3177431296897104,True,True
2015-01-30,CA-0001-en2015.XLS,10,224,Habitat,3,1638.5713509,miles_soles,0.0163454088047896,83,BlackRock USA,US4642881829,USD,,isin,,isin,,127329.3628809898,1.286876266263512,1.6345408804789603,2015-01,US4642881829,isin,1638.571351,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.02615638687190967,1656.3491421896479,0.026156386871909666,0.016522749429057182,2.6156386871909665,1.6522749429057182,True,True
2015-01-30,CA-0001-en2015.XLS,10,225,Habitat,3,4576.22684948,miles_soles,0.0456497049073391,83,BlackRock USA,US4642882579,USD,,isin,,isin,,127329.3628809898,3.594007498299693,4.56497049073391,2015-01,US4642882579,isin,4576.226849,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.07304995282803783,4625.876933853472,0.07304995282803783,0.04614498448477776,7.304995282803784,4.614498448477776,True,True
2015-01-30,CA-0001-en2015.XLS,10,238,Habitat,3,294.5349396,miles_soles,0.0029381045826364,83,BlackRock USA,US46429B5984,USD,,isin,,isin,,127329.3628809898,0.2313173748268034,0.2938104582636404,2015-01,US46429B5984,isin,294.53494,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.004701638304148716,297.73051645470446,0.004701638304148716,0.0029699817480882407,0.4701638304148716,0.29699817480882407,True,True
2015-01-30,CA-0001-en2015.XLS,10,239,Habitat,3,48.5463616,miles_soles,0.0004842694984879,83,BlackRock USA,US46434V5488,USD,,isin,,isin,,127329.3628809898,0.0381266037162021,0.0484269498487995,2015-01,US46434V5488,isin,48.546362,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.0007749417897095369,49.07306865118977,0.0007749417897095369,0.000489523613340751,0.07749417897095369,0.0489523613340751,True,True
2015-01-30,CA-0001-en2015.XLS,10,207,Habitat,3,711.147074,miles_soles,0.007093978323541,82,BANK NEW YORK,US73935A1043,USD,,isin,,isin,,127329.3628809898,0.5585098817031573,0.7093978323541043,2015-01,US73935A1043,isin,711.147074,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.011351985362220441,718.8627125352837,0.011351985362220441,0.007170944923732089,1.135198536222044,0.717094492373209,True,True
2015-01-30,CA-0001-en2015.XLS,10,298,Habitat,3,1646.77887,miles_soles,0.016427282111612,103,STATE ST BANK,US78462F1030,USD,,isin,,isin,,127329.3628809898,1.2933221628849154,1.6427282111611998,2015-01,US78462F1030,isin,1646.77887,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.026287402860148617,1664.6457093262109,0.026287402860148617,0.016605511025889093,2.6287402860148616,1.6605511025889093,True,True
2015-01-30,CA-0001-en2015.XLS,10,300,Habitat,3,70.7304697,miles_soles,0.0007055649066281,103,STATE ST BANK,US81369Y1001,USD,,isin,,isin,,127329.3628809898,0.0555492214047354,0.0705564906628128,2015-01,US81369Y1001,isin,70.73047,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.001129064979739165,71.49786474047518,0.001129064979739165,0.0007132199810589411,0.1129064979739165,0.07132199810589411,True,True
2015-01-30,CA-0001-en2015.XLS,10,308,Habitat,3,220.12089484,miles_soles,0.002195794532023,103,STATE ST BANK,US81369Y3080,USD,,isin,,isin,,127329.3628809898,0.172875203220595,0.2195794532023086,2015-01,US81369Y3080,isin,220.120895,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.003513772702582399,222.5091114561435,0.0035137727025823986,0.0022196179541058804,0.35137727025823984,0.22196179541058803,True,True
2015-01-30,CA-0001-en2015.XLS,10,302,Habitat,3,715.71438048,miles_soles,0.007139539044172,103,STATE ST BANK,US81369Y4070,USD,,isin,,isin,,127329.3628809898,0.5620968834572373,0.7139539044172073,2015-01,US81369Y4070,isin,715.71438,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.011424892919885138,723.479572317502,0.011424892919885138,0.007216999958499602,1.1424892919885137,0.7216999958499601,True,True
2015-01-30,CA-0001-en2015.XLS,10,303,Habitat,3,41.1236782,miles_soles,0.0004102252436956,103,STATE ST BANK,US81369Y5069,USD,,isin,,isin,,127329.3628809898,0.0322970894297467,0.041022524369562,2015-01,US81369Y5069,isin,41.123678,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.0006564540726312036,41.56985234292071,0.0006564540726312035,0.00041467601037121327,0.06564540726312035,0.04146760103712133,True,True
2015-01-30,CA-0001-en2015.XLS,10,304,Habitat,3,322.76232846,miles_soles,0.0032196841489793,103,STATE ST BANK,US81369Y6059,USD,,isin,,isin,,127329.3628809898,0.2534861725191183,0.3219684148979391,2015-01,US81369Y6059,isin,322.762328,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.005152229914334297,326.2641602895209,0.005152229914334296,0.0032546163310828526,0.5152229914334296,0.32546163310828524,True,True
2015-01-30,CA-0001-en2015.XLS,10,305,Habitat,3,227.61758184,miles_soles,0.0022705770025143,103,STATE ST BANK,US81369Y7040,USD,,isin,,isin,,127329.3628809898,0.1787628373297885,0.2270577002514376,2015-01,US81369Y7040,isin,227.617582,62645.1718627745,63324.8449145881,100246.5811940938,0.9892668816997445,1.0733118300255473,1.0108495679970746,estricto,True,True,0.003633441733364558,230.08713427150278,0.0036334417333645573,0.0022952117820957546,0.36334417333645574,0.22952117820957546,True,True
