periodo,afp,registros,identificadores_unicos,cambio_registros_pct,cambio_identificadores_pct,alerta_cambio_estructura,fuente
2015-01,Habitat,70,50,,,normal,hoja3
2015-02,Habitat,77,55,10.000000000000009,10.000000000000009,normal,hoja3
2015-03,Habitat,81,58,5.1948051948051965,5.454545454545445,normal,hoja3
2015-04,Habitat,84,61,3.703703703703698,5.1724137931034475,normal,hoja3
2015-05,Habitat,85,60,1.1904761904761862,-1.6393442622950838,normal,hoja3
2015-06,Habitat,86,62,1.17647058823529,3.3333333333333437,normal,hoja3
2015-07,Habitat,88,63,2.3255813953488413,1.6129032258064502,normal,hoja3
2015-08,Habitat,90,64,2.2727272727272707,1.5873015873015817,normal,hoja3
2015-09,Habitat,97,71,7.777777777777772,10.9375,normal,hoja3
2015-10,Habitat,98,74,1.0309278350515427,4.225352112676051,normal,hoja3
2015-11,Habitat,97,71,-1.0204081632653073,-4.054054054054057,normal,hoja3
2015-12,Habitat,95,73,-2.0618556701030966,2.8169014084507005,normal,hoja3
2016-01,Habitat,98,76,3.157894736842115,4.109589041095885,normal,hoja3
2016-02,Habitat,98,76,0.0,0.0,normal,hoja3
2016-03,Habitat,96,77,-2.0408163265306145,1.3157894736842035,normal,hoja3
2016-04,Habitat,97,73,1.041666666666674,-5.1948051948051965,normal,hoja3
2016-05,Habitat,103,76,6.185567010309279,4.109589041095885,normal,hoja3
2016-06,Habitat,101,76,-1.9417475728155331,0.0,normal,hoja3
2016-07,Habitat,102,76,0.990099009900991,0.0,normal,hoja3
2016-08,Habitat,104,78,1.9607843137254832,2.6315789473684292,normal,hoja3
2016-09,Habitat,99,75,-4.807692307692313,-3.8461538461538436,normal,hoja3
2016-10,Habitat,102,77,3.0303030303030276,2.6666666666666616,normal,hoja3
2016-11,Habitat,105,79,2.941176470588225,2.5974025974025983,normal,hoja3
2016-12,Habitat,102,79,-2.857142857142858,0.0,normal,hoja3
2017-01,Habitat,105,82,2.941176470588225,3.797468354430378,normal,hoja3
2017-02,Habitat,104,83,-0.952380952380949,1.2195121951219523,normal,hoja3
2017-03,Habitat,108,85,3.8461538461538547,2.4096385542168752,normal,hoja3
2017-04,Habitat,107,84,-0.92592592592593,-1.17647058823529,normal,hoja3
2017-05,Habitat,108,85,0.9345794392523255,1.1904761904761862,normal,hoja3
2017-06,Habitat,110,87,1.85185185185186,2.35294117647058,normal,hoja3
2017-07,Habitat,109,88,-0.9090909090909038,1.1494252873563315,normal,hoja3
2017-08,Habitat,112,89,2.752293577981657,1.1363636363636465,normal,hoja3
2017-09,Habitat,113,91,0.8928571428571397,2.2471910112359605,normal,hoja3
2017-10,Habitat,86,84,-23.893805309734518,-7.692307692307687,normal,hoja3
2017-11,Habitat,86,84,0.0,0.0,normal,hoja3
2017-12,Habitat,87,85,1.1627906976744207,1.1904761904761862,normal,hoja3
2018-01,Habitat,90,87,3.4482758620689724,2.35294117647058,normal,hoja3
2018-02,Habitat,87,86,-3.3333333333333326,-1.1494252873563204,normal,hoja3
2018-03,Habitat,88,87,1.1494252873563315,1.1627906976744207,normal,hoja3
2018-04,Habitat,7,4,-92.04545454545455,-95.40229885057472,revisar,hoja3
2018-05,Habitat,8,5,14.28571428571428,25.0,normal,hoja3
2018-06,Habitat,96,95,1100.0,1800.0,revisar,hoja3
2018-07,Habitat,92,92,-4.1666666666666625,-3.157894736842104,normal,hoja3
2018-08,Habitat,94,94,2.1739130434782705,2.1739130434782705,normal,hoja3
2018-09,Habitat,95,95,1.0638297872340496,1.0638297872340496,normal,hoja3
2018-10,Habitat,97,97,2.1052631578947434,2.1052631578947434,normal,hoja3
2018-11,Habitat,97,97,0.0,0.0,normal,hoja3
2018-12,Habitat,96,96,-1.0309278350515427,-1.0309278350515427,normal,hoja3
2019-01,Habitat,97,97,1.041666666666674,1.041666666666674,normal,hoja3
2019-02,Habitat,97,97,0.0,0.0,normal,hoja3
2019-03,Habitat,100,100,3.092783505154628,3.092783505154628,normal,hoja3
2019-04,Habitat,98,98,-2.0000000000000018,-2.0000000000000018,normal,hoja3
2019-05,Habitat,100,100,2.0408163265306145,2.0408163265306145,normal,hoja3
2019-06,Habitat,102,102,2.0000000000000018,2.0000000000000018,normal,hoja3
2019-07,Habitat,105,105,2.941176470588225,2.941176470588225,normal,hoja3
2019-08,Habitat,108,108,2.857142857142847,2.857142857142847,normal,hoja3
2019-09,Habitat,114,114,5.555555555555558,5.555555555555558,normal,hoja3
2019-10,Habitat,113,113,-0.8771929824561431,-0.8771929824561431,normal,hoja3
2019-11,Habitat,115,115,1.7699115044247815,1.7699115044247815,normal,hoja3
2019-12,Habitat,111,111,-3.4782608695652195,-3.4782608695652195,normal,hoja3
2020-01,Habitat,108,108,-2.7027027027026973,-2.7027027027026973,normal,hoja3
2020-02,Habitat,98,98,-9.259259259259256,-9.259259259259256,normal,hoja3
2020-03,Habitat,94,94,-4.081632653061229,-4.081632653061229,normal,hoja3
2020-04,Habitat,97,97,3.1914893617021267,3.1914893617021267,normal,hoja3
2020-05,Habitat,96,96,-1.0309278350515427,-1.0309278350515427,normal,hoja3
2020-06,Habitat,104,104,8.333333333333325,8.333333333333325,normal,hoja3
2020-07,Habitat,103,103,-0.9615384615384581,-0.9615384615384581,normal,hoja3
2020-08,Habitat,98,98,-4.854368932038833,-4.854368932038833,normal,hoja3
2020-09,Habitat,97,97,-1.0204081632653073,-1.0204081632653073,normal,hoja3
2020-10,Habitat,96,96,-1.0309278350515427,-1.0309278350515427,normal,hoja3
2020-11,Habitat,98,98,2.083333333333326,2.083333333333326,normal,hoja3
2020-12,Habitat,97,97,-1.0204081632653073,-1.0204081632653073,normal,hoja3
2021-01,Habitat,97,97,0.0,0.0,normal,hoja3
2021-02,Habitat,102,102,5.154639175257736,5.154639175257736,normal,hoja3
2021-03,Habitat,99,99,-2.941176470588236,-2.941176470588236,normal,hoja3
2021-04,Habitat,103,103,4.040404040404044,4.040404040404044,normal,hoja3
2021-05,Habitat,103,103,0.0,0.0,normal,hoja3
2021-06,Habitat,102,102,-0.9708737864077666,-0.9708737864077666,normal,hoja3
2021-07,Habitat,101,101,-0.9803921568627416,-0.9803921568627416,normal,hoja3
2021-08,Habitat,102,102,0.990099009900991,0.990099009900991,normal,hoja3
2021-09,Habitat,108,108,5.882352941176472,5.882352941176472,normal,hoja3
2021-10,Habitat,101,101,-6.481481481481477,-6.481481481481477,normal,hoja3
2021-11,Habitat,106,106,4.950495049504955,4.950495049504955,normal,hoja3
2021-12,Habitat,106,106,0.0,0.0,normal,hoja3
2022-01,Habitat,106,106,0.0,0.0,normal,hoja3
2022-02,Habitat,106,106,0.0,0.0,normal,hoja3
2022-03,Habitat,110,110,3.7735849056603765,3.7735849056603765,normal,hoja3
2022-04,Habitat,110,110,0.0,0.0,normal,hoja3
2022-05,Habitat,114,114,3.6363636363636376,3.6363636363636376,normal,hoja3
2022-06,Habitat,108,108,-5.263157894736848,-5.263157894736848,normal,hoja3
2022-07,Habitat,110,110,1.85185185185186,1.85185185185186,normal,hoja3
2022-08,Habitat,110,110,0.0,0.0,normal,hoja3
2022-09,Habitat,110,110,0.0,0.0,normal,hoja3
2022-10,Habitat,114,114,3.6363636363636376,3.6363636363636376,normal,hoja3
2022-11,Habitat,117,117,2.6315789473684292,2.6315789473684292,normal,hoja3
2022-12,Habitat,116,116,-0.8547008547008517,-0.8547008547008517,normal,hoja3
2023-01,Habitat,120,120,3.4482758620689724,3.4482758620689724,normal,hoja3
2023-02,Habitat,120,120,0.0,0.0,normal,hoja3
2023-03,Habitat,121,121,0.8333333333333304,0.8333333333333304,normal,hoja3
2023-04,Habitat,119,119,-1.6528925619834656,-1.6528925619834656,normal,hoja3
2023-05,Habitat,123,123,3.3613445378151363,3.3613445378151363,normal,hoja3
2023-06,Habitat,126,126,2.4390243902439046,2.4390243902439046,normal,hoja3
2023-07,Habitat,125,125,-0.7936507936507908,-0.7936507936507908,normal,hoja3
2023-08,Habitat,126,126,0.8000000000000007,0.8000000000000007,normal,hoja3
2023-09,Habitat,124,124,-1.5873015873015928,-1.5873015873015928,normal,hoja3
2023-10,Habitat,124,124,0.0,0.0,normal,hoja3
2023-11,Habitat,124,124,0.0,0.0,normal,hoja3
2023-12,Habitat,122,122,-1.6129032258064502,-1.6129032258064502,normal,hoja3
2024-01,Habitat,121,121,-0.8196721311475419,-0.8196721311475419,normal,hoja3
2024-02,Habitat,119,119,-1.6528925619834656,-1.6528925619834656,normal,hoja3
2024-03,Habitat,118,118,-0.8403361344537785,-0.8403361344537785,normal,hoja3
2024-04,Habitat,121,121,2.5423728813559254,2.5423728813559254,normal,hoja3
2024-05,Habitat,123,123,1.6528925619834656,1.6528925619834656,normal,hoja3
2024-06,Habitat,123,123,0.0,0.0,normal,hoja3
2024-07,Habitat,124,124,0.8130081300812941,0.8130081300812941,normal,hoja3
2024-08,Habitat,123,123,-0.8064516129032251,-0.8064516129032251,normal,hoja3
2024-09,Habitat,121,121,-1.6260162601625994,-1.6260162601625994,normal,hoja3
2024-10,Habitat,118,118,-2.4793388429752095,-2.4793388429752095,normal,hoja3
2024-11,Habitat,116,116,-1.6949152542372836,-1.6949152542372836,normal,hoja3
2024-12,Habitat,115,115,-0.8620689655172376,-0.8620689655172376,normal,hoja3
2025-01,Habitat,117,117,1.7391304347825987,1.7391304347825987,normal,hoja3
2025-02,Habitat,118,118,0.8547008547008517,0.8547008547008517,normal,hoja3
2025-03,Habitat,117,117,-0.8474576271186418,-0.8474576271186418,normal,hoja3
2025-04,Habitat,118,118,0.8547008547008517,0.8547008547008517,normal,hoja3
2025-05,Habitat,117,117,-0.8474576271186418,-0.8474576271186418,normal,hoja3
2025-06,Habitat,118,118,0.8547008547008517,0.8547008547008517,normal,hoja3
2025-07,Habitat,118,118,0.0,0.0,normal,hoja3
2025-08,Habitat,120,120,1.6949152542372836,1.6949152542372836,normal,hoja3
2025-09,Habitat,120,120,0.0,0.0,normal,hoja3
2025-10,Habitat,115,115,-4.1666666666666625,-4.1666666666666625,normal,hoja3
2025-11,Habitat,116,116,0.8695652173912993,0.8695652173912993,normal,hoja3
2025-12,Habitat,116,116,0.0,0.0,normal,hoja3
2026-01,Habitat,116,116,0.0,0.0,normal,hoja3
2015-01,Integra,144,113,,,normal,hoja3
2015-02,Integra,142,111,-1.388888888888884,-1.7699115044247815,normal,hoja3
2015-03,Integra,140,114,-1.4084507042253502,2.7027027027026973,normal,hoja3
2015-04,Integra,136,110,-2.857142857142858,-3.508771929824561,normal,hoja3
2015-05,Integra,136,110,0.0,0.0,normal,hoja3
2015-06,Integra,135,110,-0.7352941176470562,0.0,normal,hoja3
2015-07,Integra,145,117,7.407407407407418,6.363636363636371,normal,hoja3
