afp,ticker,nombre,categoria,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Habitat,BZ=F,Petróleo Brent,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,USD,AGREGAR,,0.5770031301842806,0.5125223398840926,0.5024156645710579,0.010106675313034663,1.1325154754147844,1.0984762465454272,EW_RIDGE,0.001,60.0,True
Habitat,RB=F,Gasolina RBOB,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_GASOLINA_RBOB,0,USD,AGREGAR,,0.5297727909540225,0.5125223398840926,0.5043925733523716,0.008129766531720928,1.1325154754147844,1.1059081803511153,EW_RIDGE,0.001,60.0,True
Habitat,CL=F,Petróleo WTI,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_WTI,0,USD,AGREGAR,,0.528935168532886,0.5125223398840926,0.5065043480950507,0.006017991789041832,1.1325154754147844,1.1045757581368814,EW_RIDGE,0.001,60.0,True
Habitat,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.5459393104952649,0.5125223398840926,0.5066432651595959,0.005879074724496669,1.1325154754147844,1.1084929317350112,EW_RIDGE,0.001,60.0,True
Habitat,BTC-USD,Bitcoin,CRIPTO,ret_USD_CRIPTO_BITCOIN,1,USD,AGREGAR,,0.10518663039175338,0.5125223398840926,0.5086644830166089,0.0038578568674836333,1.1325154754147844,1.1272510679742933,EW_RIDGE,0.001,60.0,True
Habitat,LTC-USD,Litecoin,CRIPTO,ret_USD_CRIPTO_LITECOIN,1,USD,AGREGAR,,0.056183445394154534,0.5125223398840926,0.5098527138633616,0.002669626020730953,1.1325154754147844,1.1167673554441508,EW_RIDGE,0.001,60.0,True
Habitat,PA=F,Paladio,FUTURO_METAL,ret_USD_FUTURO_METAL_PALADIO,0,USD,AGREGAR,,0.3214352309457984,0.5125223398840926,0.5108931691660054,0.001629170718087214,1.1325154754147844,1.126710660972879,EW_RIDGE,0.001,60.0,False
Habitat,ZS=F,Soya,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.18587589797735424,0.5125223398840926,0.51127257441684,0.0012497654672525282,1.1325154754147844,1.1145672939560576,EW_RIDGE,0.001,60.0,False
Habitat,HG=F,Cobre,FUTURO_METAL,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.40458094938664746,0.5125223398840926,0.5118816195117807,0.000640720372311887,1.1325154754147844,1.1300176309549004,EW_RIDGE,0.001,60.0,False
Habitat,SI=F,Plata,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATA,0,USD,AGREGAR,,0.342470191908516,0.5125223398840926,0.5122318033968504,0.00029053648724219894,1.1325154754147844,1.1341830127819916,EW_RIDGE,0.001,60.0,False
