fecha_cuota,afp,cuota_sbs,cuota_sbs_anterior,retorno_cuota,ret_COPX__fecha_usada,ret_COPX__retorno_alineado,ret_EPU__fecha_usada,ret_EPU__retorno_alineado,ret_IDX_VIX__fecha_usada,ret_IDX_VIX__retorno_alineado,ret_XLB__fecha_usada,ret_XLB__retorno_alineado
2015-01-02,Habitat,10.806122,,,2014-12-31,,2014-12-31,,2014-12-31,,2014-12-31,
2015-01-05,Habitat,10.7153311,10.806122,-0.008401802237657519,2015-01-05,-0.030713139378223397,2015-01-05,-0.020159784432398076,2015-01-05,0.11973013216134865,2015-01-05,-0.030560349565201483
2015-01-06,Habitat,10.6141156,10.7153311,-0.009445858373895777,2015-01-06,0.014661649409840605,2015-01-06,0.02907323256793526,2015-01-06,0.06024100192487092,2015-01-06,0.011274502958814159
2015-01-07,Habitat,10.6785828,10.6141156,0.006073723184247148,2015-01-07,0.001560498636584473,2015-01-07,-0.0023547999993641655,2015-01-07,-0.08570081919356176,2015-01-07,0.011448934239603803
2015-01-08,Habitat,10.7465171,10.6785828,0.006361733693725835,2015-01-08,0.01563914972217706,2015-01-08,0.0117169493244762,2015-01-08,-0.11910923359252923,2015-01-08,0.024122338785391717
2015-01-09,Habitat,10.7203245,10.7465171,-0.0024373105961930097,2015-01-09,-0.025469637779591325,2015-01-09,-0.024387659655765725,2015-01-09,0.03174597301073678,2015-01-09,-0.02513599513627862
2015-01-12,Habitat,10.6542866,10.7203245,-0.006160065397274095,2015-01-12,-0.01355359178150728,2015-01-12,0.01696893979543468,2015-01-12,0.11680918709558497,2015-01-12,0.01785272158925255
2015-01-13,Habitat,10.6507412,10.6542866,-0.00033276747032506826,2015-01-13,-0.0404896890383325,2015-01-13,-0.022586622056390504,2015-01-13,0.04897954417287975,2015-01-13,-0.00886310668471546
2015-01-14,Habitat,10.5792767,10.6507412,-0.0067098147122381935,2015-01-14,-0.10098108426756036,2015-01-14,-0.05772557200951234,2015-01-14,0.04474708658518822,2015-01-14,-0.035451275603171406
2015-01-15,Habitat,10.5483409,10.5792767,-0.002924188569526698,2015-01-15,0.015003387631883358,2015-01-15,0.031108891337926492,2015-01-15,0.04236498448814063,2015-01-15,0.022983202091197974
