afp,indicador,coeficiente_estandarizado,abs_coeficiente
Habitat,ret_USD_EPU__vol10,1.5166096977126643e-05,1.5166096977126643e-05
Habitat,ret_BVL_PEN_INRETAIL_PERU__rsi14,-1.4159617378482248e-05,1.4159617378482248e-05
Habitat,ret_IDX_LOCAL_JAP_N_NIKKEI_225__mom3,1.08533659466819e-05,1.08533659466819e-05
Habitat,ret_USD_XLE__mom5,4.636710870258533e-06,4.636710870258533e-06
Integra,ret_USD_EPU__ret1,0.0018682847918185701,0.0018682847918185701
Integra,ret_USD_SPY__ret1,0.001374123578982239,0.001374123578982239
Integra,ret_USD_EPU__ma5_20,0.0008247766153369276,0.0008247766153369276
Integra,ret_USD_COPX__ret1,0.0008147443688090881,0.0008147443688090881
Integra,ret_USD_SPY__mom5,0.0005198978714255078,0.0005198978714255078
Integra,ret_USD_SPY__ma5_20,-0.0004997380416946104,0.0004997380416946104
Integra,ret_USD_COPX__ma5_20,-0.00048742751963949926,0.00048742751963949926
Integra,ret_USD_EPU__rsi14,-0.00046109727763448473,0.00046109727763448473
Integra,ret_USD_EPU__mom3,0.000446389557113052,0.000446389557113052
Integra,ret_USD_SPY__rsi14,0.0004024771905258793,0.0004024771905258793
Integra,ret_USD_COPX__mom3,-0.0003854737813612354,0.0003854737813612354
Integra,ret_USD_SPY__vol10,-0.0003294517223950547,0.0003294517223950547
Integra,ret_PEN_FCX__ret1,0.00032069693553068247,0.00032069693553068247
Integra,ret_PEN_FCX__mom5,-0.00031061028976372274,0.00031061028976372274
Integra,ret_PEN_FCX__ma5_20,0.00028411712760569903,0.00028411712760569903
Integra,ret_USD_EPU__macd12_26,-0.00028213511144620625,0.00028213511144620625
Integra,ret_USD_COPX__macd12_26,0.00027579173347874736,0.00027579173347874736
Integra,ret_PEN_FCX__rsi14,-0.0002704605238549047,0.0002704605238549047
Integra,ret_PEN_FCX__macd12_26,0.00021943723451223746,0.00021943723451223746
Integra,ret_USD_SPY__mom3,0.00019755835489884612,0.00019755835489884612
Integra,ret_USD_EPU__mom5,0.00019401225688872573,0.00019401225688872573
Integra,ret_USD_COPX__rsi14,0.0001765811983663803,0.0001765811983663803
Integra,ret_USD_EPU__vol10,0.0001452576720016079,0.0001452576720016079
Integra,ret_USD_SPY__macd12_26,-0.00014341613774517117,0.00014341613774517117
