periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2015-03,Prima,2015-03-31,4770335.649389563,50,50,43,7,8128928.310916229,4829765.685068095,59.414543963713754,0.9876950478441908,1.230495215580918,1.0124582503300659,estricto,True,True,98.76950478441908,59.414543963713726
2015-03,Profuturo,2015-03-31,3537447.3670083624,56,56,44,12,5583633.359693301,3565301.6180851166,63.85271718988641,0.9921874068282295,0.7812593171770521,1.0078741103928595,estricto,True,True,99.21874068282295,63.85271718988641
2015-04,Habitat,2015-04-30,78715.6014375979,44,44,44,0,119979.49286933459,80317.44346483279,66.94264290006932,0.9800561128674836,1.994388713251638,1.020349740051275,estricto,True,True,98.00561128674836,66.94264290006933
2015-04,Integra,2015-04-30,5440307.584102917,79,79,70,9,8658861.705077054,5529499.747713995,63.85943021207761,0.9838697589871577,1.6130241012842328,1.0163946913354138,estricto,True,True,98.38697589871576,63.85943021207762
2015-04,Prima,2015-04-30,4967693.44029053,51,51,44,7,8237696.6803456545,5016842.882462712,60.90103917557942,0.9902031131283795,0.9796886871620503,1.0098938154624346,estricto,True,True,99.02031131283795,60.90103917557942
2015-04,Profuturo,2015-04-30,3493100.050950052,54,54,42,12,5710969.328406935,3534259.220968002,61.88545267417636,0.9883542299971204,1.1645770002879585,1.0117829920178654,estricto,True,True,98.83542299971204,61.88545267417638
2015-05,Habitat,2015-05-29,85682.8361828742,43,43,43,0,129651.57372428432,85742.49383509421,66.13301433381233,0.9993042230339749,0.06957769660250746,1.0006962614086756,estricto,True,True,99.93042230339749,66.13301433381234
2015-05,Integra,2015-05-29,5523689.879417328,79,79,70,9,8722223.646418205,5604522.000595845,64.25565575697374,0.9855773389470283,1.4422661052971741,1.014633718210669,estricto,True,True,98.55773389470282,64.25565575697375
2015-05,Prima,2015-05-29,4781306.364091595,57,57,50,7,8285314.211489513,4833662.149450719,58.34011874586149,0.9891685054229381,1.0831494577061895,1.010950100531588,estricto,True,True,98.91685054229382,58.34011874586149
2015-05,Profuturo,2015-05-29,3641412.0187487486,54,54,42,12,5770873.931232308,3672516.9451262495,63.63883510347319,0.9915303518425477,0.8469648157452325,1.0085419958569228,estricto,True,True,99.15303518425476,63.63883510347319
2015-06,Habitat,2015-06-30,86856.3831151372,41,41,41,0,134983.02105889478,87397.26332124509,64.7468567792038,0.9938112455063978,0.6188754493602233,1.0062272936853807,estricto,True,True,99.38112455063978,64.74685677920378
2015-06,Integra,2015-06-30,5326754.802618689,77,77,68,9,8560834.338863067,5401870.844060236,63.09981749720013,0.9860944395728857,1.3905560427114327,1.014101651798318,estricto,True,True,98.60944395728856,63.09981749720014
