bootstrap_n,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,escenario,variante_confianza,afp,modelo,comparado_con
1764,-47.96436316653755,-60.0052246390836,-35.855433801862496,0.0,ampliado_15pct,alta_media,Profuturo,M1_proxy_directo,M0_base_mercado
1764,2.88584176081676,0.2168571653600842,5.633631809185011,0.99,ampliado_15pct,alta_media,Profuturo,M2_hibrido,M0_base_mercado
1764,3.2901933137452066,-0.01367260571295592,5.988149539408612,0.9725,ampliado_15pct,alta_media,Profuturo,P1_proxy_afp_ajena,M0_base_mercado
1764,2.9854342903526443,-0.5063808973918101,5.266067473605046,0.935,ampliado_15pct,alta_media,Profuturo,P2_proxy_pesos_permutados,M0_base_mercado
1764,-0.41810811828033234,-1.1667996712895286,0.8389088871213071,0.5025,ampliado_15pct,alta_media,Profuturo,M2_hibrido,P1_proxy_afp_ajena
1764,-0.10265729564151502,-1.4290078582763526,2.6107423652912076,0.775,ampliado_15pct,alta_media,Profuturo,M2_hibrido,P2_proxy_pesos_permutados
2050,-49.129292920514835,-60.50866011906246,-35.316476029401336,0.0,ampliado_15pct,todos_mapeados,Habitat,M1_proxy_directo,M0_base_mercado
2050,0.9964658728538881,-1.2636335511255963,3.4509110752650085,0.7475,ampliado_15pct,todos_mapeados,Habitat,M2_hibrido,M0_base_mercado
2050,-0.593213553266013,-3.4154492548340225,1.9871000314936964,0.2775,ampliado_15pct,todos_mapeados,Habitat,P1_proxy_afp_ajena,M0_base_mercado
2050,-1.0628425421391898,-2.7282434781279497,0.6102563562595013,0.1375,ampliado_15pct,todos_mapeados,Habitat,P2_proxy_pesos_permutados,M0_base_mercado
2050,1.580304843604719,0.17615727888686575,3.099002032176608,0.985,ampliado_15pct,todos_mapeados,Habitat,M2_hibrido,P1_proxy_afp_ajena
2050,2.037651389168505,0.6172812161842247,3.2028395917217702,1.0,ampliado_15pct,todos_mapeados,Habitat,M2_hibrido,P2_proxy_pesos_permutados
1601,-49.682449991539215,-62.92901293419471,-31.232499944613767,0.0,ampliado_15pct,todos_mapeados,Integra,M1_proxy_directo,M0_base_mercado
1601,3.5194119889674518,0.5148283303448524,6.071797256409726,0.99,ampliado_15pct,todos_mapeados,Integra,M2_hibrido,M0_base_mercado
1601,3.559087809762118,0.5873391981299536,6.202544552190672,0.995,ampliado_15pct,todos_mapeados,Integra,P1_proxy_afp_ajena,M0_base_mercado
1601,1.1662398676619132,-0.5884670335089985,2.4267210804310446,0.8825,ampliado_15pct,todos_mapeados,Integra,P2_proxy_pesos_permutados,M0_base_mercado
