afp,tipo_modelo,subperiodo,fecha_inicio,fecha_fin,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,CAMPEON_PRE_INDICES,Q1,2024-02-26,2024-09-19,149,0.5867208758376539,0.3501534143687701,1.3072636614453796,4.67354397559081,0.23096198914598146,0.7300357352888016,73.15436241610739
Habitat,CAMPEON_PRE_INDICES,Q2,2024-09-20,2025-04-17,148,0.4311513533215617,0.34176473257574447,0.8424489217397847,2.12992782645538,0.19983114992435236,0.9035856088810105,79.72972972972973
Habitat,CAMPEON_PRE_INDICES,Q3,2025-04-18,2025-11-11,148,0.4708194584694027,0.3833438311875992,1.083792696664823,1.6690412802751409,-0.021172883337016602,0.7387455324586333,81.75675675675676
Habitat,CAMPEON_PRE_INDICES,Q4,2025-11-12,2026-06-30,148,1.1340021750301288,1.0680990688221204,2.1618106333446887,3.535965448744016,-0.3815252724353737,0.8865929804105761,86.48648648648648
Habitat,CAMPEON_CON_INDICES,Q1,2024-02-26,2024-09-19,149,0.5610623844278139,0.35848400530902325,1.2482800927225053,4.621772589795059,0.21472165508709265,0.7578441888618221,77.18120805369128
Habitat,CAMPEON_CON_INDICES,Q2,2024-09-20,2025-04-17,148,0.3980215840403918,0.3147828128087171,0.8099078185481235,1.9135232492303311,0.18079985716067,0.9136801764213262,83.1081081081081
Habitat,CAMPEON_CON_INDICES,Q3,2025-04-18,2025-11-11,148,0.48448646659461064,0.3865770996041795,1.0548218014317625,1.7604356647035413,-0.010100477499363821,0.7087473343106528,82.43243243243244
Habitat,CAMPEON_CON_INDICES,Q4,2025-11-12,2026-06-30,148,1.0976087865473172,1.036666383889634,2.075982920442664,3.3852457042248263,-0.3771780192469196,0.9022171831790207,88.51351351351352
Integra,CAMPEON_PRE_INDICES,Q1,2024-02-26,2024-09-19,149,0.6602981482790738,0.3627806896346897,1.6418458833142562,6.2352402396386175,0.23091989642919616,0.4817775522120851,67.78523489932886
Integra,CAMPEON_PRE_INDICES,Q2,2024-09-20,2025-04-17,148,0.49938695632220564,0.3989520659400281,1.0249129302225983,2.5271089881635955,0.17291379001905985,0.8493795522665494,79.05405405405406
Integra,CAMPEON_PRE_INDICES,Q3,2025-04-18,2025-11-11,148,0.46128551155286934,0.37049177006779344,0.9629202329639456,1.868100124743799,-0.11361988108412842,0.7729769487041684,79.05405405405406
Integra,CAMPEON_PRE_INDICES,Q4,2025-11-12,2026-06-30,148,1.2545947557639092,1.2308822496470695,2.5153472111093014,3.6336389876713837,-0.48636111534402693,0.9499624243814281,93.24324324324324
Integra,CAMPEON_CON_INDICES,Q1,2024-02-26,2024-09-19,149,0.6630141182400369,0.36434393136797194,1.6357393099647066,6.215729655839719,0.2233103292217435,0.4851018061969335,67.11409395973155
Integra,CAMPEON_CON_INDICES,Q2,2024-09-20,2025-04-17,148,0.5035091641496546,0.3993129490558134,1.0741060034784398,2.439292865496956,0.16367405202073868,0.843698901516238,78.37837837837837
Integra,CAMPEON_CON_INDICES,Q3,2025-04-18,2025-11-11,148,0.4608105492526769,0.3871726155265043,0.9557024155564084,1.8401899044476977,-0.12582050725516014,0.7785484760175412,81.08108108108108
Integra,CAMPEON_CON_INDICES,Q4,2025-11-12,2026-06-30,148,1.2613917952111549,1.2093584294354032,2.537080740321108,3.59290020056956,-0.49436615057377825,0.9478579744285991,93.24324324324324
Prima,CAMPEON_PRE_INDICES,Q1,2024-02-26,2024-09-19,149,0.7368956162715108,0.35677226889947455,2.0294423993564603,6.633689363175055,0.311455827365695,0.5314566762181089,73.8255033557047
Prima,CAMPEON_PRE_INDICES,Q2,2024-09-20,2025-04-17,148,0.6020105122737054,0.45863146650809705,1.229113583305157,2.877696056038004,0.24614003078271365,0.8156549054736382,76.35135135135135
Prima,CAMPEON_PRE_INDICES,Q3,2025-04-18,2025-11-11,148,0.4579729573987422,0.3868975771679495,0.9492606859955455,1.7583603952570082,-0.07858777939390738,0.7733453104764549,82.43243243243244
Prima,CAMPEON_PRE_INDICES,Q4,2025-11-12,2026-06-30,148,1.3359070601685599,1.1305359340010923,2.5519620315742952,4.149858941738049,-0.5416802712643116,0.9530918600670145,92.56756756756756
Prima,CAMPEON_CON_INDICES,Q1,2024-02-26,2024-09-19,149,0.7218895425529739,0.3736158354122221,1.8867395850760125,5.895982517056875,0.3004666699938822,0.6201553616350632,74.49664429530202
Prima,CAMPEON_CON_INDICES,Q2,2024-09-20,2025-04-17,148,0.6075128116942985,0.4973437375577372,1.2524264247881556,2.760355184341856,0.21423441160435497,0.7895957924639696,74.32432432432432
Prima,CAMPEON_CON_INDICES,Q3,2025-04-18,2025-11-11,148,0.46465457255053383,0.3977512050770071,0.9975846644335497,1.5054016827736105,-0.029356140349590484,0.7567417816109648,79.72972972972973
Prima,CAMPEON_CON_INDICES,Q4,2025-11-12,2026-06-30,148,1.2651470281016088,1.1520171246871547,2.3546933603759777,3.6911950545816197,-0.4793729679217313,0.9273480054064107,92.56756756756756
Profuturo,CAMPEON_PRE_INDICES,Q1,2024-02-26,2024-09-19,149,0.6936745866781423,0.4566136109653618,1.4167837026458638,5.998888376766209,0.19047814954436215,0.5449857562827897,69.12751677852349
Profuturo,CAMPEON_PRE_INDICES,Q2,2024-09-20,2025-04-17,148,0.4609401378879404,0.31797371743892966,0.9504942320250269,2.6490716626263566,0.17097810281993814,0.8637726858008455,83.1081081081081
Profuturo,CAMPEON_PRE_INDICES,Q3,2025-04-18,2025-11-11,148,0.5175285650706235,0.427730627036671,1.0206882059389588,2.1370281941685887,-0.1277881980505638,0.8434323629617906,85.13513513513513
Profuturo,CAMPEON_PRE_INDICES,Q4,2025-11-12,2026-06-30,148,1.3238619421740478,1.2075619566258078,2.5700614036237472,4.795171053142799,-0.3328677998192848,0.9366004463721608,91.21621621621621
Profuturo,CAMPEON_CON_INDICES,Q1,2024-02-26,2024-09-19,149,0.6936745866781423,0.4566136109653618,1.4167837026458638,5.998888376766209,0.19047814954436215,0.5449857562827897,69.12751677852349
Profuturo,CAMPEON_CON_INDICES,Q2,2024-09-20,2025-04-17,148,0.4609401378879404,0.31797371743892966,0.9504942320250269,2.6490716626263566,0.17097810281993814,0.8637726858008455,83.1081081081081
Profuturo,CAMPEON_CON_INDICES,Q3,2025-04-18,2025-11-11,148,0.5175285650706235,0.427730627036671,1.0206882059389588,2.1370281941685887,-0.1277881980505638,0.8434323629617906,85.13513513513513
Profuturo,CAMPEON_CON_INDICES,Q4,2025-11-12,2026-06-30,148,1.3238619421740478,1.2075619566258078,2.5700614036237472,4.795171053142799,-0.3328677998192848,0.9366004463721608,91.21621621621621
