escenario,periodo,afp,grupo_cobertura,peso_exterior,peso_total_fondo
ampliado_15pct,2015-04,Prima,mapeo_alta_confianza,0.33050377974947615,0.2012802363819989
ampliado_15pct,2015-04,Prima,mapeo_baja_confianza,0.0003413937965294,0.0002079123697673
ampliado_15pct,2015-04,Prima,mapeo_confianza_media,0.3406333764059556,0.20744926601008962
ampliado_15pct,2015-04,Prima,privados_alternativos,0.0566363480440312,0.0344921245099127
ampliado_15pct,2015-04,Prima,residual_no_mapeado,0.2718851020040053,0.165580852484023
ampliado_15pct,2015-04,Profuturo,mapeo_alta_confianza,0.3942053262807009,0.24395575063452551
ampliado_15pct,2015-04,Profuturo,mapeo_baja_confianza,0.0122665291367364,0.0075911970836791
ampliado_15pct,2015-04,Profuturo,mapeo_confianza_media,0.2888186473682117,0.17873672733125073
ampliado_15pct,2015-04,Profuturo,privados_alternativos,0.023366829030322,0.0144606679210155
ampliado_15pct,2015-04,Profuturo,residual_no_mapeado,0.2813426681840263,0.1741101837712907
ampliado_15pct,2015-05,Habitat,mapeo_alta_confianza,0.6592092422674076,0.4359549426785201
ampliado_15pct,2015-05,Habitat,mapeo_baja_confianza,0.0062640311023233,0.0041425925867739
ampliado_15pct,2015-05,Habitat,mapeo_confianza_media,0.1470386878180161,0.097241116490938
ampliado_15pct,2015-05,Habitat,residual_no_mapeado,0.1874880388122509,0.1239914915818894
ampliado_15pct,2015-05,Integra,mapeo_alta_confianza,0.5341299280535039,0.3432086878650309
ampliado_15pct,2015-05,Integra,mapeo_baja_confianza,0.016073497166406284,0.010328131007352937
ampliado_15pct,2015-05,Integra,mapeo_confianza_media,0.19672905872053023,0.12640954674539842
ampliado_15pct,2015-05,Integra,privados_alternativos,0.0384787010427807,0.024724741681804
ampliado_15pct,2015-05,Integra,residual_no_mapeado,0.21458881501677574,0.13788545027014815
ampliado_15pct,2015-05,Prima,mapeo_alta_confianza,0.2959235004333324,0.17264212154971598
ampliado_15pct,2015-05,Prima,mapeo_baja_confianza,0.0003480774624572,0.0002030688049251
ampliado_15pct,2015-05,Prima,mapeo_confianza_media,0.3249857643595306,0.1895970808344954
ampliado_15pct,2015-05,Prima,privados_alternativos,0.0598236784752279,0.0349012050605902
ampliado_15pct,2015-05,Prima,residual_no_mapeado,0.3189189792694493,0.18605771120888556
ampliado_15pct,2015-05,Profuturo,mapeo_alta_confianza,0.4336411444208504,0.275964172838799
ampliado_15pct,2015-05,Profuturo,mapeo_baja_confianza,0.0119225553193752,0.0075873753198176
ampliado_15pct,2015-05,Profuturo,mapeo_confianza_media,0.268374155459612,0.17079018625328093
ampliado_15pct,2015-05,Profuturo,privados_alternativos,0.0246513394184443,0.015687825243300802
ampliado_15pct,2015-05,Profuturo,residual_no_mapeado,0.2614108053817153,0.1663587913795309
ampliado_15pct,2015-06,Habitat,mapeo_alta_confianza,0.6545258007599701,0.4237848828009942
ampliado_15pct,2015-06,Habitat,mapeo_baja_confianza,0.0125264648072224,0.0081104922282297
ampliado_15pct,2015-06,Habitat,mapeo_confianza_media,0.1458726668430643,0.0944479666808838
ampliado_15pct,2015-06,Habitat,residual_no_mapeado,0.18707506758974118,0.1211252260819283
ampliado_15pct,2015-06,Integra,mapeo_alta_confianza,0.5340360062447536,0.33697574530977564
ampliado_15pct,2015-06,Integra,mapeo_baja_confianza,0.016315947439020394,0.010295333056960947
ampliado_15pct,2015-06,Integra,mapeo_confianza_media,0.19933269301455633,0.12577856550443914
ampliado_15pct,2015-06,Integra,privados_alternativos,0.0401291582441067,0.0253214256151939
ampliado_15pct,2015-06,Integra,residual_no_mapeado,0.21018619505755964,0.13262710548562906
ampliado_15pct,2015-06,Prima,mapeo_alta_confianza,0.29687149190445256,0.1809545877391994
ampliado_15pct,2015-06,Prima,mapeo_baja_confianza,0.0003322567457655,0.0002025232603773
ampliado_15pct,2015-06,Prima,mapeo_confianza_media,0.3060395544930988,0.18654287435928887
ampliado_15pct,2015-06,Prima,privados_alternativos,0.059260729389208,0.0361216928811733
ampliado_15pct,2015-06,Prima,residual_no_mapeado,0.33749596746747246,0.20571676743004527
ampliado_15pct,2015-06,Profuturo,mapeo_alta_confianza,0.46722675531014574,0.2978218625787217
ampliado_15pct,2015-06,Profuturo,mapeo_baja_confianza,0.0118198026447041,0.0075342338574382
ampliado_15pct,2015-06,Profuturo,mapeo_confianza_media,0.2501145537524019,0.1594291880976287
ampliado_15pct,2015-06,Profuturo,privados_alternativos,0.026387907103777898,0.0168203031052548
ampliado_15pct,2015-06,Profuturo,residual_no_mapeado,0.24445098118896763,0.155819087197966
ampliado_15pct,2015-07,Habitat,mapeo_alta_confianza,0.6202237566008725,0.4144996469614705
ampliado_15pct,2015-07,Habitat,mapeo_baja_confianza,0.0117745879033203,0.007869035129823
ampliado_15pct,2015-07,Habitat,mapeo_confianza_media,0.1859079275499489,0.12424350005409629
ampliado_15pct,2015-07,Habitat,residual_no_mapeado,0.1820937279458566,0.12169444518073651
ampliado_15pct,2015-07,Integra,mapeo_alta_confianza,0.5521015330555836,0.3394477672352025
ampliado_15pct,2015-07,Integra,mapeo_baja_confianza,0.01729721039527855,0.010634818229138567
ampliado_15pct,2015-07,Integra,mapeo_confianza_media,0.17547470231259488,0.1078868511315567
ampliado_15pct,2015-07,Integra,privados_alternativos,0.0422596063205168,0.025982411116206597
ampliado_15pct,2015-07,Integra,residual_no_mapeado,0.21286694791602323,0.13087667007255294
ampliado_15pct,2015-07,Prima,mapeo_alta_confianza,0.2798802548206287,0.1759559647116555
ampliado_15pct,2015-07,Prima,mapeo_baja_confianza,0.0003394330019245,0.0002133957657959
ampliado_15pct,2015-07,Prima,mapeo_confianza_media,0.2826703216794153,0.1777100323791384
ampliado_15pct,2015-07,Prima,privados_alternativos,0.057663620945044104,0.0362521395396577
ampliado_15pct,2015-07,Prima,residual_no_mapeado,0.3794463695529845,0.23855149072170156
ampliado_15pct,2015-07,Profuturo,mapeo_alta_confianza,0.4652636401998866,0.29988325812325434
ampliado_15pct,2015-07,Profuturo,mapeo_baja_confianza,0.0117241527317748,0.0075567416323974
ampliado_15pct,2015-07,Profuturo,mapeo_confianza_media,0.2698481206760739,0.17392920192949535
ampliado_15pct,2015-07,Profuturo,privados_alternativos,0.026207127416743598,0.0168916675981983
