anio,mes,archivo,url,estado_descarga,hojas_disponibles,hoja3_estado,hoja9_estado,hoja10_estado,estado_general,error_general
2016,10,CA-0001-oc2016.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Octubre/CA-0001-oc2016.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2016,11,CA-0001-no2016.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Noviembre/CA-0001-no2016.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2016,12,CA-0001-di2016.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2016/Diciembre/CA-0001-di2016.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,1,CA-0001-en2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Enero/CA-0001-en2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,2,CA-0001-fe2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Febrero/CA-0001-fe2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,3,CA-0001-ma2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Marzo/CA-0001-ma2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,4,CA-0001-ab2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Abril/CA-0001-ab2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,5,CA-0001-my2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Mayo/CA-0001-my2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,6,CA-0001-jn2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Junio/CA-0001-jn2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,7,CA-0001-jl2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Julio/CA-0001-jl2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,8,CA-0001-ag2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Agosto/CA-0001-ag2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2017,9,CA-0001-se2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Setiembre/CA-0001-se2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | Hojas Actualizadas,correcto,correcto,correcto,correcto,
2017,10,CA-0001-oc2017.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2017/Octubre/CA-0001-oc2017.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | Hojas Actualizadas,correcto,correcto,correcto,correcto,
