observaciones_oos,rmse,mse,mae,r2,direccion_pct,modelo,escenario,variante_confianza,afp,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,ranking_afp_escenario
2050,0.0042141480506336666,1.775904379265953e-05,0.0029054473980162756,0.4684911300862087,74.29268292682927,M2_hibrido,ampliado_15pct,alta,Habitat,2.6282081785601044,-0.5007444775921005,5.278685850701027,0.9625,1
2050,0.00424931138680552,1.8056647262035054e-05,0.0029259233961337673,0.45958418185538163,74.2439024390244,M2_hibrido,ampliado_15pct,todos_mapeados,Habitat,0.9964658728538881,-1.2636335511255963,3.4509110752650085,0.7475,2
2050,0.004249827396225049,1.806103289770498e-05,0.0029264781352707748,0.4594529245486263,74.34146341463415,M2_hibrido,ampliado_15pct,alta_media,Habitat,0.9724196906133185,-1.3097204825420472,3.427220802835841,0.7425,3
2050,0.0052029160212513316,2.7070335124193783e-05,0.0036433035323450934,0.18981430543039746,63.90243902439025,M1_proxy_directo,ampliado_15pct,alta_media,Habitat,-48.42505413152476,-60.19919620558041,-34.62192871519059,0.0,4
2050,0.005215244665098109,2.7198776916834292e-05,0.003652014995017016,0.18597018224149708,64.29268292682927,M1_proxy_directo,ampliado_15pct,todos_mapeados,Habitat,-49.129292920514835,-60.50866011906246,-35.316476029401336,0.0,5
2050,0.005266962852185552,2.7740897686302563e-05,0.0037006477047252903,0.16974509710172325,63.75609756097561,M1_proxy_directo,ampliado_15pct,alta,Habitat,-52.101709190390935,-63.971922400561766,-38.3730199702358,0.0,6
1883,0.00421896380171365,1.77996555601701e-05,0.002887947892409128,0.469442038029137,74.45565586829528,M2_hibrido,principal_5pct,alta,Habitat,2.644242039017186,-0.2443729734679689,5.70186685635076,0.9525,1
1883,0.004246477951579947,1.8032574993254625e-05,0.00290203891148296,0.46249936100356226,74.29633563462559,M2_hibrido,principal_5pct,todos_mapeados,Habitat,1.3702821089987625,-1.3686022743694786,3.6990510470372193,0.8225,2
1883,0.00424814060461965,1.804669859661821e-05,0.0029060300326794754,0.4620783758788256,74.29633563462559,M2_hibrido,principal_5pct,alta_media,Habitat,1.293032630437004,-1.3738642115796642,3.643955013200566,0.815,3
1883,0.005208002093382473,2.712328580467623e-05,0.0036369042544287023,0.19153069058911942,64.36537440254912,M1_proxy_directo,principal_5pct,alta_media,Habitat,-48.35163742243703,-60.66166363093424,-33.05397702066686,0.0,4
1883,0.005222969102512321,2.727940624579836e-05,0.003650122543205254,0.18687717677343074,65.10886882634095,M1_proxy_directo,principal_5pct,todos_mapeados,Habitat,-49.20554292792665,-61.45037560428793,-33.90477842747492,0.0,5
1883,0.005281976873156066,2.7899279688555537e-05,0.0036922571644218962,0.16840048269598829,63.409453000531066,M1_proxy_directo,principal_5pct,alta,Habitat,-52.59595959388442,-64.60207489092885,-36.8926748941557,0.0,6
1601,0.0040916264562525576,1.674140705750586e-05,0.0027567385638047957,0.47921207006029787,73.39163023110555,M2_hibrido,ampliado_15pct,alta,Integra,6.460632978480284,2.4176545410440937,10.068763124915256,1.0,1
1601,0.0041524538081573505,1.7242872628880483e-05,0.002797949526933041,0.4636125917156666,73.01686445971268,M2_hibrido,ampliado_15pct,alta_media,Integra,3.6587912952606736,0.36773880221592375,6.1838725916625945,0.99,2
1601,0.004155456453449503,1.7267818336515118e-05,0.0027975686531777413,0.46283658624639523,72.89194253591505,M2_hibrido,ampliado_15pct,todos_mapeados,Integra,3.5194119889674518,0.5148283303448524,6.071797256409726,0.99,3
1601,0.005144835197726482,2.6469329211765294e-05,0.003508511445980346,0.17659805297503994,64.70955652717052,M1_proxy_directo,ampliado_15pct,alta,Integra,-47.89224653866166,-59.97653674875608,-30.556190173478143,0.0,4
1601,0.005169848684656159,2.672733542224102e-05,0.0035267780403131837,0.16857205373831508,64.33479075577763,M1_proxy_directo,ampliado_15pct,alta_media,Integra,-49.333806231501235,-62.44081471280983,-31.12956877237439,0.0,5
1601,0.005175880087515205,2.678973468033641e-05,0.0035197783680840262,0.16663095163491082,64.39725171767645,M1_proxy_directo,ampliado_15pct,todos_mapeados,Integra,-49.682449991539215,-62.92901293419471,-31.232499944613767,0.0,6
468,0.0026184846575313613,6.856461901727131e-06,0.001976554036451428,0.5531661853970841,75.85470085470085,M2_hibrido,principal_5pct,alta,Integra,1.4642003156862358,0.005735946921495852,3.677448437650213,0.975,1
468,0.0026336275430648157,6.935994035589617e-06,0.0019801143226384986,0.5479830971999,76.06837606837607,M2_hibrido,principal_5pct,alta_media,Integra,0.32122562654432674,-1.5484423955504745,3.952973233545462,0.855,2
468,0.002638742125727488,6.962960006088822e-06,0.00198534195398974,0.5462257320113624,76.49572649572649,M2_hibrido,principal_5pct,todos_mapeados,Integra,-0.0663085719222947,-2.0266445761223757,2.74092830178125,0.8025,3
468,0.003562228400572207,1.2689471177843226e-05,0.0027584021281137905,0.1730305085978585,67.3076923076923,M1_proxy_directo,principal_5pct,alta,Integra,-82.36332499198569,-107.30704446871007,-53.182845582146136,0.0,4
468,0.0035764498078062587,1.2790993227757426e-05,0.0027710292064257918,0.166414343368669,66.45299145299145,M1_proxy_directo,principal_5pct,alta_media,Integra,-83.82232185031677,-109.27359997778434,-53.35585938462416,0.0,5
468,0.003584755166641182,1.2850469604760647e-05,0.002775782097997123,0.1625382835588105,67.09401709401709,M1_proxy_directo,principal_5pct,todos_mapeados,Integra,-84.67707061933739,-111.13857109024016,-52.869088733506686,0.0,6
1955,0.004319190689707723,1.8655408214057873e-05,0.002933965250352331,0.4387227899026628,70.84398976982096,M2_hibrido,ampliado_15pct,alta,Prima,4.176442365537028,0.33023325897994327,7.475073774935979,0.995,1
1955,0.004351781118598618,1.8937998904191437e-05,0.0029425510862716945,0.4302206058529926,71.0997442455243,M2_hibrido,ampliado_15pct,alta_media,Prima,2.724914477630998,0.18000192221198874,4.6611175790139265,0.9775,2
1955,0.0043530356846842744,1.8948919672134694e-05,0.002937578689887995,0.4298920374243108,71.56010230179028,M2_hibrido,ampliado_15pct,todos_mapeados,Prima,2.668819921863804,0.19988463537260365,4.685944781583106,0.9825,3
1955,0.005281467424731523,2.7893898158500226e-05,0.003565995194226194,0.16076833283420477,62.250639386189256,M1_proxy_directo,ampliado_15pct,alta_media,Prima,-43.27708765047102,-52.50586604420528,-32.60947390061696,0.0,4
1955,0.005283772528510287,2.7918252133039987e-05,0.00356228228103481,0.16003560532014482,62.864450127877234,M1_proxy_directo,ampliado_15pct,todos_mapeados,Prima,-43.40218191033184,-52.70871868151572,-32.55960176504859,0.0,5
1955,0.005293448912291654,2.802060138704169e-05,0.0035839489413669154,0.15695626751726943,63.42710997442455,M1_proxy_directo,ampliado_15pct,alta,Prima,-43.92789914616729,-53.313400399920305,-33.59272465569401,0.0,6
1350,0.004465576784851516,1.99413760214048e-05,0.0029693803763531186,0.48315127107702205,70.44444444444444,M2_hibrido,principal_5pct,alta,Prima,6.331169952563252,1.022981009007394,11.1581461824049,0.995,1
