fecha_cartera,afp,participacion_no_mapeada_pct,estado_general_v1,participacion_no_mapeada_abs_pct,estado_general_v2
2016-10-31,Prima,64.7945183026746,revisar,0.0,correcto
2016-10-31,Profuturo,63.86565542200668,revisar,0.0,correcto
2016-11-30,Habitat,58.20662925981563,revisar,0.0,correcto
2016-11-30,Integra,61.85548714885288,revisar,0.0,correcto
2016-11-30,Prima,61.17995941390412,revisar,0.0,correcto
2016-11-30,Profuturo,64.21338076578654,revisar,0.0,correcto
2016-12-31,Habitat,57.268969431208646,revisar,0.0,correcto
2016-12-31,Integra,58.44953973300134,revisar,0.0,correcto
2016-12-31,Prima,62.12011450621252,revisar,0.0,correcto
2016-12-31,Profuturo,62.605839047958646,revisar,0.0,correcto
2017-01-31,Habitat,60.726000040983074,revisar,0.0,correcto
2017-01-31,Integra,59.96850569177381,revisar,0.0,correcto
2017-01-31,Prima,64.59243086276788,revisar,0.0,correcto
2017-01-31,Profuturo,64.27835085121151,revisar,0.0,correcto
2017-02-28,Habitat,60.61010771542197,revisar,0.0,correcto
2017-02-28,Integra,60.19920415198169,revisar,0.0,correcto
2017-02-28,Prima,70.4107965078549,revisar,0.0,correcto
2017-02-28,Profuturo,66.01178985982229,revisar,0.0,correcto
2017-03-31,Habitat,61.1088434660513,revisar,0.0,correcto
2017-03-31,Integra,61.79099370751964,revisar,0.0,correcto
2017-03-31,Prima,70.11996615890997,revisar,0.0,correcto
2017-03-31,Profuturo,68.66270453025965,revisar,0.0,correcto
2017-04-30,Habitat,61.24505025611264,revisar,0.0,correcto
2017-04-30,Integra,64.33190845166723,revisar,0.0,correcto
2017-04-30,Prima,70.15570081298917,revisar,0.0,correcto
2017-04-30,Profuturo,67.89677643372481,revisar,0.0,correcto
2017-05-31,Habitat,61.020953505028,revisar,0.0,correcto
2017-05-31,Integra,66.17574838045739,revisar,0.0,correcto
2017-05-31,Prima,68.91269248499589,revisar,0.0,correcto
2017-05-31,Profuturo,69.49393777621513,revisar,0.0,correcto
2017-06-30,Habitat,62.94377225080727,revisar,0.0,correcto
2017-06-30,Integra,65.37775413190533,revisar,0.0,correcto
2017-06-30,Prima,71.20073871397715,revisar,0.0,correcto
2017-06-30,Profuturo,70.9923885787396,revisar,0.0,correcto
2017-07-31,Habitat,64.02105632401503,revisar,0.0,correcto
2017-07-31,Integra,66.52054918152197,revisar,0.0,correcto
2017-07-31,Prima,72.04774459457913,revisar,0.0,correcto
2017-07-31,Profuturo,71.67672346742582,revisar,0.0,correcto
2017-08-31,Habitat,60.94190401336623,revisar,0.0,correcto
2017-08-31,Integra,66.92346695217466,revisar,0.0,correcto
2017-08-31,Prima,72.36417502638331,revisar,0.0,correcto
2017-08-31,Profuturo,71.61934383309588,revisar,0.0,correcto
2017-09-30,Habitat,61.93261979971722,revisar,0.0,correcto
2017-09-30,Integra,66.82293927824347,revisar,0.0,correcto
2017-09-30,Prima,71.05893326000512,revisar,0.0,correcto
2017-09-30,Profuturo,70.77548955772782,revisar,0.0,correcto
2017-10-31,Habitat,61.45980595714201,revisar,0.0,correcto
2017-10-31,Integra,64.0551411456211,revisar,0.0,correcto
2017-10-31,Prima,67.68723624738426,revisar,0.0,correcto
2017-10-31,Profuturo,66.99237884373332,revisar,0.0,correcto
2017-11-30,Habitat,61.67124572884447,revisar,0.0,correcto
2017-11-30,Integra,65.22918156313133,revisar,0.0,correcto
