afp,modelo,anio,observaciones,rmse,mae,r2,correlacion,acierto_direccion_pct
Habitat,M0_sin_pesos,2025,259,0.00408745929345801,0.003071598516433739,0.4977062747607225,0.730875788617215,71.04247104247105
Habitat,M0_sin_pesos,2026,113,0.010212351245238916,0.0074256106181961054,0.3602805093208865,0.7832164179490891,82.30088495575221
Habitat,M1_pesos_reales,2025,259,0.004082456538465135,0.003053064550652523,0.4989350648166335,0.7388622816887375,72.58687258687259
Habitat,M1_pesos_reales,2026,113,0.010071197100181506,0.007276556954865658,0.37784257767264173,0.7793803424948642,81.41592920353983
Habitat,M2_hibrido,2025,259,0.0040311222891110336,0.00302007918235831,0.5114569739353559,0.7347385488550041,72.58687258687259
Habitat,M2_hibrido,2026,113,0.00997153458428021,0.007206402485575816,0.39009513814283303,0.7864039258347647,81.41592920353983
Integra,M0_sin_pesos,2025,259,0.004563806838241614,0.003346916157140235,0.4599009136524187,0.7410560124968306,71.81467181467181
Integra,M0_sin_pesos,2026,113,0.010758463516084038,0.008291907448766497,0.3669330508173957,0.8603430794602756,83.1858407079646
Integra,M1_pesos_reales,2025,259,0.004404275590022861,0.0032148219649437973,0.49700009170042303,0.7496718586191141,73.35907335907336
Integra,M1_pesos_reales,2026,113,0.01022790761340607,0.00785077582934163,0.427833099143311,0.8537799139689256,79.64601769911505
Integra,M2_hibrido,2025,259,0.004469523361308202,0.0032614898676269167,0.4819861681622022,0.7466236783983892,72.97297297297297
Integra,M2_hibrido,2026,113,0.010394773357912347,0.007987082952583779,0.4090112862538804,0.8602118222520772,83.1858407079646
Prima,M0_sin_pesos,2025,259,0.0044553923989382365,0.0033417526709001153,0.4796479945373685,0.7696487632997601,74.13127413127413
Prima,M0_sin_pesos,2026,113,0.011679401372175002,0.009005207518084011,0.3378764835362399,0.8590722703143903,80.53097345132744
Prima,M1_pesos_reales,2025,259,0.004273431204493761,0.0031666264366664045,0.5212831134758487,0.7692918958162451,76.44787644787645
Prima,M1_pesos_reales,2026,113,0.011365895390492185,0.008733160427865873,0.3729456935088341,0.8328460733127597,76.99115044247787
Prima,M2_hibrido,2025,259,0.004334666768374503,0.0032381452737847687,0.5074653983070986,0.7750964156864438,74.5173745173745
Prima,M2_hibrido,2026,113,0.011387148572923673,0.008752866158909262,0.3705984328395686,0.8582938943874873,80.53097345132744
Profuturo,M0_sin_pesos,2025,259,0.004615084174166147,0.003250461443975576,0.4509535176064091,0.7077866940799632,73.74517374517374
Profuturo,M0_sin_pesos,2026,113,0.01157028985110026,0.009090082651811344,0.36454890600422296,0.8399562577856355,78.76106194690266
Profuturo,M1_pesos_reales,2025,259,0.004551814317098428,0.003189750214294204,0.46590447955195713,0.711381988531966,73.74517374517374
Profuturo,M1_pesos_reales,2026,113,0.01149300459551653,0.009015754518266523,0.37300971021645,0.8271264269576524,76.99115044247787
Profuturo,M2_hibrido,2025,259,0.004521003053703986,0.0031637092518064886,0.4731106003167792,0.7115911926822596,74.9034749034749
Profuturo,M2_hibrido,2026,113,0.01135987208162235,0.008894279275214084,0.3874514216520638,0.8369648267280668,77.87610619469027
