fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,fuente_detalle,valor_abs,ranking,grupo,entidad_administradora,isin,seccion,estado_identificacion
2026-01-30,CA-0001-en2026.XLS,3,521,Integra,3,260270.83892,miles_soles,0.07660334107395758,Invesco Capital Management LLC,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3637735.127414874,7.154749584666965,hoja3_emisor_o_fondo,260270.83892,2,,,,,
2026-01-30,CA-0001-en2026.XLS,3,369,Integra,3,229263.815072,miles_soles,0.06747730285402945,BlackRock Fund Advisors,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3637735.127414874,6.302377909381336,hoja3_emisor_o_fondo,229263.815072,3,,,,,
2026-01-30,CA-0001-en2026.XLS,3,148,Integra,3,205975.54838999998,miles_soles,0.06062306192921008,MINSUR,ACCIONES DEL TRABAJO,pareja_exacta,,3637735.127414874,5.662192028158323,hoja3_emisor_o_fondo,205975.54838999998,4,,,,,
2026-01-30,CA-0001-en2026.XLS,3,63,Integra,3,186555.9479912,miles_soles,0.05490745322313262,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3637735.127414874,5.1283543594273295,hoja3_emisor_o_fondo,186555.9479912,5,,,,,
2026-01-30,CA-0001-en2026.XLS,3,101,Integra,3,181032.76964112,miles_soles,0.05328186229362582,CIA MINERA BUENAVENTURA,,sin_categoria_adyacente,,3637735.127414874,4.976524219061805,hoja3_emisor_o_fondo,181032.76964112,6,,,,,
2026-01-30,CA-0001-en2026.XLS,3,365,Integra,3,151310.50807123203,miles_soles,0.044533957418937405,BlackRock Asset Management (Deutschland) AG,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3637735.127414874,4.159470186020926,hoja3_emisor_o_fondo,151310.50807123203,7,,,,,
2026-01-30,CA-0001-en2026.XLS,3,497,Integra,3,115595.997294296,miles_soles,0.03402240390918718,"Hellman & Friedman Investors IX, L.P.",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,3637735.127414874,3.177691427370176,hoja3_emisor_o_fondo,115595.997294296,8,,,,,
2026-01-30,CA-0001-en2026.XLS,3,114,Integra,3,98705.66112,miles_soles,0.029051212406588242,Ferreycorp S.A.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3637735.127414874,2.7133823014251277,hoja3_emisor_o_fondo,98705.66112,9,,,,,
2026-01-30,CA-0001-en2026.XLS,3,131,Integra,3,82732.80829786921,miles_soles,0.024350056112110306,InRetail Peru Corp.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3637735.127414874,2.274294455205775,hoja3_emisor_o_fondo,82732.80829786921,10,,,,,
2026-01-30,CA-0001-en2026.XLS,3,481,Integra,3,74201.431872,miles_soles,0.02183908738087239,Global X Management Company LLC,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3637735.127414874,2.0397700567256702,hoja3_emisor_o_fondo,74201.431872,11,,,,,
2026-01-30,CA-0001-en2026.XLS,3,563,Integra,3,69333.15627083699,miles_soles,0.020406248504779387,Lexington Partners GP Holdings VIII LLC,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,3637735.127414874,1.9059429519297635,hoja3_emisor_o_fondo,69333.15627083699,12,,,,,
2026-01-30,CA-0001-en2026.XLS,3,713,Integra,3,66665.545344,miles_soles,0.019621112872493202,WisdomTree Asset Management Inc.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3637735.127414874,1.8326113092069822,hoja3_emisor_o_fondo,66665.545344,13,,,,,
2026-01-30,CA-0001-en2026.XLS,3,123,Integra,3,66508.0310999104,miles_soles,0.01957475302129331,HOCHSCHILD MINING PLC,,sin_categoria_adyacente,,3637735.127414874,1.8282813006007332,hoja3_emisor_o_fondo,66508.0310999104,14,,,,,
2026-01-30,CA-0001-en2026.XLS,3,124,Integra,3,66508.0310999104,miles_soles,0.01957475302129331,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,,sin_categoria_adyacente,,3637735.127414874,1.8282813006007332,hoja3_emisor_o_fondo,66508.0310999104,15,,,,,
2026-01-30,CA-0001-en2026.XLS,3,413,Integra,3,55701.8432828948,miles_soles,0.016394258062691625,Coller International General Partner VII L.P.,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,3637735.127414874,1.5312231740874123,hoja3_emisor_o_fondo,55701.8432828948,16,,,,,
2026-01-30,CA-0001-en2026.XLS,3,98,Integra,3,54526.489896723004,miles_soles,0.016048326122344577,CEMENTOS PACASMAYO S.A.A.,,sin_categoria_adyacente,,3637735.127414874,1.4989131420206452,hoja3_emisor_o_fondo,54526.489896723004,17,,,,,
2026-01-30,CA-0001-en2026.XLS,3,125,Integra,3,50354.275000320005,miles_soles,0.014820352976873436,HudBay Minerals Inc.,,sin_categoria_adyacente,,3637735.127414874,1.3842204898547368,hoja3_emisor_o_fondo,50354.275000320005,18,,,,,
2026-01-30,CA-0001-en2026.XLS,3,126,Integra,3,50354.275000320005,miles_soles,0.014820352976873436,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,,sin_categoria_adyacente,,3637735.127414874,1.3842204898547368,hoja3_emisor_o_fondo,50354.275000320005,19,,,,,
2026-01-30,CA-0001-en2026.XLS,3,201,Integra,3,46161.808,miles_soles,0.013586419198892493,Enfoca SAFI S.A.,FONDO DE INVERSION ALTERNATIVO,pareja_exacta,,3637735.127414874,1.2689711148047356,hoja3_emisor_o_fondo,46161.808,20,,,,,
2026-01-30,CA-0001-en2026.XLS,3,369,Prima,3,555403.02425008,miles_soles,0.18436908231474028,BlackRock Fund Advisors,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3344285.975979006,16.607521851880247,hoja3_emisor_o_fondo,555403.02425008,1,,,,,
2026-01-30,CA-0001-en2026.XLS,3,697,Prima,3,367408.08613408,miles_soles,0.12196313076800036,VAN ECK ASSOCIATES CORPORATION,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3344285.975979006,10.986144389955319,hoja3_emisor_o_fondo,367408.08613408,2,,,,,
2026-01-30,CA-0001-en2026.XLS,3,148,Prima,3,214812.10111000002,miles_soles,0.07130805599272212,MINSUR,ACCIONES DEL TRABAJO,pareja_exacta,,3344285.975979006,6.4232575399631,hoja3_emisor_o_fondo,214812.10111000002,3,,,,,
2026-01-30,CA-0001-en2026.XLS,3,101,Prima,3,205921.31527872,miles_soles,0.06835671083758317,CIA MINERA BUENAVENTURA,,sin_categoria_adyacente,,3344285.975979006,6.157407493192582,hoja3_emisor_o_fondo,205921.31527872,4,,,,,
2026-01-30,CA-0001-en2026.XLS,3,63,Prima,3,195264.21571744,miles_soles,0.06481902814508615,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3344285.975979006,5.838741576526762,hoja3_emisor_o_fondo,195264.21571744,5,,,,,
2026-01-30,CA-0001-en2026.XLS,3,8,Prima,3,149988.1455045,miles_soles,0.04978938813322535,GOBIERNO CENTRAL,,sin_categoria_adyacente,,3344285.975979006,4.484907887119087,hoja3_emisor_o_fondo,149988.1455045,6,,,,,
2026-01-30,CA-0001-en2026.XLS,3,9,Prima,3,149988.1455045,miles_soles,0.04978938813322535,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,,sin_categoria_adyacente,,3344285.975979006,4.484907887119087,hoja3_emisor_o_fondo,149988.1455045,7,,,,,
2026-01-30,CA-0001-en2026.XLS,3,481,Prima,3,145428.21957048,miles_soles,0.04827569569157255,Global X Management Company LLC,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3344285.975979006,4.348558126160468,hoja3_emisor_o_fondo,145428.21957048,8,,,,,
2026-01-30,CA-0001-en2026.XLS,3,114,Prima,3,80121.19584,miles_soles,0.02659667071659497,Ferreycorp S.A.A.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3344285.975979006,2.395763891469997,hoja3_emisor_o_fondo,80121.19584,9,,,,,
2026-01-30,CA-0001-en2026.XLS,3,327,Prima,3,77782.2688706248,miles_soles,0.02582025107155044,APAX X USD Feeder L.P.,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,3344285.975979006,2.325825884189071,hoja3_emisor_o_fondo,77782.2688706248,10,,,,,
2026-01-30,CA-0001-en2026.XLS,3,669,Prima,3,74805.32181632,miles_soles,0.024832037157442168,State Street Global Advisors Inc,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3344285.975979006,2.236809960440704,hoja3_emisor_o_fondo,74805.32181632,11,,,,,
2026-01-30,CA-0001-en2026.XLS,3,131,Prima,3,72732.0511274095,miles_soles,0.02414380357279326,InRetail Peru Corp.,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3344285.975979006,2.1748155405913794,hoja3_emisor_o_fondo,72732.0511274095,12,,,,,
2026-01-30,CA-0001-en2026.XLS,3,279,Prima,3,61106.707047136406,miles_soles,0.0202847067978575,JP MORGAN CHASE & CO,CUENTAS CORRIENTES DEL EXTERIOR,pareja_exacta,,3344285.975979006,1.8271974193010823,hoja3_emisor_o_fondo,61106.707047136406,13,,,,,
2026-01-30,CA-0001-en2026.XLS,3,549,Prima,3,58986.742316480006,miles_soles,0.01958097286976361,"Krane Funds Advisors, LLC",FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,3344285.975979006,1.7638067659334136,hoja3_emisor_o_fondo,58986.742316480006,14,,,,,
2026-01-30,CA-0001-en2026.XLS,3,373,Prima,3,57561.2146549021,miles_soles,0.01910776113827499,Blackstone Growth Associates L.P.,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,3344285.975979006,1.7211809955352768,hoja3_emisor_o_fondo,57561.2146549021,15,,,,,
