afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,instrumento,ticker_elegido,tipo,sector,moneda_modelo,transformacion,elegible_operativo,motivo_elegibilidad
Integra,ret_BVL_PEN_CREDICORP,0,1729,97.19101123595506,0.31525650219367896,0.4095563730060922,0.06469522171438413,0.31525650219367896,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,PEN,retorno_USD_convertido_a_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_VOLCAN,0,1655,93.03370786516854,0.2935723293664818,0.34683511485139046,0.07074004877645024,0.2935723293664818,Volcan,VOLCABC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_ALICORP,0,1621,91.12359550561798,0.27607225818525,0.3550685802533808,0.05844082337752399,0.27607225818525,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_NEXA_RESOURCES_PERU,0,1221,68.65168539325842,0.27603035032626916,0.34318030950411793,0.07483031929161799,0.27603035032626916,Nexa Resources Peru,NEXAPEC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,False,MUCHO_VOLUMEN_CERO
Integra,ret_BVL_PEN_INRETAIL_PERU,0,1540,86.51685393258427,0.2745509702160048,0.32480166873174476,0.03425439388498441,0.2745509702160048,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_CEMENTOS_PACASMAYO,0,1592,89.49438202247191,0.2536574124578125,0.31721025462094765,0.02293005641989332,0.2536574124578125,Cementos Pacasmayo,CPACASC1.LM,ACCION_BVL_ADR,CEMENTO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_SIDERPERU,0,1351,75.89887640449439,0.2516286555460725,0.23527083477506217,0.030944049110811278,0.2516286555460725,Siderperu,SIDERC1.LM,ACCION_BVL,ACERO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_FERREYCORP,0,1619,91.01123595505618,0.23958126221571086,0.2918310589263719,0.04466975957387165,0.23958126221571086,Ferreycorp,FERREYC1.LM,ACCION_BVL,INDUSTRIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_CERRO_VERDE,0,1529,85.95505617977528,0.23771617600234848,0.2236231318307911,0.03496829983733285,0.23771617600234848,Cerro Verde,CVERDEC1.LM,ACCION_BVL,MINERIA_COBRE,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_ACEROS_AREQUIPA,0,1567,88.08988764044943,0.20247826708669256,0.2681629902162701,0.04592461156301342,0.20247826708669256,Aceros Arequipa,CORAREI1.LM,ACCION_BVL,ACERO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_UNACEM,0,1483,83.37078651685394,0.19552854048675108,0.26734743571288194,0.0,0.19552854048675108,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_ENGIE_ENERGIA_PERU,0,1170,65.78651685393258,0.1573649779693728,0.21456275263948207,0.004869226984857367,0.1573649779693728,Engie Energia Peru,ENGIEC1.LM,ACCION_BVL,ENERGIA,PEN,retorno_local_en_PEN,False,MUCHO_VOLUMEN_CERO
Integra,ret_BVL_PEN_LUZ_DEL_SUR,0,1519,85.39325842696628,0.12744029346383706,0.12599117142369787,0.028034223245199108,0.12744029346383706,Luz del Sur,LUSURC1.LM,ACCION_BVL,ENERGIA_DISTRIBUCION,PEN,retorno_local_en_PEN,True,ELEGIBLE
Integra,ret_BVL_PEN_BACKUS,0,1273,71.51685393258427,0.098222026480555,0.11720780767297338,0.0013155530235380297,0.098222026480555,Backus,BACKUSI1.LM,ACCION_BVL,BEBIDAS,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_USD_CREDICORP,0,1729,97.19101123595506,0.3982606678331676,0.5017585961568101,0.14096010953210225,0.3982606678331676,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,USD,retorno_en_USD,True,ELEGIBLE
Prima,ret_BVL_USD_SOUTHERN_COPPER,0,1729,97.19101123595506,0.3853514597171775,0.46681678892532635,0.1389420420385301,0.3853514597171775,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,USD,retorno_en_USD,True,ELEGIBLE
Prima,ret_BVL_PEN_MINSUR,0,1379,77.52808988764045,0.32437938798196597,0.33174310838279664,0.048351470028906274,0.32437938798196597,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_SOUTHERN_COPPER,0,1729,97.19101123595506,0.32162949150703946,0.3955924831636232,0.0878275433199347,0.32162949150703946,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,PEN,retorno_USD_convertido_a_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_CREDICORP,0,1729,97.19101123595506,0.31538540474500315,0.4153857673239048,0.12182489968628918,0.31538540474500315,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,PEN,retorno_USD_convertido_a_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_VOLCAN,0,1655,93.03370786516854,0.3064354038343055,0.3544650866839566,0.09663700080821824,0.3064354038343055,Volcan,VOLCABC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_ALICORP,0,1621,91.12359550561798,0.2956809384561583,0.37283189669185884,0.031136444575599054,0.2956809384561583,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_INRETAIL_PERU,0,1540,86.51685393258427,0.27989066336265334,0.33130216391619516,0.055773619604559066,0.27989066336265334,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_CEMENTOS_PACASMAYO,0,1592,89.49438202247191,0.25973441417084286,0.3247033285727561,0.04341522774967199,0.25973441417084286,Cementos Pacasmayo,CPACASC1.LM,ACCION_BVL_ADR,CEMENTO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_NEXA_RESOURCES_PERU,0,1221,68.65168539325842,0.2552038838953196,0.33195065810555124,0.07829143937739103,0.2552038838953196,Nexa Resources Peru,NEXAPEC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,False,MUCHO_VOLUMEN_CERO
Prima,ret_BVL_PEN_FERREYCORP,0,1619,91.01123595505618,0.24874062592557158,0.30102477807079225,0.062442736656414866,0.24874062592557158,Ferreycorp,FERREYC1.LM,ACCION_BVL,INDUSTRIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_SIDERPERU,0,1351,75.89887640449439,0.24479103924418935,0.227992195140112,0.05344795775931921,0.24479103924418935,Siderperu,SIDERC1.LM,ACCION_BVL,ACERO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_CERRO_VERDE,0,1529,85.95505617977528,0.23905951790226285,0.2254574982239094,0.06319591203328523,0.23905951790226285,Cerro Verde,CVERDEC1.LM,ACCION_BVL,MINERIA_COBRE,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_ACEROS_AREQUIPA,0,1567,88.08988764044943,0.20751507834005978,0.28244449972711577,0.04709758622274052,0.20751507834005978,Aceros Arequipa,CORAREI1.LM,ACCION_BVL,ACERO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_UNACEM,0,1483,83.37078651685394,0.19956118927479716,0.27100730717568444,0.0578494028441634,0.19956118927479716,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_ENGIE_ENERGIA_PERU,0,1170,65.78651685393258,0.15064954172314968,0.21690352003484856,0.0213191412561744,0.15064954172314968,Engie Energia Peru,ENGIEC1.LM,ACCION_BVL,ENERGIA,PEN,retorno_local_en_PEN,False,MUCHO_VOLUMEN_CERO
Prima,ret_BVL_PEN_LUZ_DEL_SUR,0,1519,85.39325842696628,0.12862865676897886,0.12684477524526674,0.0,0.12862865676897886,Luz del Sur,LUSURC1.LM,ACCION_BVL,ENERGIA_DISTRIBUCION,PEN,retorno_local_en_PEN,True,ELEGIBLE
Prima,ret_BVL_PEN_BACKUS,0,1273,71.51685393258427,0.09615593389980356,0.12241804355157974,0.0,0.09615593389980356,Backus,BACKUSI1.LM,ACCION_BVL,BEBIDAS,PEN,retorno_local_en_PEN,True,ELEGIBLE
Profuturo,ret_BVL_USD_CREDICORP,0,1729,97.19101123595506,0.43029553352862554,0.5168723214500982,0.1487754739610212,0.43029553352862554,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,USD,retorno_en_USD,True,ELEGIBLE
Profuturo,ret_BVL_USD_SOUTHERN_COPPER,0,1729,97.19101123595506,0.4198613796711298,0.4800721773456163,0.12066928377957709,0.4198613796711298,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,USD,retorno_en_USD,True,ELEGIBLE
Profuturo,ret_BVL_PEN_SOUTHERN_COPPER,0,1729,97.19101123595506,0.3457531319962869,0.4003894596146271,0.061090417428192545,0.3457531319962869,Southern Copper,SCCO,ACCION_BVL_ADR,MINERIA_COBRE,PEN,retorno_USD_convertido_a_PEN,True,ELEGIBLE
Profuturo,ret_BVL_PEN_CREDICORP,0,1729,97.19101123595506,0.3322594526370766,0.42089244009750326,0.10822805180568018,0.3322594526370766,Credicorp,BAP,ACCION_BVL_ADR,FINANCIERO,PEN,retorno_USD_convertido_a_PEN,True,ELEGIBLE
Profuturo,ret_BVL_PEN_MINSUR,0,1379,77.52808988764045,0.309736641135964,0.31360567505908243,0.027800965685368162,0.309736641135964,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Profuturo,ret_BVL_PEN_VOLCAN,0,1655,93.03370786516854,0.28760656505276894,0.33980640637799764,0.024489045488590655,0.28760656505276894,Volcan,VOLCABC1.LM,ACCION_BVL,MINERIA,PEN,retorno_local_en_PEN,True,ELEGIBLE
Profuturo,ret_BVL_PEN_ALICORP,0,1621,91.12359550561798,0.2760788352641237,0.361631501928232,0.0742246188535689,0.2760788352641237,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN,retorno_local_en_PEN,True,ELEGIBLE
Profuturo,ret_BVL_PEN_INRETAIL_PERU,0,1540,86.51685393258427,0.26448907861898846,0.3135014683164003,0.06365420761317253,0.26448907861898846,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN,retorno_local_en_PEN,True,ELEGIBLE
