afp,tipo_modelo,n_factores,familia,alpha,half_life,n_diario,mae_diario,rmse_diario,r2_diario,direccion_diaria_pct,n_publicacion,mape_cuota_pct,mediana_error_abs_pct,p90_error_abs_pct,error_maximo_abs_pct,sesgo_cuota_pct,direccion_acumulada_pct
Habitat,CANASTA_EVIDENCIA,14,EW_RIDGE,0.001,60.0,608,0.00355621645491149,0.005282647212357334,0.5171449006022396,76.48026315789474,608,0.6827702583949593,0.4604510847243559,1.5886125535123554,5.768057365377722,0.015009574817633205,83.05921052631578
Habitat,CANASTA_PODADA,9,EW_RIDGE,0.001,60.0,608,0.0035941992045995883,0.005315802549222782,0.5110648191726463,76.64473684210526,608,0.6904154675361313,0.46491105978738734,1.590247674226009,5.759153143451123,0.01772033495853735,82.56578947368422
Integra,CANASTA_EVIDENCIA,4,EW_RIDGE,0.001,500.0,608,0.0039951557176133865,0.006153090987817672,0.44294451315780314,76.97368421052632,608,0.7879989693997924,0.4815632132305847,1.943047028078592,6.7665405435304855,-0.05258403574917057,79.60526315789474
Integra,CANASTA_PODADA,4,EW_RIDGE,0.001,500.0,608,0.0039951557176133865,0.006153090987817672,0.44294451315780314,76.97368421052632,608,0.7879989693997924,0.4815632132305847,1.943047028078592,6.7665405435304855,-0.05258403574917057,79.60526315789474
Prima,CANASTA_EVIDENCIA,3,EW_RIDGE,0.001,500.0,608,0.004179997739951429,0.006755609828880722,0.40691708456694353,79.76973684210526,608,0.8599560053530375,0.5134916604757511,2.094319616944878,7.768014831450564,-0.018875468838562066,81.25
Prima,CANASTA_PODADA,3,EW_RIDGE,0.001,500.0,608,0.004179997739951429,0.006755609828880722,0.40691708456694353,79.76973684210526,608,0.8599560053530375,0.5134916604757511,2.094319616944878,7.768014831450564,-0.018875468838562066,81.25
Profuturo,CANASTA_EVIDENCIA,6,EW_RIDGE,0.001,500.0,608,0.004235485476635291,0.006675666070602068,0.40527713681599387,77.79605263157895,608,0.8147333603625313,0.5109325948724597,2.025039950943634,8.097583920436035,-0.029585856673889986,81.9078947368421
Profuturo,CANASTA_PODADA,5,EW_RIDGE,0.001,500.0,608,0.004240633030411923,0.00669756791147362,0.40136834546719924,77.30263157894737,608,0.8178415496312421,0.5168984403797705,2.040335420583655,8.097629442709897,-0.028030663196730733,82.56578947368422
