afp,metodo,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,parte_explicada_pct_sobre_movimiento,alpha_ridge
Habitat,A_USD_mas_FX,2026-06-30,1.09564144007625,0.4196478171741416,0.6759936229021084,38.301564893797426,1000.0
Habitat,B_PEN_sin_FX,2026-06-30,1.09564144007625,0.5170065227305853,0.5786349173456647,47.18756555014976,1000.0
Habitat,C_Bloques_ortogonales,2026-06-30,1.09564144007625,0.354670226900539,0.7409712131757111,32.371012443254806,1000.0
Integra,A_USD_mas_FX,2026-06-30,1.3681151070292699,0.4345275708080055,0.9335875362212644,31.761038861089713,1000.0
Integra,B_PEN_sin_FX,2026-06-30,1.3681151070292699,0.6377973030192168,0.7303178040100532,46.61868725389139,100.0
Integra,C_Bloques_ortogonales,2026-06-30,1.3681151070292699,0.45711222071083263,0.9110028863184374,33.411824660236945,100.0
Prima,A_USD_mas_FX,2026-06-30,1.47770174438699,0.43307560361138164,1.0446261407756083,29.307375812230553,1000.0
Prima,B_PEN_sin_FX,2026-06-30,1.47770174438699,0.6369152913523306,0.8407864530346594,43.101748629020435,100.0
Prima,C_Bloques_ortogonales,2026-06-30,1.47770174438699,0.44640462426858196,1.031297120118408,30.2093860255791,100.0
Profuturo,A_USD_mas_FX,2026-06-30,0.89959633010854,0.45975180169267466,0.4398445284158654,51.106455896413415,1000.0
Profuturo,B_PEN_sin_FX,2026-06-30,0.89959633010854,0.5540419148321781,0.3455544152763619,61.587836264886796,1000.0
Profuturo,C_Bloques_ortogonales,2026-06-30,0.89959633010854,0.4013762602951705,0.4982200698133696,44.61737413343413,1000.0
