afp,comparacion,bootstrap_n,mejora_mse_pct,ic95_inferior_pct,ic95_superior_pct,prob_mejora,hac_n,hac_media,hac_estadistico,hac_p_unilateral,hac_metodo
Habitat,blend_vs_base,1798,2.1391670306406168,0.18473196652987298,4.012228978552814,0.984,1798,4.2459866690383986e-07,1.9859019549566754,0.02352210581306946,newey_west_bartlett
Habitat,blend_vs_hibrido,1798,-0.38875426105726724,-1.5697680001925498,0.7612469973404316,0.272,1798,-7.521993175575274e-08,-0.6194906347402848,0.7322034051854056,newey_west_bartlett
Integra,blend_vs_base,1349,6.715153672527029,2.584034969770295,10.38011567450526,1.0,1349,1.335854811503307e-06,2.6129733488878957,0.004487915064267933,newey_west_bartlett
Integra,blend_vs_hibrido,1349,-0.17873351147485322,-0.5506170857614524,0.10121835152560549,0.132,1349,-3.310890781609735e-08,-1.0701489335907435,0.8577238619575982,newey_west_bartlett
Prima,blend_vs_base,1703,3.9954256145595233,0.8285300895299936,6.534291675669851,1.0,1703,8.465033902018819e-07,2.1484801201505737,0.01583781700033171,newey_west_bartlett
Prima,blend_vs_hibrido,1703,-0.5379044338608394,-1.5785428381427586,0.4839859138545957,0.154,1703,-1.0882605203276371e-07,-1.0082492563365932,0.8433325916125336,newey_west_bartlett
Profuturo,blend_vs_base,1512,3.3222595974860303,0.4879848239393744,5.545098543459937,0.996,1512,6.431339174826242e-07,2.0915343544387137,0.018240095078950747,newey_west_bartlett
Profuturo,blend_vs_hibrido,1512,-0.757986181930003,-1.5673535997424584,0.10855381224480853,0.056,1512,-1.4079140738518148e-07,-1.5113966331565538,0.9346562866739695,newey_west_bartlett
