afp,modelo,fecha_ultima_oficial,valor_ultima_oficial,fecha_estimada,dias_estimados_acumulados,retorno_estimado_dia,retorno_estimado_dia_pct,retorno_estimado_acumulado_pct,valor_cuota_estimado,valor_estimado_bajo_80,valor_estimado_alto_80,valor_estimado_bajo_95,valor_estimado_alto_95,sigma_residual_oos
Habitat,ElasticNet,2026-06-30,33.5370629,2026-07-01,1,-0.0034863827199113355,-0.34863827199113356,-0.34863827199113073,33.420139863428865,33.13350644257674,33.70677328428099,32.98178038709446,33.85849933976326,0.006668824718343594
Habitat,ElasticNet,2026-06-30,33.5370629,2026-07-02,2,0.00042329829298085834,0.04232982929808583,-0.30645602067844724,33.434286551584236,33.02892568038576,33.83964742278271,32.81435263495736,34.05422046821111,0.006668824718343594
Habitat,ElasticNet,2026-06-30,33.5370629,2026-07-03,3,0.0012646725119258553,0.12646725119258553,-0.18037633599132796,33.47656997474188,32.98010632667872,33.973033622805026,32.7173090897514,34.235830859732346,0.006668824718343594
Integra,Huber_robusto,2026-06-30,72.3284597,2026-07-01,1,-0.004980907884380161,-0.4980907884380161,-0.49809078843802146,71.96819830481519,71.31047706848138,72.62591954114902,70.96232000954811,72.97407660008226,0.007095453352658043
Integra,Huber_robusto,2026-06-30,72.3284597,2026-07-02,2,0.00025231073066172573,0.025231073066172574,-0.47298538902260656,71.9863566535139,71.0561983608298,72.91651494619798,70.56382992625046,73.40888338077733,0.007095453352658043
Integra,Huber_robusto,2026-06-30,72.3284597,2026-07-03,3,0.0010619242976673375,0.10619242976673375,-0.3672952339329294,72.0628007147448,70.9235941161976,73.20200731329199,70.32056840111146,73.80503302837813,0.007095453352658043
Prima,Huber_robusto,2026-06-30,65.7918163,2026-07-01,1,-0.003920801454607708,-0.3920801454607708,-0.3920801454607714,65.53385965094967,64.90075651404472,66.16696278785462,64.5656307586793,66.50208854322004,0.007508446499462355
Prima,Huber_robusto,2026-06-30,65.7918163,2026-07-02,2,0.00047597402494846717,0.047597402494846716,-0.3446693629308606,65.56505206589814,64.66970902330621,66.46039510849008,64.1957696349679,66.93433449682838,0.007508446499462355
Prima,Huber_robusto,2026-06-30,65.7918163,2026-07-03,3,0.0010210337217337953,0.10210337217337953,-0.24291790979987793,65.63199619502466,64.53542939547404,66.72856299457527,63.95497456025625,67.30901782979308,0.007508446499462355
Profuturo,Huber_robusto,2026-06-30,71.9348302,2026-07-01,1,-0.00537225886153548,-0.5372258861535479,-0.5372258861535473,71.548377671005,70.84217591683593,72.25457942517406,70.46835626169526,72.62839908031474,0.007660146409582784
Profuturo,Huber_robusto,2026-06-30,71.9348302,2026-07-02,2,0.0005629886413339921,0.05629886413339921,-0.481229474091871,71.58865859493966,70.58993849642209,72.58737869345721,70.06127767024053,73.11603951963879,0.007660146409582784
Profuturo,Huber_robusto,2026-06-30,71.9348302,2026-07-03,3,0.0011345590168488399,0.11345590168488398,-0.3683195556460017,71.66988015305266,70.44670283443757,72.89305747166773,69.79922819886605,73.54053210723926,0.007660146409582784
