identificador,motivo_revision,accion_sugerida,ticker_provisional,nombre_provisional,peso_max_total_fondo_pct,meses_presentes,peso_universo_pct,meses_universo,gestora_reportada,lista_afp,peso_prioridad_pct,meses_prioridad
PRIVFAEIPCXI,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.3071188424659794,69,1.3071188424659794,69,"Insight A XI | Insight Associates XI, L.P.",Habitat,1.3071188424659794,69
PRIVFAEWPGGF,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.1982104444441244,56,1.1982104444441244,56,"Warburg Pincus | Warburg Pincus Global Growth GP, L.P.",Habitat,1.1982104444441244,56
PRIVFAEPGSF6,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.1859526497505768,82,1.1859526497505768,82,"PGSF VI | PGSF VI Feeder GP, LLC",Habitat,1.1859526497505768,82
PRIVFAEGIP4F,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.1826515112626743,57,1.1826515112626743,57,"Global Inf IV, | Global Infrastructure GP IV, L.P.",Integra,1.1826515112626743,57
IE00B41Q3618,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.1577142240852183,3,1.1577142240852183,3,Invesco Global,Prima,1.1577142240852183,3
LU0194163308,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.142643272494271,8,1.142643272494271,8,Deutsche Asset,Habitat,1.142643272494271,8
PRIVFAENBDF3,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.105035823209389,82,1.105035823209389,82,"NB Private Debt | NB Private Debt Associates III, LP",Habitat,1.105035823209389,82
PRIVFAEGS5SC,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.1045637296963728,53,1.1045637296963728,53,G Squared EGP V | G Squared Equity GP V S.à.r.l,Habitat,1.1045637296963728,53
LU008099898X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.0749278214648434,1,1.0749278214648434,1,PICTET,Prima,1.0749278214648434,1
LU008099898X,correccion_checksum_propuesta,revisar contra LU0080998981 (alta),PICJAPI,PICTET-JAPAN EQ SELECT-I YEN,1.0749278214648434,1,1.0749278214648434,1,PICTET,Prima,1.0749278214648434,1
US5771308260,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.0289666084482956,17,1.0289666084482956,17,Matthews Intern,Prima,1.0289666084482956,17
IE00B95PGT3Z,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,1.0249508165150287,3,1.0249508165150287,3,Vanguard Grp Ir,Prima,1.0249508165150287,3
IE00B95PGT3Z,correccion_checksum_propuesta,revisar contra IE00B95PGT31 (alta),VDJP,VANG FTSE JPN USDD,1.0249508165150287,3,1.0249508165150287,3,Vanguard Grp Ir,Prima,1.0249508165150287,3
IE000NG9LZQ6,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.9294269888506728,29,0.9294269888506728,29,Carne Global Fund Managers (Ireland) Limited | Carne Global Fund Managers (Ireland) Limited Carne | Carne Global Fund Managers (Luxembourg) S.A. | Carne Global IR | Moneda Latam HY,Integra,0.9294269888506728,29
CVL79033FI12,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.8822829773865979,41,0.8822829773865979,41,LARRAIN VIAL,Profuturo,0.8822829773865979,41
US78468R556X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.8668810599535042,11,0.8668810599535042,11,SSGA Funds Mana,Habitat,0.8668810599535042,11
US78468R556X,correccion_checksum_propuesta,revisar contra US78468R5569 (alta),XOP,SS SPDR S&P OG EXP & PROD,0.8668810599535042,11,0.8668810599535042,11,SSGA Funds Mana,Habitat,0.8668810599535042,11
PRIVFAECCM7F,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.8570422668757882,51,0.8570422668757882,51,Cinven CM VII | Cinven Capital Management (VII) Limited Partn | Cinven Capital Management (VII) Limited Partnership,Habitat,0.8570422668757882,51
SCHLUMBERGER,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.8453546146888985,1,0.8453546146888985,1,SCC,Profuturo,0.8453546146888985,1
SCHLUMBERGER,correccion_checksum_propuesta,revisar contra SCHLUMBERGE5 (baja),,,0.8453546146888985,1,0.8453546146888985,1,SCC,Profuturo,0.8453546146888985,1
GB00BZ0FTN58,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.8073547378841673,9,0.8073547378841673,9,M&G,Habitat | Prima,0.8073547378841673,9
PRIVFAEHLGII,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.8033922932986656,69,0.8033922932986656,69,Hamilton Lane Global SMID II GP LLC | Hamilton LaneII,Habitat,0.8033922932986656,69
LU079478709X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.7718614682029793,2,0.7718614682029793,2,Ashmore,Habitat,0.7718614682029793,2
