escenario,afp,grupo_cobertura,anterior_peso_exterior_mediano_pct,anterior_peso_total_fondo_mediano_pct,nuevo_peso_exterior_mediano_pct,nuevo_peso_total_fondo_mediano_pct,cambio_exterior_pp,cambio_total_fondo_pp
ampliado_15pct,Habitat,mapeo_alta_confianza,30.99275520801642,15.61769273506998,33.25599563177738,17.379098661312455,2.263240423760962,1.7614059262424746
ampliado_15pct,Habitat,mapeo_baja_confianza,1.4411701558786052,0.811099564446945,1.5806993972966799,0.81104922282297,0.13952924141807466,-5.034162397499209e-05
ampliado_15pct,Habitat,mapeo_confianza_media,25.55462581009117,14.482622017547907,35.29265664118635,18.22490915251586,9.738030831095177,3.7422871349679525
ampliado_15pct,Habitat,privados_alternativos,23.449935034737667,12.776948333017954,23.449935034737667,12.776948333017954,0.0,0.0
ampliado_15pct,Habitat,residual_no_mapeado,28.505531065377355,15.385807540779696,18.15240226026306,10.63149739239889,-10.353128805114295,-4.754310148380807
ampliado_15pct,Integra,mapeo_alta_confianza,36.76354961038014,21.761776037948334,40.19766845385634,23.997388010123032,3.434118843476199,2.2356119721746985
ampliado_15pct,Integra,mapeo_baja_confianza,0.91732138728321,0.56174540196415,1.2458477137984827,0.66879602174517,0.3285263265152727,0.10705061978102004
ampliado_15pct,Integra,mapeo_confianza_media,21.8304381944134,12.03172844238362,23.386178705816214,13.443152651977156,1.5557405114028136,1.4114242095935357
ampliado_15pct,Integra,privados_alternativos,15.394880643818531,8.59250205422283,15.394880643818531,8.59250205422283,0.0,0.0
ampliado_15pct,Integra,residual_no_mapeado,24.90819993870098,14.808627342973086,19.709665704414792,11.736893574460058,-5.198534234286189,-3.0717337685130275
ampliado_15pct,Prima,mapeo_alta_confianza,24.953107861627203,13.530635792284512,29.639749616889244,15.906557948866556,4.686641755262041,2.3759221565820443
ampliado_15pct,Prima,mapeo_baja_confianza,2.845756195215245,1.7137598903048847,1.25364265657362,0.76354523202562,-1.592113538641625,-0.9502146582792648
ampliado_15pct,Prima,mapeo_confianza_media,19.79766192209845,10.332393275016209,28.042133183832586,15.707402811561465,8.244471261734137,5.375009536545257
ampliado_15pct,Prima,privados_alternativos,14.360979340177185,8.144412351746267,14.360979340177183,8.144412351746267,-1.7763568394002505e-15,0.0
ampliado_15pct,Prima,residual_no_mapeado,34.27790828461437,19.96529503151113,16.1094882713451,8.886217290319465,-18.16842001326927,-11.079077741191664
ampliado_15pct,Profuturo,mapeo_alta_confianza,39.05091381940461,24.193372513688555,44.15265768055369,26.14756662848814,5.101743861149075,1.9541941147995843
ampliado_15pct,Profuturo,mapeo_baja_confianza,1.545317802923445,0.8555183022118751,1.221738547613585,0.7925829034747749,-0.32357925530986,-0.06293539873710019
ampliado_15pct,Profuturo,mapeo_confianza_media,20.920082977195133,12.533315084143176,23.382793604680565,14.252583986501339,2.462710627485432,1.7192689023581629
ampliado_15pct,Profuturo,privados_alternativos,17.308785922054344,11.13893650900257,17.308785922054344,11.13893650900257,0.0,0.0
ampliado_15pct,Profuturo,residual_no_mapeado,16.599085639099588,9.463089413680336,13.258741566825611,8.308785000361315,-3.340344072273977,-1.1543044133190214
principal_5pct,Habitat,mapeo_alta_confianza,31.00719318845811,16.804434724827118,34.08803760501971,17.641081800954083,3.0808444165615967,0.8366470761269653
principal_5pct,Habitat,mapeo_baja_confianza,1.80960671497751,0.91137410195472,1.7544091117123148,0.899871152774505,-0.05519760326519507,-0.011502949180214994
principal_5pct,Habitat,mapeo_confianza_media,25.680382356460708,14.559023504538738,35.63715038856767,18.388443154872835,9.956768032106961,3.8294196503340974
principal_5pct,Habitat,privados_alternativos,21.61139914104996,11.749956029607796,21.61139914104996,11.749956029607795,0.0,-1.7763568394002505e-15
principal_5pct,Habitat,residual_no_mapeado,29.4362851313514,17.038651717574023,18.243307038429084,10.77114537356019,-11.192978092922317,-6.267506344013833
principal_5pct,Integra,mapeo_alta_confianza,38.37388182823628,22.79455928247461,42.27459121215803,25.384538767704655,3.9007093839217504,2.589979485230046
principal_5pct,Integra,mapeo_baja_confianza,1.668691434112999,1.0311732032156942,1.668691434112999,1.0311732032156942,0.0,0.0
principal_5pct,Integra,mapeo_confianza_media,24.15848924856396,14.660521807108424,25.146283324232876,14.904429830758362,0.9877940756689156,0.24390802364993824
principal_5pct,Integra,privados_alternativos,7.335883134468831,4.4178922547379,7.335883134468831,4.4178922547379,0.0,0.0
principal_5pct,Integra,residual_no_mapeado,25.237680655460444,15.1372388001216,21.458881501677574,13.116652829655411,-3.7787991537828702,-2.020585970466188
principal_5pct,Prima,mapeo_alta_confianza,24.39587625090508,14.647444174644267,28.712790994977,17.511245342302338,4.316914744071919,2.863801167658071
principal_5pct,Prima,mapeo_baja_confianza,2.979905128428495,1.799104162506765,1.2526060919619502,0.76452999214543,-1.7272990364665448,-1.034574170361335
principal_5pct,Prima,mapeo_confianza_media,22.592276687615325,13.908179113996733,35.47692036519713,20.047516102471207,12.884643677581806,6.139336988474474
principal_5pct,Prima,privados_alternativos,12.417738742391226,7.034064937260714,12.417738742391226,7.034064937260714,0.0,0.0
principal_5pct,Prima,residual_no_mapeado,37.5368935073676,22.28213594478219,18.477195257908477,10.625487314228819,-19.059698249459124,-11.656648630553372
principal_5pct,Profuturo,mapeo_alta_confianza,50.16796974987741,31.45387795502417,51.517688283686525,32.72273155448107,1.349718533809117,1.2688535994569037
principal_5pct,Profuturo,mapeo_baja_confianza,1.19225553193752,0.75911970836791,1.21606374394903,0.7925829034747749,0.023808212011509955,0.03346319510686491
principal_5pct,Profuturo,mapeo_confianza_media,23.46923855439824,14.396736619759606,25.44181470405459,16.05478799524835,1.9725761496563514,1.6580513754887445
principal_5pct,Profuturo,privados_alternativos,5.84252394178267,3.59831737712122,5.84252394178267,3.59831737712122,0.0,0.0
principal_5pct,Profuturo,residual_no_mapeado,13.67964111756157,8.5617125530754,13.036199578682847,8.253918230569585,-0.6434415388787222,-0.3077943225058153
