periodo,afp,monto_ca_miles_soles,registros,suma_pct_reportada,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_ca_sobre_fondo,diferencia_pct_interno_pp
2015-01,Habitat,127329.36288098981,46,127.01616490487494,100246.5811940938,63324.8449145881,63.169081838293145,total_exterior,original,2.0107331183002555,101.07331183002555,127.01616490487521,2.7000623958883807e-13
2015-01,Habitat,127329.36288098981,46,127.01616490487494,100246.5811940938,62645.1718627745,62.49108061000423,rv_y_fondos_exterior,original,2.0325487039912242,103.25487039912242,127.01616490487521,2.7000623958883807e-13
2015-01,Habitat,127329.36288098981,46,127.01616490487494,100246.5811940938,62645.1718627745,62.49108061000423,fondos_exterior_amplio,original,2.0325487039912242,103.25487039912242,127.01616490487521,2.7000623958883807e-13
2015-01,Habitat,127329.36288098981,46,127.01616490487494,100246.5811940938,62645.1718627745,62.49108061000423,administradoras_fondos_exterior,original,2.0325487039912242,103.25487039912242,127.01616490487521,2.7000623958883807e-13
2015-01,Habitat,127329.36288098981,46,127.01616490487494,100246.5811940938,62645.1718627745,62.49108061000423,fondos_mutuos_mas_etf,original,2.0325487039912242,103.25487039912242,127.01616490487521,2.7000623958883807e-13
2015-01,Habitat,127329.36288098981,46,127.01616490487494,100246.5811940938,62645.1718627745,62.49108061000423,fondos_mutuos_exterior,original,2.0325487039912242,103.25487039912242,127.01616490487521,2.7000623958883807e-13
2015-01,Integra,10017172.414142208,99,119.24397349250793,8400569.1195552,5017774.973323989,59.731369409762976,total_exterior,original,1.9963375136183927,99.63375136183927,119.24397349250793,0.0
2015-01,Integra,10017172.414142208,99,119.24397349250793,8400569.1195552,4750377.916589933,56.54828677656855,rv_y_fondos_exterior,original,2.108710631033973,110.87106310339729,119.24397349250793,0.0
2015-01,Integra,10017172.414142208,99,119.24397349250793,8400569.1195552,4718355.775568127,56.16709663854249,fondos_exterior_amplio,original,2.123021851385521,112.30218513855208,119.24397349250793,0.0
2015-01,Integra,10017172.414142208,99,119.24397349250793,8400569.1195552,4718355.775568127,56.16709663854249,administradoras_fondos_exterior,original,2.123021851385521,112.30218513855208,119.24397349250793,0.0
