afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos
Habitat,ret_ACWI,0,0.35639263518532693,0.3390396630143372,2672,0.35639263518532693,0.3390396630143372,-0.017352972170989744
Habitat,ret_ACWI,1,0.16380632935839923,0.1799809998923563,2565,0.16380632935839923,0.1799809998923563,0.016174670533957075
Habitat,ret_ACWI,2,0.037524018496622784,0.02416723014538477,2563,0.037524018496622784,0.02416723014538477,-0.013356788351238012
Habitat,ret_ACWI,3,0.02225886786687549,0.018405586258500747,2559,0.02225886786687549,0.018405586258500747,-0.003853281608374743
Habitat,ret_SPY,0,0.33849373396101295,0.32233036866493797,2672,0.33849373396101295,0.32233036866493797,-0.016163365296074983
Habitat,ret_SPY,1,0.15912312065745196,0.1791784840346971,2565,0.15912312065745196,0.1791784840346971,0.020055363377245145
Habitat,ret_SPY,2,0.03304907070585732,0.022153862341229926,2563,0.03304907070585732,0.022153862341229926,-0.01089520836462739
Habitat,ret_SPY,3,0.017732773481004105,0.016217324249626335,2559,0.017732773481004105,0.016217324249626335,-0.0015154492313777697
Habitat,ret_QQQ,0,0.35450249031904985,0.34243093220777987,2672,0.35450249031904985,0.34243093220777987,-0.012071558111269975
Habitat,ret_QQQ,1,0.17337754116174992,0.19423698221650262,2565,0.17337754116174992,0.19423698221650262,0.02085944105475271
Habitat,ret_QQQ,2,0.03131085765522857,0.024160371117850646,2563,0.03131085765522857,0.024160371117850646,-0.0071504865373779244
Habitat,ret_QQQ,3,0.009731540800449356,0.009803971683011057,2559,0.009731540800449356,0.009803971683011057,7.243088256170087e-05
Habitat,ret_EEM,0,0.38334915340560044,0.36649446132249575,2672,0.38334915340560044,0.36649446132249575,-0.016854692083104694
Habitat,ret_EEM,1,0.16342017123165378,0.17484501280288336,2565,0.16342017123165378,0.17484501280288336,0.011424841571229583
Habitat,ret_EEM,2,0.03555672653116795,0.025896932723654877,2563,0.03555672653116795,0.025896932723654877,-0.00965979380751307
Habitat,ret_EEM,3,0.02517240981029711,0.01724306044343829,2559,0.02517240981029711,0.01724306044343829,-0.00792934936685882
Habitat,ret_ILF,0,0.3484266922594335,0.3296414361454643,2672,0.3484266922594335,0.3296414361454643,-0.018785256113969195
Habitat,ret_ILF,1,0.1607674887642531,0.17896858116567602,2565,0.1607674887642531,0.17896858116567602,0.018201092401422925
Habitat,ret_ILF,2,0.025874183318839457,0.016540143580701588,2563,0.025874183318839457,0.016540143580701588,-0.009334039738137869
Habitat,ret_ILF,3,0.02939287172515911,0.019359786707578056,2559,0.02939287172515911,0.019359786707578056,-0.010033085017581055
Habitat,ret_EPU,0,0.440392431741765,0.4148598782457207,2672,0.440392431741765,0.4148598782457207,-0.02553255349604433
Habitat,ret_EPU,1,0.14895272532405626,0.15058463021497184,2565,0.14895272532405626,0.15058463021497184,0.0016319048909155809
Habitat,ret_EPU,2,0.05419453554882127,0.04322095284247462,2563,0.05419453554882127,0.04322095284247462,-0.01097358270634665
Habitat,ret_EPU,3,0.015846139492939285,0.021211631894839964,2559,0.015846139492939285,0.021211631894839964,0.005365492401900679
Habitat,ret_VGK,0,0.34578787126803495,0.3234850399535462,2672,0.34578787126803495,0.3234850399535462,-0.022302831314488736
Habitat,ret_VGK,1,0.15306816755027677,0.15885264565148782,2565,0.15306816755027677,0.15885264565148782,0.005784478101211049
Habitat,ret_VGK,2,0.048837913331409376,0.032606637785586735,2563,0.048837913331409376,0.032606637785586735,-0.01623127554582264
