isin_normalizado,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,lista_afp,moneda_reportada,gestora_reportada,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,valor_max_reconciliado_miles_soles,aparece_modelo_principal,aparece_analisis_ampliado,formato_isin_valido,checksum_isin_valido,prefijo_isin,prioridad,clasificacion_identificador,identificador_original,identificador_canonico,fue_corregido_checksum,isin_corregido_propuesto,confianza_correccion,correccion_aprobada,razon_decision,ticker_corregido,nombre_corregido,figi_corregido,canonical_security_id,ticker,name,securityType,securityType2,marketSector,exchCode,figi,compositeFIGI,shareClassFIGI,clase_ambiguedad,razon_ambiguedad,mapeo_aceptable_automatico,estado_identidad_final,usar_en_enriquecimiento_automatico
PRIVFAESPOS8,2019-10-31,2026-01-30,76,1,Habitat,USD,Strategic PFS | Strategic Partners Fund Solutions GP (Offshor | Strategic Partners Fund Solutions GP (Offshore) Ltd.,0.4766804553481212,0.2276131349564988,1.2505224487693083,11132.427296522335,True,True,True,False,PR,1100552.6804553482,formato_isin_checksum_invalido,PRIVFAESPOS8,PRIVFAESPOS8,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
PRIVFAEOSF6F,2019-08-30,2026-01-30,78,1,Habitat,USD,"Oaktree SSF II | Oaktree Special Situations Fund II GP, L.P.",0.4603177329320205,0.3351841431901853,1.1180758642970607,14532.01250598959,True,True,False,False,PR,1100538.317732932,identificador_no_estandar,PRIVFAEOSF6F,PRIVFAEOSF6F,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
CVL79033FI1X,2015-01-30,2017-09-29,33,1,Profuturo,USD,LARRAIN VIAL,0.4974207730594246,0.4280327981743406,0.7743925743182323,30295.717650474413,True,True,False,False,CV,1100530.4207730594,identificador_no_estandar,CVL79033FI1X,CVL79033FI12,True,CVL79033FI12,media,True,codigo_existente_y_metadata_compatible,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAEIEF5S,2022-02-28,2026-01-30,48,1,Habitat,EUR,InfraVia Europ | InfraVia European Fund V SCSp,0.4179155027574943,0.2544538085624428,0.9164784398539138,17090.04820127696,True,True,False,False,PR,1100465.9155027575,identificador_no_estandar,PRIVFAEIEF5S,PRIVFAEIEF5S,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
LU0242142494,2015-09-30,2016-04-29,8,1,Prima,USD,NNIPL,0.454530913700388,0.4444453927099449,0.6962247135741465,33968.51124746921,True,True,True,True,LU,1100462.5309137003,isin_estandar_valido,LU0242142494,LU0242142494,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
US4642868552,2015-04-30,2015-12-31,9,1,Habitat,USD,BlackRock USA,0.4389844800139534,0.2614204299972952,0.6557620987107738,526.6913528958268,True,True,True,True,US,1100447.9844800138,isin_estandar_valido,US4642868552,US4642868552,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEPLEP6,2023-11-30,2026-01-30,27,1,Habitat,USD,"Platinum EPVILP | Platinum Equity Partners VI, LP",0.4082284710184449,0.305280814684401,0.7674668687020989,15566.13781635056,True,True,True,True,PR,1100435.2284710184,isin_estandar_valido,PRIVFAEPLEP6,PRIVFAEPLEP6,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAENHIP3,2020-06-30,2026-01-30,68,1,Habitat,USD,MORGAN STANLEY | Morgan Stanley | Morgan Stanley Infrastructure III Investors G | Morgan Stanley Infrastructure III Investors GP,0.3474306957380337,0.2705969270944613,0.8202901538213945,12981.710619672796,True,True,True,False,PR,1100415.430695738,formato_isin_checksum_invalido,PRIVFAENHIP3,PRIVFAENHIP3,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
LU0325327566,2019-07-31,2019-10-31,4,1,Habitat,USD,Pic Asset Ma Eu,0.3893358249810817,0.3854472342691705,0.793299793711107,5029.091380369495,True,True,True,True,LU,1100393.335824981,isin_estandar_valido,LU0325327566,LU0325327566,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEAIP5B,2023-05-31,2026-01-30,33,1,Habitat,EUR,"Antin Infrastru | Antin Infrastructure Partners V Luxembourg GP | Antin Infrastructure Partners V Luxembourg GP, S.A R.L.",0.3353882085445457,0.1748685437668975,0.6268152048209075,12775.353869550818,True,True,False,False,PR,1100368.3882085446,identificador_no_estandar,PRIVFAEAIP5B,PRIVFAEAIP5B,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAEKVCXC,2023-01-31,2026-01-30,37,1,Habitat,USD,"Knightsbridge M | Knightsbridge Management X, LLC",0.2961076621255616,0.1829382841771634,0.5144974698573683,13486.060550520551,True,True,False,False,PR,1100333.1076621255,identificador_no_estandar,PRIVFAEKVCXC,PRIVFAEKVCXC,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAEEQTI6,2025-03-31,2026-01-30,11,1,Habitat,EUR,EQT Infrastructure IV (GP) SCS,0.3157129765138359,0.2641530044600919,0.5396746551996924,14014.519616540048,True,True,True,False,PR,1100326.712976514,formato_isin_checksum_invalido,PRIVFAEEQTI6,PRIVFAEEQTI6,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
LU0325328531,2016-07-29,2017-04-28,10,1,Prima,EUR,Pic Asset Ma Eu,0.2978434940612912,0.2832324100100812,0.5021218432518454,21955.601522711306,True,True,True,True,LU,1100307.8434940614,isin_estandar_valido,LU0325328531,LU0325328531,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEP8SCS,2023-12-29,2026-01-30,26,1,Habitat,EUR,PAI Partn. VIII | PAI Partners VIII GP S.à r.l.,0.2391064918259413,0.2096270850121904,0.4577990809013294,10427.598795670314,True,True,False,False,PR,1100265.106491826,identificador_no_estandar,PRIVFAEP8SCS,PRIVFAEP8SCS,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAECEVVI,2024-05-31,2026-01-30,21,1,Habitat,USD,"Cortland Enhanced Value Fund V GP, LLC | Cortland Enhanced Value Fund VI GP, LLC",0.236893005946221,0.1896797283879933,0.4242086509504539,9757.457503672766,True,True,False,False,PR,1100257.8930059462,identificador_no_estandar,PRIVFAECEVVI,PRIVFAECEVVI,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
LU1232062742,2017-06-30,2023-09-29,76,1,Habitat,GBP | USD,AZ Fund Managem,0.1549174977407355,4.255673757979034e-07,0.2444568667037781,855.6940894978763,True,True,True,True,LU,1100230.9174977408,isin_estandar_valido,LU1232062742,LU1232062742,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
LU0260871479,2015-01-30,2015-02-27,2,1,Prima,USD,FRANKLIN TEMP,0.2276409313560265,0.2273317189686759,0.4012714192130229,18761.573459816816,True,True,True,True,LU,1100229.640931356,isin_estandar_valido,LU0260871479,LU0260871479,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
LU1156968403,2018-02-28,2019-11-29,22,1,Habitat,USD,ALLIANZ,0.1971780294758453,0.0165959059356907,0.3234896922887094,1770.3080052758569,True,True,True,True,LU,1100219.1780294755,isin_estandar_valido,LU1156968403,LU1156968403,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PAI69PA00017,2015-01-30,2015-07-31,7,1,Profuturo,COP,Avianca,0.2119042398745023,0.1879978393449807,0.3424136541267087,12101.786144826685,True,True,True,True,PA,1100218.9042398746,isin_estandar_valido,PAI69PA00017,PAI69PA00017,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEV5FSC,2023-11-30,2026-01-30,27,1,Habitat,EUR,Vitruvian Luxca | Vitruvian Luxcar General Partner S.à.r.l,0.1896507467173747,0.0378441678758282,0.3295248378317013,8727.662244799614,True,True,False,False,PR,1100216.6507467174,identificador_no_estandar,PRIVFAEV5FSC,PRIVFAEV5FSC,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
US29274F1049,2016-08-31,2020-02-28,43,1,Integra,USD,ENERSIS,0.1496236832450598,0.1167936863736363,0.2516133219778557,12341.106745508376,True,True,True,True,US,1100192.6236832452,isin_estandar_valido,US29274F1049,US29274F1049,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEBCDSS,2020-06-30,2026-01-30,68,1,Habitat,USD,"Bain Capital DS | Bain Capital Distressed and Special Situation | Bain Capital Distressed and Special Situations 2019 Investors, LLC",0.1027875087923286,0.0707483904245761,0.254761618934759,2680.94362145524,True,True,False,False,PR,1100170.7875087922,identificador_no_estandar,PRIVFAEBCDSS,PRIVFAEBCDSS,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
CA5171036026,2021-03-31,2021-10-29,8,2,Integra | Prima,CAD,Largo Resources,0.1537945721049733,0.1086267318309359,0.2885445611932878,7282.458096148535,True,True,True,True,CA,1100161.794572105,isin_estandar_valido,CA5171036026,CA5171036026,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
LU1273585916,2017-11-30,2019-01-31,15,1,Habitat,EUR | USD,PIONEER,0.1341223418107085,0.0908425381437185,0.2208835675848852,1041.5946665358408,True,True,True,True,LU,1100149.1223418107,isin_estandar_valido,LU1273585916,LU1273585916,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
BRCIELACNOR3,2016-08-31,2019-01-31,30,1,Integra,BRL,Cielo,0.0962570566377593,0.044314022602053,0.1598342552617177,7761.614478295278,True,True,True,True,BR,1100126.2570566377,isin_estandar_valido,BRCIELACNOR3,BRCIELACNOR3,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEIPC13,2025-03-31,2026-01-30,11,1,Habitat,USD,"Insight A XIII | Insight Partners XIII, L.P.",0.100265697183904,0.0709654261877482,0.1700067108930854,4351.942483730701,True,True,True,True,PR,1100111.265697184,isin_estandar_valido,PRIVFAEIPC13,PRIVFAEIPC13,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
