isin_normalizado,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,lista_afp,moneda_reportada,gestora_reportada,peso_max_total_fondo_pct,peso_mediano_total_fondo_pct,peso_max_exterior_pct,valor_max_reconciliado_miles_soles,aparece_modelo_principal,aparece_analisis_ampliado,formato_isin_valido,checksum_isin_valido,prefijo_isin,prioridad,clasificacion_identificador,identificador_original,identificador_canonico,fue_corregido_checksum,isin_corregido_propuesto,confianza_correccion,correccion_aprobada,razon_decision,ticker_corregido,nombre_corregido,figi_corregido,canonical_security_id,ticker,name,securityType,securityType2,marketSector,exchCode,figi,compositeFIGI,shareClassFIGI,clase_ambiguedad,razon_ambiguedad,mapeo_aceptable_automatico,estado_identidad_final,usar_en_enriquecimiento_automatico
PRIVFAEAIP4B,2020-09-30,2026-01-30,65,1,Habitat,EUR,"Antin Inf IV | Antin Infrastructure Partners IV Luxembourg G | Antin Infrastructure Partners IV Luxembourg GP, S.A R.L.",1.656455320253444,1.4739674213045388,3.647155808149121,61186.983803906114,True,True,False,False,PR,1101721.4553202535,identificador_no_estandar,PRIVFAEAIP4B,PRIVFAEAIP4B,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
GB0030810245,2015-01-30,2019-01-31,49,1,Profuturo,EUR | USD,THREADNEEDLE IN,1.647054989852253,0.7894616298912343,2.610925475922325,97647.2468358606,True,True,True,True,GB,1101696.0549898522,isin_estandar_valido,GB0030810245,GB0030810245,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
IE00B138F130,2018-08-31,2020-03-31,20,1,Habitat,EUR,Russell Investm,1.6735880631932851,1.156326065218731,3.209477258840732,19157.07806477784,True,True,True,True,IE,1101693.5880631933,isin_estandar_valido,IE00B138F130,IE00B138F130,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEPECPV,2021-02-26,2026-01-30,60,1,Habitat,USD,"Platinum EPV | Platinum Equity Partners V, L.P.",1.6183086966853135,1.0389476211933986,3.6192465834106944,39237.07957029204,True,True,False,False,PR,1101678.3086966854,identificador_no_estandar,PRIVFAEPECPV,PRIVFAEPECPV,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
LU0132212944,2016-02-29,2017-08-31,19,1,Prima,USD,PIONEER,1.6436541627286552,1.5419034574949149,2.8943846201768286,124362.2936367501,True,True,True,True,LU,1101662.6541627287,isin_estandar_valido,LU0132212944,LU0132212944,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
IE00BD9G0980,2018-01-31,2018-08-31,8,1,Habitat,EUR,Invesco Global,1.6263683692312303,1.3962620205143268,2.66115111801328,15218.25566004041,True,True,True,True,IE,1101634.3683692312,isin_estandar_valido,IE00BD9G0980,IE00BD9G0980,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
LU0345777493,2015-01-30,2019-11-29,59,1,Integra,USD,INVESTEC,1.5038720694593457,0.8944103878507229,2.872515657210179,122387.3511504289,True,True,True,True,LU,1101562.8720694594,isin_estandar_valido,LU0345777493,LU0345777493,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEEQTI5,2021-12-31,2026-01-30,50,1,Habitat,EUR,EQT Infr. V GP | EQT Infrastructure V (General Partner) S.à.r. | EQT Infrastructure V (General Partner) S.à.r.l.,1.3379843420926332,0.966619491728524,2.8294675892878045,47535.29480072857,True,True,True,False,PR,1101387.9843420926,formato_isin_checksum_invalido,PRIVFAEEQTI5,PRIVFAEEQTI5,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
PRIVFAEIPCXI,2020-05-29,2026-01-30,69,1,Habitat,USD,"Insight A XI | Insight Associates XI, L.P.",1.3071188424659794,0.6433311353363913,3.395391669348625,31020.273805553337,True,True,False,False,PR,1101376.118842466,identificador_no_estandar,PRIVFAEIPCXI,PRIVFAEIPCXI,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAEPGSF6,2019-04-30,2026-01-30,82,1,Habitat,USD,"PGSF VI | PGSF VI Feeder GP, LLC",1.1859526497505768,0.5744683530537505,2.58657742688395,24325.34173428559,True,True,True,False,PR,1101267.9526497505,formato_isin_checksum_invalido,PRIVFAEPGSF6,PRIVFAEPGSF6,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
PRIVFAEWPGGF,2021-06-30,2026-01-30,56,1,Habitat,USD,"Warburg Pincus | Warburg Pincus Global Growth GP, L.P.",1.1982104444441244,0.8310375202937857,3.093345932801498,30435.73966753043,True,True,False,False,PR,1101254.210444444,identificador_no_estandar,PRIVFAEWPGGF,PRIVFAEWPGGF,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAEGIP4F,2021-05-31,2026-01-30,57,1,Integra,USD,"Global Inf IV, | Global Infrastructure GP IV, L.P.",1.1826515112626743,0.7659262749814586,2.2497577517816074,36964.39598724796,True,True,False,False,PR,1101239.6515112626,identificador_no_estandar,PRIVFAEGIP4F,PRIVFAEGIP4F,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
PRIVFAENBDF3,2019-04-30,2026-01-30,82,1,Habitat,USD,"NB Private Debt | NB Private Debt Associates III, LP",1.105035823209389,0.5629225198437788,2.21635633190495,19656.71259702376,True,True,True,False,PR,1101187.0358232094,formato_isin_checksum_invalido,PRIVFAENBDF3,PRIVFAENBDF3,False,,,,,,,,,,,,,,,,,,,,False,checksum_invalido_pendiente,False
IE00B41Q3618,2016-07-29,2016-09-30,3,1,Prima,JPY,Invesco Global,1.1577142240852183,1.154871032850196,1.9943973512819644,88864.15521731086,True,True,True,True,IE,1101160.7142240852,isin_estandar_valido,IE00B41Q3618,IE00B41Q3618,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
PRIVFAEGS5SC,2021-09-30,2026-01-30,53,1,Habitat,USD,G Squared EGP V | G Squared Equity GP V S.à.r.l,1.1045637296963728,0.7479007021094937,2.514778220744365,28148.25243202705,True,True,False,False,PR,1101157.5637296964,identificador_no_estandar,PRIVFAEGS5SC,PRIVFAEGS5SC,False,,,,,,,,,,,,,,,,,,,,False,identificador_privado_o_no_estandar,False
LU0194163308,2018-01-31,2018-08-31,8,1,Habitat,EUR | USD,Deutsche Asset,1.142643272494271,0.5168113902693235,1.8841382264471984,12006.136744782889,True,True,True,True,LU,1101150.6432724942,isin_estandar_valido,LU0194163308,LU0194163308,False,,,,,,,,,,,,,,,,,,,,False,isin_no_resuelto,False
