escenario,periodo,fecha_cartera,afp,ACWI,SPY,QQQ,EEM,ILF,EPU,VGK,EWJ,MCHI,XLK,XLF,XLE,XLB,XLI,XLV,XLY,XLP,GLD,CPER,COPX,TLT,LQD,HYG,PRIVATE_ALTERNATIVES,RESIDUAL_NO_MAPEADO
ampliado_15pct,2015-01,2015-01-30,Habitat,0.121674032125593,0.2309399246534046,0.0,0.0545153333462195,0.0,0.0,0.0591760555833047,0.0326889839958571,0.0078525382232989,0.0044120215134205,0.0032546163310828,0.0004146760103712,0.0007132199810589,0.0022952117820957,0.0032617406215249,0.0072169999584996,0.0022196179541058,0.0,0.0,0.0,0.0,0.0049568152893709,0.0,0.0,0.0960990310137214
ampliado_15pct,2015-01,2015-01-30,Integra,5.857455722241422e-05,0.07293935121656706,0.0,0.0316197706412465,0.0036573595033911,0.0,0.1136087160820293,0.0175943820122888,0.03552601363489874,0.0105921702417662,0.0461630714627952,0.011979784100414592,0.0001274982661213,0.0424326224553269,0.0198324071685937,0.0,0.0011731920608615,0.0,0.0,0.0,0.0,1.1668811888725133e-07,0.0,0.0243922471692882,0.16561641683669628
ampliado_15pct,2015-01,2015-01-30,Prima,0.0017489356892003,0.15407087655834642,0.0,0.0192793610342054,0.0047414721719466,0.0,0.07339907323788691,0.019310257724518,0.004573420570060215,0.0,0.023948948732403302,0.013356744776879826,0.0,0.0171828994559034,0.0,0.0471308539270558,0.0,0.0,0.0,0.0,0.002707331474296,0.00028057369942451386,0.0,0.034121698891151,0.1499055296035977
ampliado_15pct,2015-01,2015-01-30,Profuturo,8.786518947637249e-05,0.0580132297587863,0.0,0.0,0.0,0.0,0.0926414456698757,0.0117608249293582,0.0570755117366135,0.007144791000672,0.0586964235866823,0.0046365515197763,0.0,0.024445420740999,0.0362324397688471,0.04183999601855,0.0054877374165773,0.0,0.0,0.0003469323488509,0.0149432399360618,0.0171923203438998,0.0,0.0220666734355683,0.1784113938122983
ampliado_15pct,2015-02,2015-02-27,Habitat,0.11881811897664249,0.2163455682958717,0.0,0.0591701599207247,0.0,0.0,0.0627887058263151,0.041593931464906,0.0065443530196017,0.0044654561614519,0.0032278010349699,0.0004064770953483,0.000721678357289,0.0022661347461877,0.0031881161161742,0.0084392636770098,0.0021663944690446,0.0,0.0,0.0,0.0,0.0047536706220725,0.0,0.0,0.0973036059634315
ampliado_15pct,2015-02,2015-02-27,Integra,5.606629351617124e-05,0.07393293950207122,0.0,0.0317575833768391,0.0021756048679364,0.0,0.0914927814171173,0.0179558188491755,0.04028443021163354,0.0110908001993431,0.051203663168417096,0.018467122246046953,0.0001334670861205,0.0231796428008288,0.027289986978632202,0.0,0.0011846175027341,0.0,0.0,0.0,0.0,1.1507096117683453e-07,0.0,0.0237020496406962,0.20531813525351758
ampliado_15pct,2015-02,2015-02-27,Prima,0.0019364553657186,0.17464546060567093,0.0,0.0334356727768936,0.0048027053137931,0.0,0.06719510841704246,0.020169783882735097,0.0046141612405722,0.0,0.0255705259259842,0.0108160688713618,0.0,0.0042233319959111,0.0,0.0506577384036666,0.0,0.0,0.0,0.0,0.0,0.0015104802605626507,0.0,0.0353524811483317,0.16064118739628075
ampliado_15pct,2015-02,2015-02-27,Profuturo,8.560110720901414e-05,0.056953298768413804,0.0,0.0096536283055127,0.0,0.0,0.11327666514038401,0.0120721766679658,0.0320312913427794,0.0,0.0558959227953389,0.0204314332883268,0.0,0.0,0.0447626040800473,0.0457557288256151,0.0136293251969462,0.0,0.0,0.0003424809026727,0.0143168221039504,0.0191928187720537,0.0,0.013558173081036,0.1863837834952401
ampliado_15pct,2015-03,2015-03-31,Habitat,0.1133689727008792,0.21953595715463622,0.0,0.059225905595477996,0.0,0.0,0.0702589616897443,0.0412754299171333,0.0067508920537552,0.0083811129490763,0.0030995910740954,0.0003870332070594,0.0006630739796378,0.002132030758413,0.0031184295018528,0.0083291103121676,0.002047696598046,0.0,0.0,0.0,0.0,0.0046662718390956,0.0,0.0,0.1063149739239889
ampliado_15pct,2015-03,2015-03-31,Integra,0.010340971343592164,0.1003743898709023,0.0,0.010844482756017728,0.0,0.0,0.10189588676542641,0.0240223764066155,0.028782494927479342,0.0108990468210004,0.0623887129448553,0.008085333039605373,0.0001292038536527,0.0229772187614234,0.0279871111490739,0.0,0.0011797478632378,0.0,0.0,0.0,0.0,1.1806663567176863e-07,0.0,0.024192704718224,0.18043859663406786
