afp,fecha_cartera,instrumentos,peso_total_mapeado,monto_total_miles_soles,peso_top_10,peso_top_25,peso_total_mapeado_pct,peso_top_10_pct,peso_top_25_pct
Habitat,2026-01-30,101,0.5377372453385185,2681283.758825,0.2868890303826339,0.4206876902583374,53.773724533851855,28.68890303826339,42.06876902583374
Integra,2026-01-30,66,0.5962466536489356,2025833.528575,0.38680229678441325,0.536328164863605,59.62466536489356,38.68022967844132,53.632816486360504
Prima,2026-01-30,33,0.5485448431468088,1652465.049972,0.43668813639063764,0.5484640585791163,54.85448431468088,43.668813639063764,54.84640585791163
Profuturo,2026-01-30,38,0.6225980402988966,2215572.905613,0.443082402680478,0.60249440511674,62.259804029889665,44.3082402680478,60.249440511674
