afp,factores,n_factores,alpha,n_train,n_valid,n_test,rmse_valid,rmse_test,rmse_baseline_cero,mejora_rmse_vs_cero_pct,r2_test,direccion_correcta_test_pct,intercepto,coeficientes_estandarizados
Habitat,ret_IDX_VIX | ret_COPX,2,0.01,1779,593,593,0.005099509595071829,0.006489410525030752,0.007493549325854523,13.400042585417484,0.24250463290274926,67.95952782462057,0.0003118528722109628,"{""ret_IDX_VIX"": -0.001643125731902156, ""ret_COPX"": 0.0015126685868570458}"
Integra,ret_COPX | ret_EPU,2,100.0,1779,593,593,0.005561613901706931,0.007007202497692272,0.007929647055924761,11.632857701318123,0.21556602705400219,66.10455311973018,0.00022431619384361015,"{""ret_COPX"": 0.0015143556182595735, ""ret_EPU"": 0.0008477855048791041}"
Prima,ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB,4,0.01,1779,593,593,0.004358376852642323,0.0071488950814118015,0.00840364426954542,14.931012640323155,0.2734842307749701,68.63406408094434,0.00020353769255946128,"{""ret_COPX"": 0.0009648047343588446, ""ret_EPU"": 0.0011738907269192246, ""ret_IDX_VIX"": -0.0017472220386685648, ""ret_XLB"": -0.0005443256972147905}"
Profuturo,ret_COPX | ret_EPU,2,100.0,1779,593,593,0.004728670400763216,0.007209005078572741,0.008217003716800201,12.267228700000961,0.2272366132517908,66.10455311973018,0.00027139542692842405,"{""ret_COPX"": 0.0015340464755087952, ""ret_EPU"": 0.0008517596958577885}"
