afp,modelo,observaciones_comparadas,mse_baseline,mse_modelo,mejora_mse_pct,diferencia_media_perdida,ic95_inferior,ic95_superior,evidencia_bootstrap,bloque_sesiones,repeticiones
Habitat,M1_pesos_reales,372,4.331238201409452e-05,4.241421816150508e-05,2.073688425395682,8.981638525894332e-07,2.631687942265841e-07,1.7027668301400037e-06,mejora_robusta,20,2000
Habitat,M2_hibrido,372,4.331238201409452e-05,4.1517462289599284e-05,4.144126092882957,1.7949197244952313e-06,8.552744760627083e-07,2.8916576866352893e-06,mejora_robusta,20,2000
Integra,M1_pesos_reales,372,4.96604056896431e-05,4.528207069419205e-05,8.816551002047444,4.3783349954510705e-06,2.277871618090957e-06,7.206205919758438e-06,mejora_robusta,20,2000
Integra,M2_hibrido,372,4.96604056896431e-05,4.673050513000707e-05,5.899872381121273,2.9299005596360405e-06,1.4427812101486704e-06,4.593010249473329e-06,mejora_robusta,20,2000
Prima,M1_pesos_reales,372,5.525654866823349e-05,5.1956069382637685e-05,5.973010195429052,3.3004792855958107e-06,1.645854345597468e-06,6.282641274701631e-06,mejora_robusta,20,2000
Prima,M2_hibrido,372,5.525654866823349e-05,5.246996308713943e-05,5.042996076039833,2.786585581094065e-06,1.5143779564829934e-06,4.2657960387880635e-06,mejora_robusta,20,2000
Profuturo,M1_pesos_reales,372,5.549444386833061e-05,5.454919083336392e-05,1.7033291426605746,9.452530349666735e-07,2.601894064033001e-07,1.5766552316664894e-06,mejora_robusta,20,2000
Profuturo,M2_hibrido,372,5.549444386833061e-05,5.343037301002037e-05,3.719418944367793,2.0640708583102176e-06,1.0787698937223922e-06,3.1386572948301986e-06,mejora_robusta,20,2000
