anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,1,Cartera Administrada del Fondo de Pensiones Tipo 3 por Instrumento Financiero y AFP ,,,,,,,,,,,,
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,2,2026-04-30 00:00:00,,,,,,,,,,,,
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,3,(En miles de soles),,,,,,,,,,,,
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,4,,,,Habitat,,Integra,,Prima,,Profuturo,,Total SPP,
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,5,,,,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,6,I. INVERSIONES LOCALES,,,2335743.937037,43.15766293751276,1270757.966099,38.4052253532352,1247216.677071,42.076192771349554,1339236.292582,38.19151971752983,6192954.872789,40.7652426891799
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,7,,1. Gobierno,,277458.250782,5.126610617117384,0,0,96287.822494,3.2483730014783925,23424.997026,0.6680197070202823,397171.070301,2.6143860891158206
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,8,,,Certificados y Depósitos a Plazo del BCRP  1/,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,9,,,Bonos del Gobierno Central,277458.250782,5.126610617117384,0,0,96287.822494,3.2483730014783925,23424.997026,0.6680197070202823,397171.070301,2.6143860891158206
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,10,,,Bonos Brady,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,11,,,Letras del Tesoro,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,12,,2. Sistema Financiero,,389357.353863,7.194176199629821,220044.004969,6.650235390147047,274909.649285,9.274371976154452,206540.115436,5.889984414868971,1090851.123552,7.1805481717219894
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,13,,,Certificados y Depósitos a Plazo  2/,86717.537495,1.6022844776075513,56053.724334,1.694072335067841,81805.671838,2.759802110832024,49248.898171,1.4044498913168457,273825.831838,1.8024637218800792
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,14,,,Papeles Comerciales,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,15,,,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,16,,,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local ,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,17,,,Bonos de Arrendamiento Financiero ,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,18,,,Bonos Subordinados,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,19,,,Otros Bonos Sector Financiero,2899.343294,0.053571317745266966,0,0,0,0,0,0,2899.343294,0.019084982120324775
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,20,,,Letras Hipotecarias,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,21,,,Bonos Hipotecarios,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,22,,,Acciones y Valores representativos sobre Acciones,299740.473074,5.538320404277001,163990.280634,4.956163055048983,193103.977446,6.51456986528869,157291.217265,4.485534523552126,814125.94842,5.358999467721587
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,23,,,Acciones Preferentes,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,24,,3. Empresas no Financieras ,,1595738.21204,29.484538437502817,866486.969231,26.187226998949846,810612.035412,27.34686674080587,681598.691597,19.437413706420664,3954435.908281,26.03014922782481
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,25,,,Papeles Comerciales,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,26,,,Pagarés LP,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,27,,,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local ,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,28,,,Bonos Corporativos Coemitidos,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,29,,,Bonos de Empresas no Financieras ,4127.088996,0.076256439320328,0,0,0,0,0,0,4127.088996,0.027166641446236806
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,30,,,Bonos para Nuevos Proyectos,0,0,0,0,43166.991977,1.456284789303018,8067.245798,0.2300567709126745,51234.237774,0.3372503400645106
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,31,,,Bonos Estructurados,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,32,,,Bonos convertibles emitidos en el mercado local,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,33,,,Acciones y Valores representativos sobre Acciones,1591611.123044,29.408281998182495,866486.969231,26.187226998949846,767445.043436,25.890581951536586,673531.445799,19.20735693550799,3899074.58151,25.66573224630748
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,34,,,Certificados de Suscripción Preferente,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,35,,,Certificados Prov. Acc.,0,0,0,0,0,0,0,0,0,0
0,0,FP-1356-ab2026.XLS,Fondo3xIntru,36,,,Fondo de inversiones alternativos,0,0,0,0,0,0,0,0,0,0
