anio,mes,archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base,filas_canonicas,registros_largos,registros_refinados,parejas_exactas_originales,parejas_exactas_heuristicas,pendientes,fusiones_nuevas,incidencias_iniciales,estado_proceso,error,grupos_reconciliados,grupos_sin_isin,grupos_revisar,registros_isin,fondos_sin_isin_pareja
2020,11,CA-0001-no2020.XLS,3,2020-11-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,680,336,368,355.0,275.0,13.0,67.0,13.0,56.0,correcto,,,,,,
2020,11,CA-0001-no2020.XLS,9,2020-11-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2020,11,CA-0001-no2020.XLS,10,2020-11-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,597,443,362,309.0,,,73.0,53.0,,correcto,,128.0,125.0,1.0,183.0,53.0
2020,12,CA-0001-di2020.XLS,3,2020-12-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,691,340,366,353.0,282.0,13.0,58.0,13.0,52.0,correcto,,,,,,
2020,12,CA-0001-di2020.XLS,9,2020-12-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2020,12,CA-0001-di2020.XLS,10,2020-12-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,612,450,372,319.0,,,75.0,53.0,,correcto,,132.0,126.0,1.0,191.0,53.0
2021,1,CA-0001-en2021.XLS,3,2021-01-29,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,702,347,376,361.0,284.0,15.0,62.0,15.0,52.0,correcto,,,,,,
2021,1,CA-0001-en2021.XLS,9,2021-01-29,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2021,1,CA-0001-en2021.XLS,10,2021-01-29,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,623,457,364,311.0,,,78.0,53.0,,correcto,,136.0,127.0,1.0,180.0,53.0
2021,2,CA-0001-fe2021.XLS,3,2021-02-26,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,704,349,382,367.0,289.0,15.0,63.0,15.0,51.0,correcto,,,,,,
2021,2,CA-0001-fe2021.XLS,9,2021-02-26,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,26,51,,,,,,,correcto,,,,,,
2021,2,CA-0001-fe2021.XLS,10,2021-02-26,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,635,468,373,320.0,,,78.0,53.0,,correcto,,139.0,127.0,1.0,189.0,53.0
2021,3,CA-0001-ma2021.XLS,3,2021-03-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,712,354,380,365.0,293.0,15.0,57.0,15.0,48.0,correcto,,,,,,
