anio,mes,archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base,filas_canonicas,registros_largos,registros_refinados,parejas_exactas_originales,parejas_exactas_heuristicas,pendientes,fusiones_nuevas,incidencias_iniciales,estado_proceso,error,grupos_reconciliados,grupos_sin_isin,grupos_revisar,registros_isin,fondos_sin_isin_pareja
2023,6,CA-0001-jn2023.XLS,3,2023-06-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,721,356,412,393.0,318.0,19.0,56.0,19.0,51.0,correcto,,,,,,
2023,6,CA-0001-jn2023.XLS,9,2023-06-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,23,46,,,,,,,correcto,,,,,,
2023,6,CA-0001-jn2023.XLS,10,2023-06-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,672,460,410,363.0,,,80.0,47.0,,correcto,,156.0,122.0,1.0,236.0,47.0
2023,7,CA-0001-jl2023.XLS,3,2023-07-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,730,361,407,389.0,309.0,18.0,62.0,18.0,52.0,correcto,,,,,,
2023,7,CA-0001-jl2023.XLS,9,2023-07-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,23,45,,,,,,,correcto,,,,,,
2023,7,CA-0001-jl2023.XLS,10,2023-07-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,680,460,405,358.0,,,69.0,47.0,,correcto,,159.0,119.0,1.0,242.0,47.0
2023,8,CA-0001-ag2023.XLS,3,2023-08-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,723,358,408,390.0,317.0,18.0,55.0,18.0,49.0,correcto,,,,,,
2023,8,CA-0001-ag2023.XLS,9,2023-08-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,23,45,,,,,,,correcto,,,,,,
2023,8,CA-0001-ag2023.XLS,10,2023-08-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,682,467,421,374.0,,,74.0,47.0,,correcto,,160.0,121.0,1.0,253.0,47.0
2023,9,CA-0001-se2023.XLS,3,2023-09-29,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,728,360,405,387.0,310.0,18.0,59.0,18.0,50.0,correcto,,,,,,
2023,9,CA-0001-se2023.XLS,9,2023-09-29,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,44,22,43,,,,,,,correcto,,,,,,
