fecha_cartera,afp,fondo,instrumento_id,tipo_id,moneda,peso_fondo,peso_fondo_pct,monto_miles_soles,archivo,grupo,entidad_administradora,isin,estado_identificacion,estado_cobertura,fuente_precio_sugerida,ticker_precio,proxy_si_no_hay_precio,estado_mapeo_precio
2026-01-30,Habitat,3,LU0101689882,isin,USD,0.0059215768074097,0.5921576807409786,29526.36786456428,CA-0001-en2026.XLS,94,Pictet Asset Management (Europe) S.A.,LU0101689882,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAECCM7F,isin,EUR,0.0054681526747152,0.546815267471529,27265.489018265085,CA-0001-en2026.XLS,283,Cinven Capital Management (VII) Limited Partn,PRIVFAECCM7F,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEHLGII,isin,USD,0.005200890405778,0.5200890405778085,25932.85679451625,CA-0001-en2026.XLS,286,Hamilton Lane Global SMID II GP LLC,PRIVFAEHLGII,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US46138E6288,isin,USD,0.0051278410433938,0.512784104339386,25568.615576986227,CA-0001-en2026.XLS,134,Invesco Capital Management LLC,US46138E6288,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEPECPV,isin,USD,0.0049686728111981,0.4968672811198122,24774.96551906872,CA-0001-en2026.XLS,289,"Platinum Equity Partners V, L.P.",PRIVFAEPECPV,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEWPGGF,isin,USD,0.0045390376639213,0.4539037663921344,22632.704121704646,CA-0001-en2026.XLS,292,"Warburg Pincus Global Growth GP, L.P.",PRIVFAEWPGGF,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEIPCXI,isin,USD,0.0043865026769565,0.4386502676956542,21872.12897697232,CA-0001-en2026.XLS,296,"Insight Associates XI, L.P.",PRIVFAEIPCXI,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US4642864007,isin,USD,0.0038737323855797,0.3873732385579756,19315.33629393805,CA-0001-en2026.XLS,75,BlackRock Fund Advisors,US4642864007,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00BD065N65,isin,USD,0.0038230723578793,0.3823072357879316,19062.73353920548,CA-0001-en2026.XLS,116,Veritas Asset Management LLP,IE00BD065N65,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,IE00BN6Q7C39,isin,USD,0.0038115607779625,0.3811560777962579,19005.33410753745,CA-0001-en2026.XLS,151,NS Partners Europe S.A.,IE00BN6Q7C39,isin,estricto,mapear_isin_a_ticker,,,pendiente
