afp,nombre_calibracion,metodo,ventana,vida_media,mape_validacion_pct,p90_validacion_pct,r2_validacion,razon_volatilidad_validacion
Habitat,AFIN_W250,AFIN,250.0,,0.5448997028192898,1.2259603257997582,0.4530882345971471,0.7006891013061401
Integra,IDENTIDAD_EW,IDENTIDAD,,,0.4658508981778416,0.9514153232367019,0.2577760994713113,0.5400311096461794
Prima,IDENTIDAD_EW,IDENTIDAD,,,0.4465887573987481,0.9054450555602611,0.31582935941989376,0.5523945999207973
Profuturo,HUBER_W120,HUBER,120.0,,0.48567283281890805,1.0698464250293596,0.3329620401306652,0.6172262887485818
