fecha,apertura,maximo,minimo,cierre_ajustado,volumen,ticker
2014-12-18,92.2277758737956,92.35327457695853,91.6888613950801,91.6888613950801,12758200,TLT
2014-12-19,91.96940751105018,92.98078684456178,91.8660549606518,92.92173226739955,7894500,TLT
2014-12-22,92.61170365850825,93.15800235205747,92.515735006433,93.04726582594377,4118800,TLT
2014-12-23,92.61166390667289,92.72240038525501,91.16472264812938,91.20163668508718,7406100,TLT
2014-12-24,91.03964153700963,91.77944036151116,90.94346972174259,91.69806203927862,4871400,TLT
2014-12-26,92.14190270718235,92.17148967939832,91.74980477264009,92.0383313717831,2921300,TLT
2014-12-29,92.40827080935385,92.9631199093066,92.33428641398662,92.72637887487852,4070700,TLT
2014-12-30,93.19985913242827,93.37000970264988,92.8669462722352,92.9779172256329,4372600,TLT
2014-12-31,92.99269981388524,93.34040612645582,92.95571326323471,93.15545644055372,4993300,TLT
2015-01-02,93.4291668490671,94.44269297359146,93.32559549552043,94.19115851196707,9432000,TLT
2015-01-05,94.70164761237557,95.9001294367454,94.66466105605924,95.6707935972452,9789500,TLT
2015-01-06,96.6916672874925,98.01591300064194,96.31437409449453,97.39447364547537,18331300,TLT
2015-01-07,96.69168561122017,97.63123309939898,96.29959321230146,97.20214850864356,9762900,TLT
2015-01-08,96.44015465653484,96.44754857936746,95.74474210358692,95.91489263619168,8055300,TLT
2015-01-09,95.58199565030255,96.9950139632746,95.46362514181176,96.9654269803684,9398800,TLT
2015-01-12,96.91363718469316,97.88277175039077,96.85445192951038,97.52027758399184,6658100,TLT
2015-01-13,97.20215824843851,98.10471363521793,97.01720855915474,97.52027758399184,8260800,TLT
2015-01-14,98.92587462127477,99.2217895606381,98.17127685093753,98.26006036349162,12324500,TLT
2015-01-15,98.28225639069895,99.89501204931769,98.15648068481428,99.80623982251127,11454200,TLT
2015-01-16,99.37718650809003,99.63610934720575,98.41544569088894,98.53381622282282,9390500,TLT
2015-01-20,99.22928571844834,99.95428588627651,99.18489956570563,99.84332050441974,7758700,TLT
2015-01-21,100.02083259670923,100.30935378417477,98.36368989472784,98.6891920051613,9803900,TLT
2015-01-22,99.13305916916715,99.26621756154208,97.86060407377161,98.3340749496093,10200000,TLT
2015-01-23,99.35497796502833,99.96160709191574,99.24400137546712,99.70268429313987,7334600,TLT
2015-01-26,99.75448007347104,100.01341420152642,99.17004391461624,99.39937976541287,5966500,TLT
2015-01-27,100.41287483866486,100.7088010930458,99.24399153283296,99.55471692204104,8079600,TLT
2015-01-28,99.68790691235907,101.6557747969965,99.65091470776562,101.18230392813386,12230300,TLT
2015-01-29,100.7014313998169,101.10832308783523,100.21317266263124,100.51648165875733,8881400,TLT
2015-01-30,101.87771856402578,102.46215476871885,101.48561473442322,102.29939809633623,14871200,TLT
2015-02-02,101.33490927854575,102.2392890574749,101.30526248913468,101.91311781769701,13689900,TLT
2015-02-03,100.55657573083788,100.66035648911935,99.60771985190604,99.75598777338327,14008700,TLT
2015-02-04,98.95538021009533,100.06732166044416,98.68109362735699,99.92647393359944,11360400,TLT
2015-02-05,99.3335015352004,99.50399616918988,98.67374962670807,98.82942650905382,8334600,TLT
2015-02-06,97.8879217169944,98.11031228546578,96.80562698310257,97.07991358576075,13685600,TLT
2015-02-09,97.82863992888298,97.83604880212293,96.92425969830798,96.92425969830798,8025500,TLT
2015-02-10,96.47202614465739,96.71665458650925,95.95312247008604,96.15327507001062,8290700,TLT
2015-02-11,96.14586153008453,96.5684046800843,95.59731102675472,96.33118509175056,6506400,TLT
2015-02-12,96.11621875145437,96.7685500241116,95.96054197620195,96.0124380050371,12548300,TLT
2015-02-13,96.00501152435855,96.01984057608898,94.95237507654396,95.0265090239438,8325200,TLT
2015-02-17,94.7374299847446,94.83379622417971,93.34379284309058,93.59583588906897,14968800,TLT
2015-02-18,94.01094346036717,94.69293286308351,93.75149158494538,94.15179118800759,14009200,TLT
2015-02-19,93.98128835213643,94.47795416470414,93.52909838677581,93.52909838677581,8584800,TLT
2015-02-20,94.18145673746157,94.89309303437643,93.40309534731628,93.8033950060515,12502500,TLT
2015-02-23,94.28522377628235,95.01168902274217,94.26298585219453,94.8782558225886,7500500,TLT
2015-02-24,94.62622165290608,96.21258539924827,94.27781241549316,96.12363369991007,11958300,TLT
2015-02-25,95.96793275849886,96.65733079609151,95.6862373996978,96.5387210333069,8019800,TLT
2015-02-26,96.1458692007038,96.5906503086884,95.18218434090615,95.2192513184471,11020500,TLT
2015-02-27,95.64182888217908,96.08659883879007,95.08585795297222,96.01988504198705,9225100,TLT
2015-03-02,95.81336964392295,95.86536683487762,94.15705851256584,94.23133697584329,11324000,TLT
2015-03-03,94.24621982438808,94.60273729709364,93.86742107213584,93.8897080183355,8599000,TLT
2015-03-04,94.28329559820597,94.35756836891338,93.70396005337933,93.91934938843607,6478900,TLT
2015-03-05,93.97883896842818,94.23879669035937,93.51091506895204,93.80058305434012,6045000,TLT
2015-03-06,92.59732521104955,92.71616624219502,91.33467042171641,91.72832142074431,20022900,TLT
2015-03-09,92.60471496132932,92.74583720936681,92.19620617314175,92.57500471612933,8889100,TLT
2015-03-10,93.56288089705862,93.9119693134116,93.4069063067704,93.79312829224813,9277900,TLT
2015-03-11,93.77823849583555,94.66952313152811,93.67425547722641,94.4764093826899,6663100,TLT
2015-03-12,95.219169969626,95.219169969626,94.11991904849097,94.40958690383404,10295900,TLT
2015-03-13,94.149666139305,94.76613565387538,93.94912328919473,94.11995587756077,7247200,TLT
2015-03-16,95.02607641598821,95.18204533638976,94.52843673350223,95.02607641598821,6374600,TLT
