fecha,apertura,maximo,minimo,cierre_ajustado,volumen,ticker
2014-12-18,36.426490056272286,36.831534046758506,36.40589282363934,36.82466742959848,5990600,VGK
2014-12-19,36.502015297038376,36.817814308519054,36.44023143742787,36.68737473241359,6199500,VGK
2014-12-22,36.92965505955637,36.95036243472724,36.74328078346039,36.92965505955637,4701900,VGK
2014-12-23,36.8261231898281,36.902053764216554,36.72258365190577,36.79161001052066,6958800,VGK
2014-12-24,36.84684186723678,37.08153522816902,36.84684186723678,37.053923624956425,2566300,VGK
2014-12-26,37.02630329969918,37.178164448408104,37.02630329969918,37.0815264931158,1597800,VGK
2014-12-29,36.72947861515435,36.92965870552283,36.694965442066824,36.763991788241874,4780500,VGK
2014-12-30,36.570721987792716,36.63975097862167,36.43957085499783,36.44647243748735,5389500,VGK
2014-12-31,36.48097673250499,36.58451887694059,36.14964555677164,36.17725714637928,4019600,VGK
2015-01-02,36.23247861587548,36.322212328086835,35.92875641089554,35.990881167988164,3700800,VGK
2015-01-05,35.376534516163005,35.38343609600346,34.845023340133004,34.94166125701378,6173600,VGK
2015-01-06,34.89334893502568,35.121140610870974,34.47918560299854,34.54821194727431,8452900,VGK
2015-01-07,34.76909373590948,34.95546799486903,34.49298577066948,34.90714903512239,10564800,VGK
2015-01-08,35.12804364353468,35.55601278873815,35.093530469970695,35.41105587985758,3690900,VGK
2015-01-09,35.376543375721354,35.417960764693696,34.962380018743566,35.20397487144954,4978300,VGK
2015-01-12,35.32133550330571,35.355851325672866,34.99000414744391,35.19708854889664,5515300,VGK
2015-01-13,35.59743349862748,35.700975662167636,35.065922149948804,35.35583862794927,7526300,VGK
2015-01-14,35.203977146312404,35.36964407972067,35.02450704887447,35.31442089085572,7230700,VGK
2015-01-15,35.5767211468656,35.70097067247359,35.36273526761046,35.514596384061605,8017600,VGK
2015-01-16,35.59742672752687,36.080619010160355,35.480081422142824,36.01159003653494,8147100,VGK
2015-01-20,36.349828978460394,36.39124636668525,36.080622537964715,36.26009262056638,4045700,VGK
2015-01-21,36.39124267159845,36.563811155233594,36.156549428527214,36.55690694130398,6779500,VGK
2015-01-22,36.4878904309724,36.78470851344261,36.36364087862735,36.660458961097554,7959600,VGK
2015-01-23,36.598342596405296,36.77091116619228,36.453385629749214,36.453385629749214,8108800,VGK
2015-01-26,36.75019489282244,37.14365092612891,36.66736010346241,37.040108756022256,6221200,VGK
2015-01-27,36.936575627896595,37.1367558014068,36.798522878208445,37.053923624956425,6338100,VGK
2015-01-28,37.012498596866486,37.01940281284132,36.329128673823064,36.336030256611025,10725900,VGK
2015-01-29,36.72948825673004,36.998694763940904,36.63285029344276,36.991793180786246,5946700,VGK
2015-01-30,36.65355853703146,36.72948911945125,36.36364464035996,36.36364464035996,9604900,VGK
2015-02-02,36.54311081294061,36.83302731139254,36.41195967863306,36.78470833384835,5971100,VGK
2015-02-03,37.178166587516905,37.66826060794727,37.164360788368406,37.61304004454023,7061500,VGK
2015-02-04,37.27480399245916,37.48878992628909,37.060818058629245,37.109137038334886,4964200,VGK
2015-02-05,37.36454111231798,37.6682607955366,37.31622213165108,37.62684339788485,4439900,VGK
2015-02-06,37.302403562795455,37.37142990206513,36.950362386236364,37.06080610897948,5503900,VGK
2015-02-09,36.75019507012567,37.019401553877664,36.68807029439931,36.91585938327146,3209100,VGK
2015-02-10,37.171262065758484,37.33002743806748,36.98489036175334,37.281705824851535,2789200,VGK
2015-02-11,37.047016532417686,37.12294711876581,36.846839007630265,37.01940756453518,3914500,VGK
2015-02-12,37.41976329768722,37.82702517609153,37.41976329768722,37.81321937627597,5593000,VGK
2015-02-13,37.90986098527177,37.965084189841455,37.792515625342176,37.93747258755661,3850600,VGK
2015-02-17,37.85463500788549,38.09622991040749,37.67516488503871,38.04791092990309,4788400,VGK
2015-02-18,38.034102414976616,38.26879571774883,37.93746446086807,38.17906197932619,6732600,VGK
2015-02-19,38.14454443009931,38.296405570032,38.06861649331961,38.123837050358176,2983200,VGK
2015-02-20,38.01339890356965,38.738186266344556,37.88914934044401,38.61393670321891,7955100,VGK
2015-02-23,38.40683032414786,38.51037243802262,38.3170940010021,38.42753769364868,4745700,VGK
2015-02-24,38.46207373966432,38.7450860156683,38.33782419086387,38.689862823674,6243200,VGK
2015-02-25,38.70365999271788,38.75888317240021,38.544897300910385,38.72436736850568,5634400,VGK
2015-02-26,38.55180467463324,38.62773524151282,38.475876740940194,38.52419571382965,4145600,VGK
2015-02-27,38.558697915672376,38.78648691829439,38.51037895653481,38.57940528867826,4764200,VGK
2015-03-02,38.61393171992959,38.64154331554679,38.48278059052791,38.63464173323583,4899900,VGK
2015-03-03,38.482785411726354,38.52420281034101,38.19977310416042,38.31021686727915,6302300,VGK
2015-03-04,38.06861693104121,38.19976805955413,37.86153259850221,38.172156464124036,4290000,VGK
2015-03-05,38.282584593449165,38.42063988108669,38.20665405358925,38.28948880608312,4062600,VGK
2015-03-06,37.9098538563402,37.937465453432694,37.537107828338854,37.56471679224452,5639100,VGK
2015-03-09,37.647554184431115,37.771803746744375,37.56471938743093,37.716580548744254,3160500,VGK
2015-03-10,37.12293483775006,37.14364484829466,36.77779783811851,36.798507848663114,7895100,VGK
2015-03-11,36.9365658886712,36.95727590221365,36.66735941129976,36.81922055573974,5399100,VGK
2015-03-12,37.129842068351806,37.185062623521475,36.888244569073166,37.129842068351806,6417800,VGK
2015-03-13,36.80541136245287,36.92275931774563,36.61213547513125,36.86753613097575,3851700,VGK
2015-03-16,37.15744683022949,37.433554821681774,37.15744683022949,37.35762426824692,3438200,VGK
2015-03-17,37.18505479313367,37.30240272708637,37.04009790400328,37.2540837640429,2989700,VGK
2015-03-18,37.23337526547417,38.21356562663043,37.205766309177314,38.11692769662617,8210500,VGK
2015-03-19,37.64755821844071,37.73039039112951,37.50260125793848,37.59233501452331,5751300,VGK
2015-03-20,38.37923912687174,38.76579357303626,38.21357481650604,38.5656134509232,6489000,VGK
2015-03-23,38.59320618576727,38.87621832474944,38.57940039445284,38.738163044790596,5966000,VGK
2015-03-24,38.8624313488761,38.93146033886897,38.689862823674,38.689862823674,5171200,VGK
2015-03-25,38.88146364403241,38.88146364403241,38.45106788163603,38.45106788163603,4707100,VGK
2015-03-26,38.18033078018908,38.18033078018908,37.78464392758916,38.069260832935,4548400,VGK
2015-03-27,38.06232569354901,38.24975410539229,37.972080520653385,38.18033637123677,4094000,VGK
2015-03-30,38.20809115367858,38.36081064500172,38.180323010486774,38.2636247919463,3980600,VGK
2015-03-31,37.6527459080588,37.95124421366951,37.61109368842847,37.63886183484869,3702700,VGK
2015-04-01,37.999832694238485,38.0900751810694,37.749924719380594,38.00677340548867,8569100,VGK
2015-04-02,38.18032935419578,38.38164445361127,38.15256120639026,38.353876305805755,5273000,VGK
2015-04-06,38.63154679074167,38.936988427210736,38.444115792868864,38.69402379003261,4417800,VGK
2015-04-07,38.69402520943799,38.96475800025798,38.58989599076136,38.58989599076136,3613300,VGK
2015-04-08,38.895336211644796,38.985581354646364,38.54130164774011,38.69402379003261,6435200,VGK
2015-04-09,38.74955304322116,38.76343711350492,38.555181355479874,38.68707605100209,5751700,VGK
2015-04-10,38.694025019255044,38.818976373690404,38.61766394568297,38.79815158930385,5354900,VGK
2015-04-13,38.74956259349754,38.784271453703504,38.5274227104398,38.6037837917627,4632200,VGK
2015-04-14,38.8259295845239,38.978651770415574,38.812045508704955,38.93005882910762,2829900,VGK
2015-04-15,39.06889351126956,39.193847543029335,38.846753598833644,39.13137052714944,3574900,VGK
2015-04-16,39.1660712669253,39.304909345424875,38.923106615638105,39.18689869997569,2981400,VGK
2015-04-17,38.610719905623256,38.73567390597446,38.464941121252174,38.624603977675164,5782500,VGK
2015-04-20,38.61072254009628,38.85368984540879,38.61072254009628,38.700967690533275,3184700,VGK
2015-04-21,38.97863072600761,39.089700624476265,38.86756082753895,39.01333957275745,3988200,VGK
2015-04-22,38.94393785163771,39.013358226445035,38.707913873525875,39.00641486490604,3749500,VGK
2015-04-23,38.80508751321939,39.284075999132895,38.7495512346764,39.22159900982979,3255000,VGK
2015-04-24,39.31184177294256,39.49927272957384,39.089701968368146,39.37431875848632,3131400,VGK
2015-04-27,39.64505621559436,39.90884825808094,39.52704294075207,39.71447391977288,6859300,VGK
2015-04-28,39.48541027968538,39.672841338938255,39.33962880152195,39.65895726253618,4433000,VGK
2015-04-29,39.429856553361255,39.6589397406079,39.20077601423024,39.3326707096017,7163500,VGK
2015-04-30,39.2493824014518,39.47152230571653,39.16607795126511,39.23549832642068,5704400,VGK
2015-05-01,39.45068819304336,39.54787404717471,39.19383683784948,39.54787404717471,5381500,VGK
2015-05-04,39.59646697424038,39.6520006131229,39.45068819304336,39.54787404717471,10481900,VGK
2015-05-05,39.37433112207806,39.409039980919815,38.8467469344652,38.902283227104945,4790100,VGK
2015-05-06,39.24243960377337,39.38127770796301,39.00641562108596,39.16607851406324,4929800,VGK
2015-05-07,38.99947020257237,39.11748085562079,38.83286396802112,39.020294988847674,4399300,VGK
2015-05-08,39.74223458722866,40.082387629215795,39.707525741666345,39.95743366669931,5084300,VGK
2015-05-11,39.7908451981391,39.95050807723006,39.72836818909339,39.804729272162184,5172700,VGK
2015-05-12,39.69366612948298,39.804736092582814,39.55482801357898,39.65895726253618,3415000,VGK
2015-05-13,40.054638304449284,40.179592325648144,39.87414798577697,39.9366249963764,2784700,VGK
2015-05-14,40.40866166352383,40.616917424739405,40.34618467034759,40.60303600235862,3290800,VGK
2015-05-15,40.394785023597606,40.58915939818732,40.2212380826416,40.55444789150319,3357200,VGK
2015-05-18,40.30453975552615,40.39478225198782,40.193469826859804,40.31148046751706,3347200,VGK
2015-05-19,40.16571548254602,40.26290137250509,40.089354383830496,40.17265619692157,4107600,VGK
2015-05-20,40.22123532293941,40.4433751802721,40.144876898575525,40.31148046751706,4296500,VGK
2015-05-21,40.401725855333886,40.603040929789906,40.36007363878975,40.5405639290317,2485300,VGK
2015-05-22,40.31841168051946,40.31841168051946,40.12403737782733,40.12403737782733,3045400,VGK
2015-05-26,39.66588596585503,39.693654110251,39.18689739154655,39.27714253677545,4245500,VGK
