fecha,apertura,maximo,minimo,cierre_ajustado,volumen,ticker
2014-12-18,57.25754605834075,58.14820217691916,57.13384277101421,58.13995361328125,16048100,XLV
2014-12-19,58.3551669072185,58.71109229131336,57.9578523538868,58.28067398071289,17822000,XLV
2014-12-22,57.94128647961631,58.04061667273132,57.43636904937173,57.72607421875,9896600,XLV
2014-12-23,57.85853369511313,57.89991655299957,56.10373759111825,56.4017219543457,22190400,XLV
2014-12-24,56.44309365014987,57.13838607232104,56.39342539492393,56.81557083129883,4519100,XLV
2014-12-26,57.039076401901326,57.37844360247742,57.00596632853523,57.22117233276367,4242800,XLV
2014-12-29,57.16322884340542,57.50260234459773,57.09701501460004,57.419830322265625,5225900,XLV
2014-12-30,57.328783879590056,57.46121786310423,57.105292454452176,57.171512603759766,4965100,XLV
2014-12-31,57.33706566878666,57.65988736859675,56.5921109749077,56.60038375854492,7863600,XLV
2015-01-02,56.87353980387705,57.403288475782546,56.57555538654242,56.80731964111328,7516800,XLV
2015-01-05,56.5507072698361,57.01423563853218,56.40999420292486,56.51759719848633,10784800,XLV
2015-01-06,56.70798877751712,57.188069111091885,55.97957970639405,56.327232360839844,13344500,XLV
2015-01-07,56.70798484827999,57.66815176400208,56.5838236456596,57.6515998840332,14146400,XLV
2015-01-08,58.22274537319053,58.702832104546964,58.12342143918755,58.63661193847656,22138400,XLV
2015-01-09,58.68625374262754,58.75247387882086,57.91646202590458,58.115116119384766,9724300,XLV
2015-01-12,58.56208376541045,58.76901692359211,57.98267344854132,58.13993835449219,11972100,XLV
2015-01-13,58.686248267530594,59.009063507481464,57.394980992627936,57.88334655761719,14219800,XLV
2015-01-14,57.32878798859334,57.941308625838076,57.17151670149074,57.79231643676758,12548000,XLV
2015-01-15,58.00752462224037,58.11512762853945,57.138402529105974,57.171512603759766,16382800,XLV
2015-01-16,57.08047102215676,58.355180691528645,57.06391913961259,58.24757766723633,13759300,XLV
2015-01-20,58.33862880898447,58.487621012290326,57.568836811087884,58.24757766723633,10387200,XLV
2015-01-21,58.18962594385536,58.586934203139265,57.89991437404724,58.36344909667969,8391000,XLV
2015-01-22,58.6200413000628,59.067017805381795,57.80886031298005,59.058738708496094,11497400,XLV
