scope,model,n,correct,classification_accuracy,direction_correct,direction_accuracy,active_n,active_correct,active_accuracy,mae_return_pp,rmse_return_pp,r2,opposite_direction_errors,sube_n,sube_correct,sube_accuracy,baja_n,baja_correct,baja_accuracy,neutro_n,neutro_correct,neutro_accuracy
validation20,OLS,56,48,0.8571428571428571,52,0.9285714285714286,52,47,0.9038461538461539,0.2819231437443154,0.3325793819849376,0.9561635541998829,1,30,27,0.9,22,20,0.9090909090909091,4,1,0.25
validation20,RIDGE,56,49,0.875,52,0.9285714285714286,53,48,0.9056603773584906,0.288413550530175,0.34159294101129567,0.9537552468148682,1,31,28,0.9032258064516129,22,20,0.9090909090909091,3,1,0.3333333333333333
validation20,HUBER,56,49,0.875,51,0.9107142857142857,51,47,0.9215686274509803,0.30284230270364737,0.3583672731351519,0.9491019229065559,1,29,27,0.9310344827586207,22,20,0.9090909090909091,5,2,0.4
test20,OLS,57,48,0.8421052631578947,50,0.8771929824561403,52,48,0.9230769230769231,0.3302315270432251,0.46336475773211644,0.9195330023307062,1,26,23,0.8846153846153846,26,25,0.9615384615384616,5,0,0.0
test20,RIDGE,57,47,0.8245614035087719,50,0.8771929824561403,51,47,0.9215686274509803,0.34508776271145747,0.46558864725506754,0.9187587563876608,1,26,23,0.8846153846153846,25,24,0.96,6,0,0.0
test20,HUBER,57,50,0.8771929824561403,51,0.8947368421052632,52,49,0.9423076923076923,0.31198655546906573,0.45352563069287,0.9229140071267175,1,27,24,0.8888888888888888,25,25,1.0,5,1,0.2
last90,OLS,90,76,0.8444444444444444,79,0.8777777777777778,84,76,0.9047619047619048,0.3126956000724614,0.41547081628584176,0.9327935713988109,2,45,39,0.8666666666666667,39,37,0.9487179487179487,6,0,0.0
last90,RIDGE,90,75,0.8333333333333334,79,0.8777777777777778,83,75,0.9036144578313253,0.322183475099117,0.418808768130756,0.9317093413135571,2,45,39,0.8666666666666667,38,36,0.9473684210526315,7,0,0.0
last90,HUBER,90,79,0.8777777777777778,80,0.8888888888888888,83,77,0.927710843373494,0.3013548124660658,0.4113557647304561,0.9341182773317762,2,45,40,0.8888888888888888,38,37,0.9736842105263158,7,2,0.2857142857142857
all_walk_forward,OLS,282,222,0.7872340425531915,246,0.8723404255319149,242,214,0.8842975206611571,0.2545712459187676,0.3477186506482354,0.9115187186798489,7,138,126,0.9130434782608695,104,88,0.8461538461538461,40,8,0.2
all_walk_forward,RIDGE,282,220,0.7801418439716312,247,0.875886524822695,240,212,0.8833333333333333,0.2597845170926589,0.35088089062981803,0.9099020591996688,7,139,127,0.9136690647482014,101,85,0.8415841584158416,42,8,0.19047619047619047
all_walk_forward,HUBER,282,224,0.7943262411347518,247,0.875886524822695,238,213,0.8949579831932774,0.2515306376332234,0.3473642205729372,0.9116990049214992,7,141,129,0.9148936170212766,97,84,0.865979381443299,44,11,0.25
