fecha,ret_real,ret_estimado_OLS,senal_real,senal_OLS,ret_estimado_RIDGE,senal_RIDGE,ret_estimado_HUBER,senal_HUBER,acierto_OLS,acierto_RIDGE,acierto_HUBER
2026-03-09,0.00897283209689248,0.009420687563645508,SUBE,SUBE,0.009299922569535433,SUBE,0.009247247350441587,SUBE,True,True,True
2026-03-10,0.007788155684593123,0.013807680508896653,SUBE,SUBE,0.015146687225591114,SUBE,0.011387761369709102,SUBE,True,True,True
2026-03-11,-0.008350445520898586,-0.009859841194659017,BAJA,BAJA,-0.009034523990783853,BAJA,-0.010305655285781415,BAJA,True,True,True
2026-03-12,-0.019611390274212326,-0.022647063233557637,BAJA,BAJA,-0.022053399870650497,BAJA,-0.023151938465235125,BAJA,True,True,True
2026-03-13,-0.01632838620357069,-0.013079068835532125,BAJA,BAJA,-0.013142636941740709,BAJA,-0.013135213703494813,BAJA,True,True,True
2026-03-16,0.010462440818136187,0.013052381292426066,SUBE,SUBE,0.013577861789046424,SUBE,0.012651419568520355,SUBE,True,True,True
2026-03-17,0.0015078833134576364,0.0041700820230419185,SUBE,SUBE,0.003903991436425267,SUBE,0.004269415428165518,SUBE,True,True,True
2026-03-18,-0.021678378926125896,-0.023329886020395093,BAJA,BAJA,-0.02315181661182275,BAJA,-0.023184436088342673,BAJA,True,True,True
2026-03-19,-0.017667970869984173,-0.012107651666315746,BAJA,BAJA,-0.012698013461249968,BAJA,-0.01150172189902253,BAJA,True,True,True
2026-03-20,-0.022332677423223646,-0.021268138118585574,BAJA,BAJA,-0.021301037008594283,BAJA,-0.020634632664697627,BAJA,True,True,True
2026-03-23,0.023551845822321615,0.022992781320048315,SUBE,SUBE,0.022655130041209802,SUBE,0.022830377443582392,SUBE,True,True,True
2026-03-24,0.0018526442961053213,-0.0030297472654558224,SUBE,BAJA,-0.0017864470167516721,BAJA,-0.0035890334921679186,BAJA,False,False,False
2026-03-25,0.015644083484683824,0.013532613065490223,SUBE,SUBE,0.013175046829986256,SUBE,0.01316327595307944,SUBE,True,True,True
2026-03-26,-0.02290506135328152,-0.0191475419517531,BAJA,BAJA,-0.019275961531875784,BAJA,-0.018408035501908504,BAJA,True,True,True
2026-03-27,0.0036322297587063623,0.0006783567847035835,SUBE,NEUTRO,0.0006740197974944309,NEUTRO,0.0009046321603590638,NEUTRO,False,False,False
2026-03-30,-0.007529982905613797,-0.004490539946010051,BAJA,BAJA,-0.00475215872964028,BAJA,-0.00421135433235796,BAJA,True,True,True
2026-03-31,0.032401500778177716,0.03537995896020699,SUBE,SUBE,0.035263903186853046,SUBE,0.03470661151719777,SUBE,True,True,True
2026-04-01,0.019118100224269075,0.015656786348596432,SUBE,SUBE,0.016152531185132834,SUBE,0.014931609965038955,SUBE,True,True,True
2026-04-06,-0.00027054418108907186,0.002463768763415624,NEUTRO,SUBE,0.002655139286059297,SUBE,0.0009246305630723692,NEUTRO,False,False,True
2026-04-07,-7.054471073575375e-05,0.0014638872127906415,NEUTRO,SUBE,0.00154209838427803,SUBE,0.0016236704870302176,SUBE,False,False,False
2026-04-08,0.034720442465594026,0.03287800898839131,SUBE,SUBE,0.0331869451341129,SUBE,0.03221144459888545,SUBE,True,True,True
2026-04-09,-0.0001998494672871276,0.0018403545340757899,NEUTRO,SUBE,0.0026671373917450825,SUBE,0.0013539716421452008,SUBE,False,False,False
2026-04-10,0.007263603228770288,0.002951304138582287,SUBE,SUBE,0.0031120243449996097,SUBE,0.004337306365251845,SUBE,True,True,True
2026-04-13,0.006398500806168661,0.0045742643997953355,SUBE,SUBE,0.004271616799552681,SUBE,0.0026532402870649875,SUBE,True,True,True
2026-04-14,0.01054323000188484,0.006693152465477049,SUBE,SUBE,0.0066547564683835025,SUBE,0.007743974576836181,SUBE,True,True,True
2026-04-15,-0.014717293835395995,-0.017943860968260658,BAJA,BAJA,-0.01661204486901343,BAJA,-0.01622311192855421,BAJA,True,True,True
2026-04-16,0.010014806431104306,0.006687067482852882,SUBE,SUBE,0.006141161751561307,SUBE,0.006361077412224512,SUBE,True,True,True
2026-04-17,0.00860251979306792,0.01084575625123691,SUBE,SUBE,0.011422718379273968,SUBE,0.010837756584308314,SUBE,True,True,True
2026-04-20,-0.004681733122483878,-0.005426760616985285,BAJA,BAJA,-0.004761831064585546,BAJA,-0.0058193344959003215,BAJA,True,True,True
2026-04-21,-0.022202880729674246,-0.01976049391902013,BAJA,BAJA,-0.019374555771074414,BAJA,-0.020437232401922592,BAJA,True,True,True
2026-04-22,0.017019913149575627,0.015457810939016695,SUBE,SUBE,0.01485448967183794,SUBE,0.01619147578470763,SUBE,True,True,True
2026-04-23,-0.01198580117591852,-0.01603869420578636,BAJA,BAJA,-0.01791391050117078,BAJA,-0.018252152164548837,BAJA,True,True,True
2026-04-24,0.011001182422089695,0.016923499653717818,SUBE,SUBE,0.016388014986341005,SUBE,0.01800971346921133,SUBE,True,True,True
2026-04-27,-0.00579084157460541,-0.006018297619244121,BAJA,BAJA,-0.006590400414199021,BAJA,-0.0057509281088883426,BAJA,True,True,True
2026-04-28,-0.01691005405959367,-0.016375897269180338,BAJA,BAJA,-0.01618146077192201,BAJA,-0.01666261631551306,BAJA,True,True,True
2026-04-29,-0.009965504662854063,-0.008934425369683682,BAJA,BAJA,-0.00850482987022621,BAJA,-0.009113776952201988,BAJA,True,True,True
2026-04-30,0.01735949421960825,0.015761724662966034,SUBE,SUBE,0.015657390188649686,SUBE,0.015413819962020854,SUBE,True,True,True
2026-05-04,-0.006228064187952076,-0.004392898450181515,BAJA,BAJA,-0.0043204510505872136,BAJA,-0.004571500192004695,BAJA,True,True,True
2026-05-05,0.005828983063679516,0.01005452521451518,SUBE,SUBE,0.010270875190754886,SUBE,0.010066445062094946,SUBE,True,True,True
2026-05-06,0.026902583096497068,0.027422485631365352,SUBE,SUBE,0.02765584602646135,SUBE,0.027609804033633497,SUBE,True,True,True
2026-05-07,-0.004658206976299595,-0.005757486439305512,BAJA,BAJA,-0.005376857352097018,BAJA,-0.006629889491766906,BAJA,True,True,True
2026-05-08,0.012747180319852225,0.013679545540421547,SUBE,SUBE,0.013493470479749607,SUBE,0.012951508847496043,SUBE,True,True,True
2026-05-11,0.013933376916285045,0.005522099427401363,SUBE,SUBE,0.006909393770513027,SUBE,0.005613155942823955,SUBE,True,True,True
2026-05-12,-0.00781375667908979,-0.005963599591354945,BAJA,BAJA,-0.005092500818548173,BAJA,-0.007276175426323023,BAJA,True,True,True
2026-05-13,0.0038371905122136507,0.005095706652802388,SUBE,SUBE,0.005918650202949727,SUBE,0.005497648896460872,SUBE,True,True,True
2026-05-14,-0.0033407318724936186,-0.003222794241965247,BAJA,BAJA,-0.0039052184963808212,BAJA,-0.0032504469083304405,BAJA,True,True,True
2026-05-15,-0.033426914252942086,-0.03158465595780782,BAJA,BAJA,-0.030689097873434455,BAJA,-0.03244805549963057,BAJA,True,True,True
2026-05-18,-0.007239919263304695,-0.0015679580063992697,BAJA,BAJA,-0.001688878845515246,BAJA,-0.0026905673834340597,BAJA,True,True,True
2026-05-19,-0.012577906603291278,-0.01324832863731682,BAJA,BAJA,-0.013057225519337736,BAJA,-0.013429972959939267,BAJA,True,True,True
2026-05-20,0.019875829221389862,0.019074413618188596,SUBE,SUBE,0.018392433910096696,SUBE,0.019336321751513397,SUBE,True,True,True
2026-05-21,0.006507287629267111,0.009950429349668981,SUBE,SUBE,0.009226121287502742,SUBE,0.010660780960147049,SUBE,True,True,True
2026-05-22,-0.0036410673735881582,-0.0038861214120047517,BAJA,BAJA,-0.003801589599094576,BAJA,-0.003916020779177676,BAJA,True,True,True
2026-05-26,0.031212164655656682,0.029434058838911457,SUBE,SUBE,0.027500806470141116,SUBE,0.03254593657674167,SUBE,True,True,True
2026-05-27,-0.009689569935809161,-0.010662253076273045,BAJA,BAJA,-0.010334881895197174,BAJA,-0.010624975087492813,BAJA,True,True,True
2026-05-28,0.007483312967451861,0.004741745901929526,SUBE,SUBE,0.005096673476344814,SUBE,0.004666839933203891,SUBE,True,True,True
2026-05-29,0.006844711247757651,0.0038600261108817525,SUBE,SUBE,0.003815345295655671,SUBE,0.003457488746528453,SUBE,True,True,True
2026-06-01,-9.224718577161006e-05,0.005027209035558888,NEUTRO,SUBE,0.004919738849909889,SUBE,0.006288998099475516,SUBE,False,False,False
2026-06-02,0.012010983810987641,0.008218765784140474,SUBE,SUBE,0.009434088008435612,SUBE,0.008011730450211346,SUBE,True,True,True
2026-06-03,-0.01246516876280146,-0.013992708735514737,BAJA,BAJA,-0.013654913545673547,BAJA,-0.013698765113481585,BAJA,True,True,True
2026-06-04,-0.008416192562385127,-0.004278655797999729,BAJA,BAJA,-0.0036205306664460106,BAJA,-0.005540272192169979,BAJA,True,True,True
2026-06-05,-0.04931861824789485,-0.0450214319426685,BAJA,BAJA,-0.045193578895568055,BAJA,-0.04589290217248143,BAJA,True,True,True
2026-06-08,0.0010646654135009204,-0.0007543135833728112,SUBE,NEUTRO,-3.697575378366947e-05,NEUTRO,-0.0003761572660234203,NEUTRO,False,False,False
2026-06-09,0.015304349554834618,0.013681474015965615,SUBE,SUBE,0.012687580270178174,SUBE,0.012081903179965658,SUBE,True,True,True
2026-06-10,-0.013289855182593846,-0.016483376705519956,BAJA,BAJA,-0.017162647797234074,BAJA,-0.015853742904183562,BAJA,True,True,True
2026-06-11,0.04256166017502827,0.037727021608332315,SUBE,SUBE,0.0362742904178825,SUBE,0.03826318112965833,SUBE,True,True,True
2026-06-12,0.013560571923583842,0.013066231088450996,SUBE,SUBE,0.01298909574114626,SUBE,0.01310756251175767,SUBE,True,True,True
2026-06-15,0.03018501243796412,0.013698678464209212,SUBE,SUBE,0.014390756711328721,SUBE,0.013876062336869686,SUBE,True,True,True
2026-06-16,-0.008112895630907002,0.0006126926201277552,BAJA,NEUTRO,0.0005530510275068707,NEUTRO,-0.00021772517697055737,NEUTRO,False,False,False
2026-06-17,0.00025172752793278796,-0.0015394533935166785,NEUTRO,BAJA,-0.0030908219869022436,BAJA,-0.00032474330179912926,NEUTRO,False,False,True
