pair,fecha,period,pattern_US,z_US,D_US,alpha,target_ret,base_ret,corrected,base_abs_error_pp,corr_abs_error_pp,outcome,ret_SPY,ret_QQQ,ret_EEM,ret_MCHI,ret_EPU,ret_SPBLSCUP,ret_USD_PEN,ret_NEM,ret_FCX,risk_off_count,other_pair,pattern_PE,z_PE,D_PE
US,2026-01-07,PRE,QQQ_UP_SPY_DOWN,,0.0041858919765815905,-0.0005335558407893152,-0.004238537720703817,0.0022373769864915,0.001703821145702185,0.6475914707195317,0.5942358866406001,IMPROVES,-0.0032234001772446508,0.0009624917993369397,-0.0075069887279958225,-0.013235497185056344,-0.0168165940675713,0.0008491289580365713,0.0,-0.0108973886929295,-0.0115761622122009,3,True,,,
US,2026-01-28,PRE,QQQ_UP_SPY_DOWN,,0.0034121254200490947,-0.0005335558407893152,0.006892581145957921,0.0066235527577222,0.006089996916932884,0.02690283882357215,0.0802584229025037,WORSENS,-0.0001006589961060067,0.003311466423943088,0.006794826754645378,0.00979615931294231,0.005021275858617,0.010892199263174751,-0.000298775022408,0.0389763539231668,0.0120884706400883,1,False,,,
US,2026-02-11,PRE,QQQ_UP_SPY_DOWN,,0.0029132203315818117,-0.0005335558407893152,0.012074625863115918,0.0164503707898982,0.015916814949108887,0.43757449267822834,0.3842189085992969,IMPROVES,-0.00023113498477123073,0.002682085346810581,0.01584163239838854,-0.0009679201752926803,0.0069328272891233,0.015259710725006759,-0.0008933889219774,0.0252612501082918,0.0347771233213989,2,False,,,
US,2026-02-17,PRE,QQQ_DOWN_SPY_UP,,-0.002643488003359118,-5.221602036314227e-05,-0.012581861437976016,-0.0090373616931474,-0.009089577713510542,0.3544499744828617,0.3492283724465474,IMPROVES,0.0016134588719287635,-0.0010300291314303545,-0.004090314207606749,0.00430823766038646,-0.0203068483214363,-0.017266389031865614,-0.0005973715651134,-0.027742491323535,-0.0278485040698703,2,False,,,
US,2026-03-10,PRE,QQQ_UP_SPY_DOWN,0.4057792027249566,0.0016235391280798872,-0.0005335558407893152,0.007788155684593123,0.0072058015824623,0.006672245741672985,0.05823541021308231,0.11159099429201387,WORSENS,-0.001607069196751576,1.6469931328311205e-05,0.003934979285443507,0.017860284839557705,0.0345361615305526,0.032055462956252834,-0.0176192522561238,0.0165868883087552,0.0315754636206602,1,False,,,
US,2026-04-10,PRE,QQQ_UP_SPY_DOWN,0.4276739627724985,0.0021039622600577124,-0.0005335558407893152,0.007263603228770288,0.0030898955117829,0.002556339670993585,0.4173707716987388,0.4707263557776703,WORSENS,-0.0006617805145495703,0.001442181745508142,0.004645033172931967,-0.0005243625201353241,-0.0027927098713744,-0.006605208135335383,0.0047351287363124,0.015881012988177,0.0203161198723176,3,False,,,
US,2026-04-29,PRE,QQQ_UP_SPY_DOWN,1.3834974720382134,0.006268174438804119,-0.0005335558407893152,-0.009965504662854063,-0.0030437311712348,-0.003577287012024115,0.6921773491619263,0.6388217650829949,IMPROVES,-0.00015454109399481997,0.006113633344809299,-0.004762709061180703,0.00123332472853388,-0.0152362181956404,-0.012874506877065928,0.0025604551920341,-0.0208371327000218,-0.0219893282842932,3,False,,,
US,2026-06-04,PRE,QQQ_DOWN_SPY_UP,-2.13691743806894,-0.008616080065007137,-5.221602036314227e-05,-0.008416192562385127,-0.0105594515832818,-0.010611667603644943,0.21432590208966731,0.21954750412598156,WORSENS,0.003778686701839007,-0.00483739336316813,-0.01172768472966601,-0.004465880708187209,-0.0016674534442,-0.003483973720883826,-0.0011689070718877,0.0080022387697329,-0.0134484280358219,3,False,,,
US,2026-07-08,TRAIN,QQQ_UP_SPY_DOWN,0.6129989948603773,0.005922704012620739,-0.0005335558407893152,-0.001746806880565499,-0.0009709762557685,-0.0015045320965578154,0.0775830624796999,0.024227478400768367,IMPROVES,-0.0030894297130047432,0.0028332742996159954,0.007760227126560215,0.020664343763021176,-0.0123427060151446,-0.012878466826764634,0.0008800234672925,-0.0195665964456298,-0.0308444593726073,2,False,,,
US,2026-07-15,TRAIN,QQQ_DOWN_SPY_UP,-0.6337428076625274,-0.006673152805580673,-5.221602036314227e-05,-0.008458202674095805,-0.0079551239892028,-0.008007340009565942,0.05030786848930057,0.04508626645298632,IMPROVES,0.003963635929681075,-0.002709516875899598,-0.0015227421487638004,0.017283524169722897,-0.0006916227122039,0.0028716639697334845,-0.0017662643508977,0.0048548716039329,-0.0158192014554839,1,True,,,
US,2026-07-20,TRAIN,QQQ_UP_SPY_DOWN,0.37594832449177623,0.0026642113491736064,-0.0005335558407893152,-0.0022124270089529663,-0.0019211459521712,-0.002454701792960515,0.029128105678176634,0.024227478400754877,IMPROVES,-0.0016143782471810253,0.001049833101992581,0.004266083960466904,0.021340907494493244,0.0001182641886556,-0.001253190995590514,0.0,-0.0055741361985609,0.0070229503239258,2,True,,,
US,2026-07-24,TRAIN,QQQ_DOWN_SPY_UP,-1.02908919062616,-0.01218723795361809,-5.221602036314227e-05,-0.018859849963174136,-0.0240750202488745,-0.024127236269237642,0.5215170285700365,0.5267386306063506,WORSENS,0.0010160123647910968,-0.011171225588826994,-0.01965939122390492,-0.000374819936988402,-0.0021008438904605,-0.024895613523099658,0.0020564042303172,-0.016152858525961,-0.0141732523760457,3,False,,,
US,2026-07-27,TRAIN,QQQ_DOWN_SPY_UP,-0.23354990516128077,-0.0033003126284025797,-5.221602036314227e-05,-0.0017900987206110885,-0.0014593460167311,-0.0015115620370942423,0.03307527038799885,0.027853668351684624,IMPROVES,0.0002165755636849287,-0.003083737064717651,0.0045791424671628445,0.017438523505487025,-0.0003508629157529,0.006446117365379811,0.0,0.003004601051201,0.0019169768291869,0,True,,,
US,2026-07-28,TRAIN,QQQ_DOWN_SPY_UP,-1.0943353204456567,-0.01211448529339687,-5.221602036314227e-05,-0.023116331541812585,-0.0185261285634325,-0.018578344583795644,0.45902029783800835,0.4537986958016941,IMPROVES,0.002394780651586048,-0.009719704641810822,-0.01980506668794868,0.00276449558641767,-0.0073710643946954,0.0,0.0,-0.0208623574641058,-0.0172194166140766,1,False,,,
US,2026-08-19,OOS,QQQ_DOWN_SPY_UP,-0.47125913508358447,-0.004090830764239439,-5.221602036314227e-05,0.00997810334032101,0.0060924215332506,0.006040205512887457,0.38856818070704097,0.39378978274335524,WORSENS,0.00209783741736147,-0.0019929933468779693,0.011784577833139798,0.008925279602015168,0.0285746949484755,0.009905713961149587,-0.0002974419988102,0.0784617883318683,0.0417671389597817,0,False,,,
PE,2026-01-07,PRE,,,,-0.00034178301480873797,-0.004238537720703817,0.0022373769864915,0.0018955939716827621,0.6475914707195317,0.6134131692386579,IMPROVES,-0.0032234001772446508,0.0009624917993369397,-0.0075069887279958225,-0.013235497185056344,-0.0168165940675713,0.0008491289580365713,0.0,-0.0108973886929295,-0.0115761622122009,3,True,EPU_DOWN_SPBLSCUP_UP,,-0.01766572302560787
PE,2026-01-16,PRE,,,,-0.00034178301480873797,0.0004670445843297788,0.0036338911567062,0.003292108141897462,0.3166846572376421,0.2825063557567683,IMPROVES,-0.0008378844014015341,-0.0008363400346551586,-0.0037872477212125277,-0.0168265402147616,-0.0045778204196268,0.0011173739229757285,-0.0005950609937519,-0.0007879900062345,-0.0208472318059741,3,False,EPU_DOWN_SPBLSCUP_UP,,-0.005695194342602529
PE,2026-01-21,PRE,,,,-0.00029128105678171584,0.005098137564183869,0.0074168144029519,0.007125533346170184,0.23186768387680312,0.20273957819863156,IMPROVES,0.011541083159159804,0.013518455039445598,0.01657646005021607,0.013625306274084759,0.0030667862700413,-0.0011789899184331265,-0.0002977963073257,-0.0002522177457634,0.0084901304947802,1,False,EPU_UP_SPBLSCUP_DOWN,,0.004245776188474427
PE,2026-01-22,PRE,,,,-0.00029128105678171584,0.012102545415126897,0.002188038803997,0.001896757747215284,0.9914506611129896,1.0205787667911614,WORSENS,0.005223163010167564,0.007269390951806898,0.0075523936505783595,0.004640696000013378,0.0136405929001235,-0.010358450568510369,-0.000893655049151,0.0233790151684498,-0.0285573341803161,1,False,EPU_UP_SPBLSCUP_DOWN,,0.02399904346863387
PE,2026-03-02,PRE,,,,-0.00034178301480873797,-0.0009607755612303093,-0.0069645063373042,-0.007306289352112937,0.600373077607389,0.6345513790882629,WORSENS,0.0005685427688300049,0.001317408251530594,-0.017257938629825165,-0.009312614950370501,-0.0049019512193535,0.0004567600487210832,0.0029815146094214,-0.0097692636343148,0.0030845928146974,2,False,EPU_DOWN_SPBLSCUP_UP,-0.6722893431308785,-0.005358711268074583
PE,2026-04-17,PRE,,,,-0.00029128105678171584,0.00860251979306792,0.007387378920328,0.007096097863546284,0.12151408727399202,0.15064219295216358,WORSENS,0.012085685130224011,0.013084149556009228,0.019055221972313907,0.010223245916814783,0.0061429017565632,-0.009184477494336707,-0.0020325203252032,0.0272462414082701,0.0282659686537805,1,False,EPU_UP_SPBLSCUP_DOWN,2.166113404025941,0.015327379250899907
