model,period,threshold,feature_set,fecha,pattern_US,pattern_PE,z_US,z_PE,ret_SPY,ret_QQQ,ret_EPU,ret_SPBLSCUP,ret_EEM,ret_MCHI,ret_USD_PEN,ret_NEM,ret_FCX,target_ret,base_ret_retornos,base_ret_niveles,corr,corrected,base_abs_err_pp,corr_abs_err_pp,outcome,other_divergence_count,risk_off_count,em_spread
retornos,pre,1.0,US,2026-04-29,QQQ_UP_SPY_DOWN,,1.3834974720382134,-0.5355878328818063,-0.00015454109399481997,0.006113633344809299,-0.0152362181956404,-0.012874506877065928,-0.004762709061180703,0.00123332472853388,0.0025604551920341,-0.0208371327000218,-0.0219893282842932,-0.009965504662854063,-0.0030437311712348,-0.07087415718195478,-0.00021069121549218098,-0.0032544223867269806,0.6921773491619263,0.6711082276127083,IMPROVES,1,3,0.005996033789714583
retornos,pre,1.0,US,2026-06-04,QQQ_DOWN_SPY_UP,,-2.13691743806894,0.22297893358754375,0.003778686701839007,-0.00483739336316813,-0.0016674534442,-0.003483973720883826,-0.01172768472966601,-0.004465880708187209,-0.0011689070718877,0.0080022387697329,-0.0134484280358219,-0.008416192562385127,-0.0105594515832818,-0.010184357875773431,0.0003254286628871749,-0.010234022920394626,0.21432590208966731,0.18178303580094982,IMPROVES,1,3,0.0072618040214788016
retornos,train,1.0,US,2026-07-24,QQQ_DOWN_SPY_UP,,-1.02908919062616,2.799530710638375,0.0010160123647910968,-0.011171225588826994,-0.0021008438904605,-0.024895613523099658,-0.01965939122390492,-0.000374819936988402,0.0020564042303172,-0.016152858525961,-0.0141732523760457,-0.018859849963174136,-0.0240750202488745,-0.02347001878169286,0.0001567187919060409,-0.02391830145696846,0.5215170285700365,0.5058451493794324,IMPROVES,1,3,0.01928457128691652
retornos,train,1.0,US,2026-07-28,QQQ_DOWN_SPY_UP,,-1.0943353204456567,-0.5276249126246867,0.002394780651586048,-0.009719704641810822,-0.0073710643946954,0.0,-0.01980506668794868,0.00276449558641767,0.0,-0.0208623574641058,-0.0172194166140766,-0.023116331541812585,-0.0185261285634325,-0.019786205096616105,0.00016665504887482176,-0.01835947351455768,0.45902029783800835,0.4756858027254906,WORSENS,1,1,0.02256956227436635
retornos,pre,1.0,PE,2026-04-17,,EPU_UP_SPBLSCUP_DOWN,-0.008904333680678885,2.166113404025941,0.012085685130224011,0.013084149556009228,0.0061429017565632,-0.009184477494336707,0.019055221972313907,0.010223245916814783,-0.0020325203252032,0.0272462414082701,0.0282659686537805,0.00860251979306792,0.007387378920328,-0.07168485419627002,0.0,0.007387378920328,0.12151408727399202,0.12151408727399202,TIE,1,1,-0.008831976055499124
retornos,pre,1.0,PE,2026-05-05,,EPU_UP_SPBLSCUP_DOWN,3.1892909155860814,1.9396057005927307,0.007110520381926166,0.02077155078329085,0.0089904564956955,-0.006314958558084505,0.02203468995823754,-0.006079528851422933,-0.0054161915621436,0.006277118929955,0.0379701389587749,-0.003245722317144706,0.021116554719508,-0.04113542160357009,0.0,0.021116554719508,2.4362277036652706,2.4362277036652706,TIE,1,2,-0.028114218809660474
retornos,pre,1.0,PE,2026-05-18,,EPU_UP_SPBLSCUP_DOWN,-1.2161667119038153,1.6700551871332925,-0.0007034356211904624,-0.004302241158477327,0.0026246604032718,-0.011435604215276451,-0.0015367830734606125,-0.00494348132616762,-0.0039284155390659,0.0072437276106016,-0.0398349212568607,-0.007239919263304695,-0.0035248323938032,-0.03764973046824194,0.0,-0.0035248323938032,0.3715086869501495,0.3715086869501495,TIE,1,4,-0.0034066982527070078
retornos,pre,1.0,PE,2026-05-27,,EPU_DOWN_SPBLSCUP_UP,1.5006902562196744,-5.896905651866767,0.006464255176127143,0.016598425933605165,-0.0154633391236068,0.02880565014503733,0.038099608999304424,-0.0014404362573987584,-0.0017513134851139,-0.0392437705354848,-0.0113424415058025,0.021687081709971245,0.0374958558987766,0.023898698331372037,0.0,0.0374958558987766,1.5808774188805357,1.5808774188805357,TIE,1,1,-0.03954004525670318
retornos,pre,1.0,PE,2026-06-25,,EPU_DOWN_SPBLSCUP_UP,0.6147958617410787,-1.249735258351587,0.0014456352254532678,0.008105611726665796,-0.0014470366108818,0.014123818002454325,0.010557607204054298,-0.012638567412442403,-0.002919708029197,0.0139302163530439,0.0155239178865442,0.010089230516794778,0.0180242699524423,0.023551009151077995,0.0,0.0180242699524423,0.7935039435647523,0.7935039435647523,TIE,1,1,-0.0231961746164967
retornos,pre,1.0,PE,2026-06-26,,EPU_UP_SPBLSCUP_DOWN,-0.7606899818687486,1.3091727218061464,-0.007231373616869652,-0.013763624451209266,0.0071247915068188,-0.002775932428584982,-0.011330144988809021,-0.005907822849000599,0.0,0.0081803753726181,-0.005573224177916,-0.004681213145730889,-0.0083416107276802,0.004637709340546525,0.0,-0.0083416107276802,0.36603975819493106,0.36603975819493106,TIE,1,4,0.005422322139808422
retornos,pre,1.0,BOTH,2026-04-17,,EPU_UP_SPBLSCUP_DOWN,-0.008904333680678885,2.166113404025941,0.012085685130224011,0.013084149556009228,0.0061429017565632,-0.009184477494336707,0.019055221972313907,0.010223245916814783,-0.0020325203252032,0.0272462414082701,0.0282659686537805,0.00860251979306792,0.007387378920328,-0.07168485419627002,0.0,0.007387378920328,0.12151408727399202,0.12151408727399202,TIE,1,1,-0.008831976055499124
